Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,3.56%,10.94%,2.15%,1.19%,0.00%
Other Revenues,(10.14%),(41.30%),(33.94%),6.63%,0.00%
Total Revenues,1.76%,4.86%,(0.21%),1.42%,0.00%
Cost Of Revenues,2.80%,7.27%,(3.43%),0.94%,0.00%
Gross Profit,(0.63%),(0.83%),8.00%,2.53%,0.00%
Selling General & Admin Expenses,(0.45%),7.93%,(2.83%),9.90%,0.00%
Depreciation & Amortization,9.89%,5.56%,4.08%,2.48%,0.00%
Total Operating Expenses,2.91%,7.10%,(0.46%),7.25%,0.00%
Operating Income,(3.90%),(8.67%),17.81%,(2.08%),0.00%
Interest Expense,(2.96%),(13.40%),-9.13%,-31.75%,0.00%
Net Interest Expenses,(2.96%),(13.40%),-9.13%,-31.75%,0.00%
Other Non Operating Income (Expenses),208.93%,(82.02%),"1,178.93%",(53.37%),0.00%
"EBT, Excl. Unusual Items",(7.48%),(16.65%),34.26%,7.74%,0.00%
"EBT, Incl. Unusual Items",(13.76%),(25.10%),14.02%,10.27%,0.00%
Income Tax Expense,(24.99%),(20.21%),8.22%,12.27%,0.00%
Earnings From Continuing Operations,(9.69%),(26.57%),15.91%,9.67%,0.00%
Earnings Of Discontinued Operations,(55.04%),(86.26%),,,0.00%
Net Income to Company,(19.60%),(59.90%),206.66%,(2.61%),0.00%
Minority Interest,(8.96%),(4.02%),(21.12%),(5.10%),0.00%
Net Income,(24.58%),(75.98%),408.79%,(4.60%),0.00%
NI to Common Incl Extra Items,(24.58%),(75.98%),408.79%,(4.60%),0.00%
NI to Common Excl. Extra Items,(12.44%),(32.18%),14.45%,11.03%,0.00%
Revenue Per Share,8.79%,15.81%,11.26%,29.68%,0.00%
Basic EPS,(19.31%),(73.49%),469.28%,22.08%,0.00%
Basic EPS - Continuing Ops,(6.43%),(25.12%),27.58%,41.83%,0.00%
Basic Weighted Average Shares Outst.,(6.45%),(9.46%),(10.31%),(21.79%),0.00%
Diluted EPS,(19.11%),(73.49%),472.83%,19.76%,0.00%
Diluted EPS - Continuing Ops,(6.08%),(24.81%),28.41%,39.52%,0.00%
Diluted Weighted Average Shares Outst.,(6.62%),(9.92%),(10.76%),(20.28%),0.00%
Normalized Basic EPS,(5.07%),(14.32%),55.45%,38.90%,0.00%
Normalized Diluted EPS,(4.97%),(14.00%),55.98%,36.36%,0.00%
EBITDA,(0.37%),(13.61%),13.91%,(0.90%),0.00%
EBITA,(3.79%),(8.55%),17.49%,(2.09%),0.00%
EBIT,(3.90%),(8.67%),17.81%,(2.08%),0.00%
EBITDAR,1.49%,(8.93%),12.68%,(0.12%),
Effective Tax Rate,(13.02%),6.50%,(5.11%),1.81%,0.00%
Normalized Net Income,(11.27%),(22.50%),39.25%,8.62%,0.00%
Interest Capitalized,47.62%,35.47%,5.17%,(34.32%),
Interest on Long-Term Debt,,,,(23.40%),
