Income Statement,Oct 2016,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,2918.0,3189.0,3878.0,4303.0,4221.0,4306.0
Total Revenues,2918.0,3189.0,3878.0,4303.0,4221.0,4306.0
Cost Of Revenues,1294.0,1492.0,1767.0,1769.0,1688.0,1721.0
Gross Profit,1624.0,1697.0,2111.0,2534.0,2533.0,2585.0
Selling General & Admin Expenses,818.0,932.0,1065.0,1092.0,1053.0,1059.0
R&D Expenses,425.0,507.0,624.0,688.0,715.0,727.0
Other Operating Expense/(Income),(15.0),60.0,(13.0),(19.0),(12.0),(14.0)
Total Operating Expenses,1228.0,1499.0,1676.0,1761.0,1756.0,1772.0
Operating Income,396.0,198.0,435.0,773.0,777.0,813.0
Interest Expense,(47.0),(80.0),(83.0),(80.0),(78.0),(79.0)
Interest And Investment Income,3.0,7.0,12.0,23.0,11.0,6.0
Net Interest Expenses,(44.0),(73.0),(71.0),(57.0),(67.0),(73.0)
Currency Exchange Gains (Loss),,1.0,4.0,(2.0),3.0,(1.0)
Other Non Operating Income (Expenses),6.0,79.0,1.0,(4.0),(4.0),(3.0)
"EBT, Excl. Unusual Items",358.0,205.0,369.0,710.0,709.0,736.0
"EBT, Incl. Unusual Items",366.0,179.0,(411.0),715.0,761.0,754.0
Income Tax Expense,31.0,77.0,(576.0),94.0,134.0,118.0
Earnings From Continuing Operations,335.0,102.0,165.0,621.0,627.0,636.0
Net Income to Company,335.0,102.0,165.0,621.0,627.0,636.0
Net Income,335.0,102.0,165.0,621.0,627.0,636.0
NI to Common Incl Extra Items,335.0,102.0,165.0,621.0,627.0,636.0
NI to Common Excl. Extra Items,335.0,102.0,165.0,621.0,627.0,636.0
Revenue Per Share,$17.16,$17.72,$20.74,$22.89,$22.57,$23.09
Basic EPS,$1.97,$0.57,$0.88,$3.30,$3.35,$3.41
Basic EPS - Continuing Ops,$1.97,$0.57,$0.88,$3.30,$3.35,$3.41
Basic Weighted Average Shares Outst.,170.0,180.0,187.0,188.0,187.0,186.5
Diluted EPS,$1.95,$0.56,$0.86,$3.25,$3.31,$3.37
Diluted EPS - Continuing Ops,$1.95,$0.56,$0.86,$3.25,$3.31,$3.37
Diluted Weighted Average Shares Outst.,172.0,182.0,191.0,191.0,189.0,188.3
Normalized Basic EPS,$1.32,$0.71,$1.23,$2.36,$2.37,$2.47
Normalized Diluted EPS,$1.30,$0.70,$1.21,$2.32,$2.34,$2.44
EBITDA,530.0,423.0,745.0,1081.0,1103.0,1146.0
EBITA,445.0,331.0,642.0,985.0,999.0,1038.0
EBIT,396.0,198.0,435.0,773.0,777.0,813.0
EBITDAR,575.0,474.0,805.0,1151.0,1168.0,
Effective Tax Rate,8.5%,43.0%,NM,13.1%,17.6%,15.6%
Normalized Net Income,223.8,128.1,230.6,443.8,443.1,460.0
Interest on Long-Term Debt,47.0,,83.0,80.0,78.0,
R&D Expense From Footnotes,425.0,507.0,624.0,688.0,715.0,727.0
Foreign Sales,1909.0,2135.0,2480.0,2719.0,2698.0,
