Income Statement,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,31.63%,11.38%,10.11%,(2.87%),(2.74%)
Total Revenues,31.63%,11.38%,10.11%,(2.87%),(2.74%)
Cost Of Revenues,28.70%,10.92%,10.78%,(4.04%),(5.00%)
Gross Profit,33.44%,11.65%,9.71%,(2.17%),(1.39%)
Selling General & Admin Expenses,21.59%,7.64%,1.14%,(3.42%),(9.19%)
Depreciation & Amortization,46.71%,9.89%,5.89%,3.23%,3.78%
Other Operating Expense/(Income),,(90.91%),341.18%,,(71.26%)
Total Operating Expenses,29.89%,7.19%,2.96%,(1.79%),(5.38%)
Operating Income,43.38%,22.94%,24.62%,(2.87%),6.25%
Interest Expense,(29.23%),(46.27%),(15.06%),-8.89%,-9.09%
Interest And Investment Income,69.23%,40.91%,(38.71%),(47.37%),(63.16%)
Net Interest Expenses,(28.79%),(46.35%),(15.81%),-8.61%,-8.69%
"EBT, Excl. Unusual Items",49.19%,16.70%,28.07%,(0.77%),11.90%
"EBT, Incl. Unusual Items",166.40%,15.45%,75.08%,18.96%,(48.90%)
Income Tax Expense,(878.43%),(131.26%),,(94.52%),(84.14%)
Earnings From Continuing Operations,191.81%,29.30%,(7.38%),74.09%,(38.92%)
Net Income to Company,174.16%,29.30%,(7.38%),74.09%,(38.92%)
Minority Interest,,,6.45%,(60.61%),(75.00%)
Net Income,172.84%,30.08%,(7.30%),73.20%,(39.07%)
NI to Common Incl Extra Items,172.84%,30.08%,(7.30%),73.20%,(39.07%)
NI to Common Excl. Extra Items,190.32%,30.08%,(7.30%),73.20%,(39.07%)
Revenue Per Share,1.73%,13.07%,8.66%,(2.21%),(2.33%)
Basic EPS,112.54%,32.21%,(8.82%),74.15%,(38.81%)
Basic EPS - Continuing Ops,126.41%,32.21%,(8.82%),74.15%,(38.81%)
Basic Weighted Average Shares Outst.,29.46%,(1.47%),1.29%,(0.68%),(0.43%)
Diluted EPS,108.33%,33.00%,(7.52%),76.42%,(37.97%)
Diluted EPS - Continuing Ops,122.22%,33.00%,(7.52%),76.42%,(37.97%)
Diluted Weighted Average Shares Outst.,31.58%,(2.23%),0.57%,(1.88%),(1.85%)
Normalized Basic EPS,15.28%,19.43%,25.66%,(0.45%),11.66%
Normalized Diluted EPS,12.61%,20.59%,26.91%,1.07%,13.28%
Dividend Per Share,,,,,317.65%
Payout Ratio,,,,,583.60%
EBITDA,44.81%,17.25%,16.97%,(0.61%),5.32%
EBITA,46.20%,18.18%,17.73%,(2.28%),4.48%
EBIT,43.38%,22.94%,24.62%,(2.87%),6.25%
EBITDAR,42.67%,16.26%,16.26%,(0.04%),
Effective Tax Rate,,,,(95.39%),(68.96%)
Normalized Net Income,48.63%,17.78%,27.88%,(1.20%),11.19%
Interest on Long-Term Debt,29.23%,46.27%,15.06%,(8.89%),
Foreign Sales,29.86%,12.41%,10.43%,(2.51%),
