Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,2984.5,3480.0,4036.7,4568.9,5806.4,6073.0
Total Revenues,2984.5,3480.0,4036.7,4568.9,5806.4,6073.0
Cost Of Revenues,1159.8,1286.2,1446.0,1869.4,2449.6,2502.0
Gross Profit,1824.7,2193.8,2590.7,2699.5,3356.9,3571.1
Selling General & Admin Expenses,375.7,390.8,444.9,600.8,736.0,709.9
R&D Expenses,479.7,526.7,608.5,711.0,863.9,880.6
Total Operating Expenses,855.4,917.5,1053.5,1311.9,1599.8,1590.6
Operating Income,969.3,1276.3,1537.2,1387.6,1757.0,1980.5
Interest Expense,(122.9),(122.5),(114.4),(124.6),(160.3),(157.7)
Interest And Investment Income,14.5,23.3,36.9,40.4,21.6,21.6
Net Interest Expenses,(108.4),(99.2),(77.5),(84.2),(138.6),(136.1)
Currency Exchange Gains (Loss),(1.2),(0.6),(0.7),0.3,(4.2),(11.6)
Other Non Operating Income (Expenses),7.1,(3.4),(2.8),(6.0),(3.3),(7.1)
"EBT, Excl. Unusual Items",866.8,1173.1,1456.1,1297.7,1610.8,1825.7
"EBT, Incl. Unusual Items",858.2,1173.2,1455.9,1296.2,1316.7,1531.5
Income Tax Expense,153.8,247.2,653.7,121.2,101.7,166.0
Earnings From Continuing Operations,704.4,926.1,802.3,1175.0,1215.0,1365.4
Net Income to Company,704.4,926.1,802.3,1175.0,1215.0,1365.4
Minority Interest,,,,0.6,1.8,2.1
Net Income,704.4,926.1,802.3,1175.6,1216.8,1367.5
NI to Common Incl Extra Items,704.4,926.1,802.3,1175.6,1216.8,1367.5
NI to Common Excl. Extra Items,704.4,926.1,802.3,1175.6,1216.8,1367.5
Revenue Per Share,$19.15,$22.24,$25.82,$29.28,$37.03,$39.13
Basic EPS,$4.52,$5.92,$5.13,$7.53,$7.76,$8.81
Basic EPS - Continuing Ops,$4.52,$5.92,$5.13,$7.53,$7.76,$8.81
Basic Weighted Average Shares Outst.,155.9,156.5,156.3,156.1,156.8,155.2
Diluted EPS,$4.49,$5.88,$5.10,$7.49,$7.70,$8.74
Diluted EPS - Continuing Ops,$4.49,$5.88,$5.10,$7.49,$7.70,$8.74
Diluted Weighted Average Shares Outst.,156.8,157.5,157.4,156.9,158.0,156.4
Normalized Basic EPS,$3.48,$4.69,$5.82,$5.20,$6.43,$7.37
Normalized Diluted EPS,$3.46,$4.66,$5.78,$5.17,$6.38,$7.31
Dividend Per Share,$2.08,$2.14,$2.52,$3.00,$3.30,$3.50
Payout Ratio,46.06%,36.22%,49.32%,39.92%,42.93%,39.99%
EBITDA,1036.3,1334.1,1599.9,1620.9,2105.1,2305.7
EBITA,976.9,1276.3,1537.2,1475.0,1977.6,2188.0
EBIT,969.3,1276.3,1537.2,1387.6,1757.0,1980.5
EBITDAR,1045.0,1343.7,1610.3,1634.4,2140.2,
Effective Tax Rate,17.9%,21.1%,44.9%,9.4%,7.7%,10.8%
Normalized Net Income,541.7,733.2,910.1,811.7,1008.5,1143.2
Interest on Long-Term Debt,122.9,122.5,114.4,124.6,160.3,
R&D Expense From Footnotes,481.3,526.7,608.5,711.0,863.9,880.6
Foreign Sales,2463.2,2957.0,3542.4,3972.5,5148.9,
