Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,14.66%,11.56%,7.52%,(56.92%),0.00%
Total Revenues,14.66%,11.56%,7.52%,(56.92%),0.00%
Cost Of Revenues,10.02%,6.09%,11.43%,(19.11%),0.00%
Gross Profit,15.69%,12.72%,6.74%,(64.77%),0.00%
Selling General & Admin Expenses,19.23%,7.98%,6.13%,(54.40%),0.00%
R&D Expenses,12.31%,(19.11%),9.27%,(17.62%),0.00%
Depreciation & Amortization,,,(5.11%),(1.87%),0.00%
Total Operating Expenses,16.37%,11.71%,5.28%,(44.11%),0.00%
Operating Income,7.93%,25.08%,22.73%,,0.00%
Interest Expense,(5.20%),(4.40%),-8.95%,(108.09%),0.00%
Interest And Investment Income,70.00%,108.82%,(16.90%),(69.49%),0.00%
Net Interest Expenses,-3.27%,-19.59%,-4.20%,(200.00%),0.00%
Currency Exchange Gains (Loss),(206.67%),,,,0.00%
Other Non Operating Income (Expenses),,,,,0.00%
"EBT, Excl. Unusual Items",6.14%,53.94%,24.06%,,0.00%
"EBT, Incl. Unusual Items",50.54%,16.31%,59.79%,,0.00%
Income Tax Expense,181.25%,93.33%,133.33%,,0.00%
Earnings From Continuing Operations,42.53%,6.99%,43.72%,,0.00%
Net Income to Company,42.53%,6.99%,43.72%,,0.00%
Minority Interest,(71.43%),33.33%,,,0.00%
Net Income,34.04%,7.41%,39.16%,,0.00%
Preferred Dividend and Other Adjustments,,,,,63.04%
NI to Common Incl Extra Items,34.04%,7.41%,39.16%,,0.00%
NI to Common Excl. Extra Items,34.04%,7.41%,39.16%,,0.00%
Revenue Per Share,13.71%,12.79%,9.54%,(55.15%),0.00%
Basic EPS,32.61%,8.73%,41.64%,,0.00%
Basic EPS - Continuing Ops,32.61%,8.73%,41.64%,,0.00%
Basic Weighted Average Shares Outst.,0.83%,(1.09%),(1.85%),(3.93%),0.00%
Diluted EPS,32.97%,9.50%,42.26%,,0.00%
Diluted EPS - Continuing Ops,32.97%,9.50%,42.26%,,0.00%
Diluted Weighted Average Shares Outst.,1.21%,(2.24%),(1.97%),(5.65%),0.00%
Normalized Basic EPS,(0.53%),55.21%,22.53%,,0.00%
Normalized Diluted EPS,(0.85%),57.43%,22.51%,,0.00%
Dividend Per Share,16.00%,6.90%,6.45%,(74.24%),0.00%
Payout Ratio,(12.46%),(1.60%),(24.66%),,0.00%
EBITDA,4.00%,13.07%,4.12%,,0.00%
EBITA,0.45%,18.31%,8.72%,,0.00%
EBIT,7.93%,25.08%,22.73%,,0.00%
EBITDAR,5.24%,12.45%,2.77%,,
Effective Tax Rate,86.70%,66.25%,46.01%,(48.74%),0.00%
Normalized Net Income,0.23%,53.49%,20.06%,,0.00%
R&D Expense From Footnotes,32.67%,20.35%,16.08%,6.65%,0.00%
Foreign Sales,21.09%,11.13%,3.53%,(67.53%),
