Income Statement,Sep 2017,Sep 2018,Sep 2019,Oct 2020,TTM
Revenues,3.74%,4.68%,5.87%,1.84%,(0.46%)
Total Revenues,3.74%,4.68%,5.87%,1.84%,(0.46%)
Cost Of Revenues,2.91%,5.24%,7.05%,(0.07%),(1.92%)
Gross Profit,9.45%,1.09%,(1.98%),15.84%,10.17%
Selling General & Admin Expenses,7.73%,1.84%,8.66%,(2.48%),(13.23%)
Total Operating Expenses,7.73%,1.84%,8.66%,(2.48%),(13.23%)
Operating Income,10.59%,0.61%,(8.88%),30.01%,28.78%
Interest Expense,(12.05%),(25.45%),(32.00%),(4.98%),-1.66%
Interest And Investment Income,16.67%,0.00%,57.14%,(9.09%),(25.00%)
Net Interest Expenses,(11.93%),(26.10%),(31.49%),(5.32%),-1.06%
Currency Exchange Gains (Loss),,,700.00%,,
Other Non Operating Income (Expenses),,,,,457.14%
"EBT, Excl. Unusual Items",10.70%,(1.56%),(13.60%),34.34%,33.70%
"EBT, Incl. Unusual Items",1.15%,2.05%,(11.48%),12.22%,13.16%
Income Tax Expense,2.91%,,,55.64%,60.05%
Earnings From Continuing Operations,0.34%,67.21%,(32.96%),3.91%,4.31%
Net Income to Company,0.34%,67.21%,(32.96%),3.91%,4.31%
Minority Interest,0.00%,-25.00%,(333.33%),-23.08%,-31.25%
Net Income,0.34%,67.42%,(33.33%),4.09%,4.60%
NI to Common Incl Extra Items,0.34%,67.42%,(33.33%),4.09%,4.60%
NI to Common Excl. Extra Items,0.34%,67.42%,(33.33%),4.09%,4.60%
Revenue Per Share,9.13%,4.97%,6.46%,1.84%,(0.53%)
Basic EPS,5.60%,67.77%,(32.99%),4.18%,4.53%
Basic EPS - Continuing Ops,5.60%,67.77%,(32.99%),4.18%,4.53%
Basic Weighted Average Shares Outst.,(4.94%),(0.27%),(0.55%),0.00%,0.07%
Diluted EPS,5.74%,67.85%,(32.84%),4.44%,4.92%
Diluted EPS - Continuing Ops,5.74%,67.85%,(32.84%),4.44%,4.92%
Diluted Weighted Average Shares Outst.,(5.13%),(0.27%),(0.81%),(0.27%),(0.48%)
Normalized Basic EPS,16.40%,(1.24%),(13.73%),34.69%,34.29%
Normalized Diluted EPS,16.80%,(1.30%),(13.54%),35.25%,35.02%
Dividend Per Share,50.00%,33.33%,25.00%,12.00%,8.74%
Payout Ratio,47.15%,(19.29%),86.91%,7.52%,5.45%
EBITDA,9.94%,5.26%,(3.11%),24.10%,22.33%
EBITA,11.19%,3.80%,(6.63%),27.81%,26.44%
EBIT,10.59%,0.61%,(8.88%),30.01%,28.78%
EBITDAR,9.86%,5.36%,(2.50%),34.04%,
Effective Tax Rate,1.74%,,,38.69%,41.44%
Normalized Net Income,10.73%,(1.51%),(14.19%),34.83%,34.38%
R&D Expense From Footnotes,17.71%,0.88%,(14.91%),1.03%,1.03%
Foreign Sales,,(47.66%),323.50%,27.30%,
