Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,6.19%,15.02%,8.02%,(24.08%),(28.28%)
Total Interest Income,6.19%,15.02%,8.02%,(24.08%),(28.28%)
Interest On Deposits,32.02%,46.91%,20.18%,(50.14%),(59.04%)
Total Interest Expense,32.02%,46.91%,20.18%,(50.14%),(59.04%)
Net Interest Income,(0.91%),3.33%,1.69%,(8.02%),(10.32%)
Trust Income,8.80%,(0.11%),(4.72%),1.79%,4.47%
Income From Trading Activities,13.78%,(0.39%),(0.15%),56.15%,10.47%
Gain (Loss) on Sale of Assets,,(73.12%),,,
Gain (Loss) on Sale of Invest. & Securities,117.33%,(59.58%),398.96%,9.64%,(8.16%)
Total Other Non Interest Income,(2.14%),(2.05%),(0.56%),(10.53%),0.96%
Total Non Interest Income,9.45%,(5.13%),2.46%,14.12%,4.52%
Revenue Before Loan Losses,2.79%,0.11%,1.97%,0.01%,(4.62%)
Provision For Loan Losses,11.17%,(1.99%),11.75%,93.75%,(36.58%)
Total Revenues,1.91%,0.35%,0.87%,(11.65%),1.76%
Salaries And Other Employee Benefits,0.65%,0.76%,0.69%,4.22%,5.99%
Occupancy Expense,(6.17%),(2.14%),(6.04%),2.81%,3.61%
Total Selling General & Admin Expenses,2.46%,(0.49%),0.74%,(0.74%),0.14%
Total Other Non Interest Expense,(6.50%),(1.89%),(0.26%),18.11%,0.52%
Total Non Interest Expense,(0.92%),(0.30%),0.27%,6.09%,3.06%
"EBT, Excl. Unusual Items",7.52%,1.53%,1.94%,(42.96%),(0.89%)
"EBT, Incl. Unusual Items",5.98%,3.01%,1.94%,(42.96%),(0.89%)
Income Tax Expense,356.05%,(81.77%),(17.30%),(43.00%),14.63%
Earnings From Continuing Operations,,,7.65%,(42.96%),(4.24%)
Earnings Of Discontinued Operations,(91.38%),-92.79%,-50.00%,(400.00%),-80.00%
Net Income to Company,,,7.67%,(43.05%),(4.15%)
Minority Interest,-4.76%,-41.67%,(88.57%),-39.39%,(125.71%)
Net Income,,,7.51%,(43.06%),(4.42%)
Preferred Dividend and Other Adjustments,(1.73%),9.92%,(10.48%),(5.04%),(0.57%)
Net Income to Common Incl Extra Items,,,9.00%,(45.63%),(4.71%)
Net Income to Common Excl. Extra Items,,,8.97%,(45.54%),(4.80%)
Revenue Per Share,9.05%,8.60%,11.82%,(4.72%),6.98%
Basic EPS,,,20.76%,(41.38%),0.18%
Basic EPS - Continuing Ops,,,20.79%,(41.26%),0.08%
Basic Weighted Average Shares Outst.,(6.56%),(7.60%),(9.79%),(7.26%),(4.88%)
Diluted EPS,,,20.12%,(41.28%),0.33%
Diluted EPS - Continuing Ops,,,20.15%,(41.16%),0.23%
Diluted Weighted Average Shares Outst.,(6.57%),(7.55%),(9.20%),(7.34%),(5.14%)
Normalized Basic EPS,15.03%,10.00%,12.84%,(38.49%),3.84%
Normalized Diluted EPS,15.03%,9.93%,12.03%,(38.51%),4.12%
Dividend Per Share,128.57%,60.42%,24.68%,6.25%,3.03%
Payout Ratio,,,0.92%,72.53%,
Effective Tax Rate,330.39%,(82.30%),(18.89%),(0.04%),15.66%
Normalized Net Income,7.58%,1.71%,1.74%,(42.98%),(1.22%)
Interest on Long-Term Debt,26.29%,17.55%,(0.87%),(28.10%),
Foreign Sales,109.90%,2.02%,2.28%,2.73%,
