Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,24.95%,23.77%,(9.89%),(10.84%),(2.64%)
Total Revenues,24.95%,23.77%,(9.89%),(10.84%),(2.64%)
Cost Of Revenues,24.68%,17.47%,(4.25%),(10.04%),(7.07%)
Gross Profit,26.83%,67.18%,(37.13%),(16.72%),33.21%
Selling General & Admin Expenses,22.11%,25.19%,(14.89%),(15.66%),7.14%
Total Operating Expenses,22.11%,41.19%,(20.93%),(15.99%),5.72%
Operating Income,28.64%,76.67%,(41.86%),(17.01%),45.23%
Interest Expense,(3.37%),-13.90%,-2.42%,(5.88%),-1.52%
Interest And Investment Income,14.81%,87.72%,39.70%,(62.67%),(60.54%)
Net Interest Expenses,(2.56%),-21.92%,-10.41%,(26.17%),(13.47%)
"EBT, Excl. Unusual Items",31.34%,84.54%,(43.81%),(20.63%),48.22%
"EBT, Incl. Unusual Items",34.75%,84.54%,(44.79%),(53.13%),60.35%
Income Tax Expense,(7.25%),102.58%,(44.96%),,(36.72%)
Earnings From Continuing Operations,53.33%,79.71%,(44.75%),(39.02%),97.78%
Net Income to Company,53.33%,79.71%,(44.75%),(39.02%),97.78%
Minority Interest,-40.58%,(94.43%),-17.08%,(14.83%),(19.81%)
Net Income,65.61%,79.02%,(46.16%),(43.24%),108.13%
Preferred Dividend and Other Adjustments,72.83%,105.41%,(24.71%),(38.08%),(23.54%)
NI to Common Incl Extra Items,65.58%,78.93%,(46.24%),(43.27%),109.09%
NI to Common Excl. Extra Items,65.58%,78.93%,(46.24%),(43.27%),109.09%
Revenue Per Share,24.78%,25.39%,(6.69%),(10.29%),(2.25%)
Basic EPS,65.60%,81.13%,(44.30%),(42.86%),109.93%
Basic EPS - Continuing Ops,65.60%,81.13%,(44.30%),(42.86%),109.93%
Basic Weighted Average Shares Outst.,0.13%,(1.29%),(3.42%),(0.61%),(0.40%)
Diluted EPS,65.19%,81.08%,(44.23%),(42.88%),109.04%
Diluted EPS - Continuing Ops,65.19%,81.08%,(44.23%),(42.88%),109.04%
Diluted Weighted Average Shares Outst.,0.30%,(1.26%),(3.55%),(0.73%),(0.42%)
Normalized Basic EPS,41.43%,86.62%,(43.57%),(23.55%),52.26%
Normalized Diluted EPS,41.08%,86.11%,(43.47%),(23.58%),52.28%
Dividend Per Share,0.83%,1.99%,4.06%,0.78%,0.62%
Payout Ratio,(39.09%),(44.13%),88.28%,76.04%,(51.86%)
EBITDA,21.35%,59.23%,(34.95%),(10.58%),32.04%
EBITA,28.40%,73.00%,(40.86%),(16.40%),42.89%
EBIT,28.64%,76.67%,(41.86%),(17.01%),45.23%
EBITDAR,,,,(10.47%),
Effective Tax Rate,(31.18%),9.77%,(0.29%),,(60.53%)
Normalized Net Income,41.62%,83.95%,(45.50%),(24.05%),51.65%
Interest on Long-Term Debt,,,,(6.92%),
