Income Statement,Mar 2017,Mar 2018,Mar 2019,Apr 2020,TTM
Revenues,11.64%,(36.33%),(4.03%),1.38%,0.00%
Total Revenues,11.64%,(36.33%),(4.03%),1.38%,0.00%
Cost Of Revenues,38.70%,(45.72%),(1.73%),(13.63%),(14.29%)
Gross Profit,6.06%,(33.80%),(4.53%),4.80%,2.89%
Selling General & Admin Expenses,27.47%,(34.35%),(15.51%),(4.72%),(24.95%)
R&D Expenses,10.03%,(44.71%),(7.69%),(21.90%),(24.44%)
Total Operating Expenses,25.13%,(37.52%),(13.26%),(8.94%),(24.49%)
Operating Income,(70.83%),30.64%,67.70%,63.59%,80.26%
Interest Expense,(177.33%),(23.08%),-18.75%,-5.77%,-19.29%
Interest And Investment Income,110.00%,14.29%,75.00%,90.48%,(60.87%)
Net Interest Expenses,(187.69%),(24.06%),-28.45%,-30.12%,(3.13%)
Currency Exchange Gains (Loss),-80.00%,(800.00%),-38.89%,-45.45%,
Other Non Operating Income (Expenses),170.00%,(22.22%),(38.10%),,
"EBT, Excl. Unusual Items",(97.92%),,,300.00%,128.77%
"EBT, Incl. Unusual Items",,,,,44.33%
Income Tax Expense,,"(2,669.23%)",,"7,933.33%",75.00%
Earnings From Continuing Operations,-71.25%,,,,36.70%
Earnings Of Discontinued Operations,(96.07%),33.85%,(18.97%),"2,246.81%",
Net Income to Company,,,(97.28%),"12,438.71%",(83.98%)
Net Income,,,(97.28%),"12,438.71%",(83.98%)
NI to Common Incl Extra Items,,,(97.28%),"12,438.71%",(83.98%)
NI to Common Excl. Extra Items,-71.25%,,,,36.70%
Revenue Per Share,21.10%,(36.09%),(6.36%),4.08%,5.14%
Basic EPS,,,(97.35%),"12,540.65%",(83.16%)
Basic EPS - Continuing Ops,-68.95%,,,,43.72%
Basic Weighted Average Shares Outst.,(7.76%),(0.32%),2.60%,(2.69%),(4.89%)
Diluted EPS,,,(97.11%),"11,992.38%",(83.26%)
Diluted EPS - Continuing Ops,-68.95%,,,,42.02%
Diluted Weighted Average Shares Outst.,(7.76%),8.09%,(5.39%),1.74%,(4.48%)
Normalized Basic EPS,(97.73%),,,321.29%,140.53%
Normalized Diluted EPS,(97.73%),,,302.94%,139.50%
Dividend Per Share,(50.00%),0.00%,0.00%,33.33%,42.86%
Payout Ratio,,,"3,675.62%",(99.07%),941.45%
EBITDA,(39.81%),(10.58%),28.17%,37.75%,62.34%
EBITA,(50.77%),(2.19%),46.65%,52.29%,80.26%
EBIT,(70.83%),30.64%,67.70%,63.59%,80.26%
EBITDAR,(38.06%),(12.02%),24.10%,35.17%,
Effective Tax Rate,(96.79%),,,,21.25%
Normalized Net Income,(97.92%),,,300.00%,128.77%
Interest on Long-Term Debt,"2,000.00%",28.57%,0.00%,(7.41%),
R&D Expense From Footnotes,24.74%,(49.79%),(7.41%),(20.44%),(23.51%)
Foreign Sales,12.88%,(52.48%),(17.11%),(1.72%),
