Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,20.95%,28.34%,22.26%,8.66%,7.74%
Total Interest Income,23.76%,23.66%,18.07%,7.63%,6.23%
Interest On Deposits,82.72%,115.19%,72.58%,(44.84%),(63.88%)
Total Interest On Borrowings,83.85%,45.41%,30.90%,(0.23%),(15.24%)
Total Interest Expense,83.34%,76.74%,53.69%,(27.62%),(44.61%)
Net Interest Income,18.40%,16.25%,10.52%,18.03%,21.40%
Service Charges On Deposits,9.34%,10.34%,4.39%,(9.04%),(11.63%)
Trust Income,25.12%,20.11%,5.53%,10.35%,11.23%
Total Other Non Interest Income,1.27%,13.98%,17.62%,9.39%,10.75%
Total Non Interest Income,16.63%,18.02%,6.21%,13.34%,12.66%
Revenue Before Loan Losses,18.08%,16.56%,9.75%,17.22%,19.85%
Provision For Loan Losses,27.52%,26.44%,(18.93%),154.65%,(27.08%)
Total Revenues,17.88%,16.33%,10.48%,14.64%,21.40%
Salaries And Other Employee Benefits,21.01%,18.75%,12.31%,17.86%,22.85%
Total Selling General & Admin Expenses,26.93%,15.53%,15.93%,10.50%,10.69%
Total Other Non Interest Expense,17.86%,16.19%,11.61%,(11.71%),(7.33%)
Total Non Interest Expense,22.61%,16.91%,11.99%,11.76%,15.14%
"EBT, Excl. Unusual Items",10.22%,15.30%,7.75%,20.08%,33.53%
"EBT, Incl. Unusual Items",10.22%,15.30%,7.75%,17.71%,31.17%
Income Tax Expense,0.24%,28.06%,2.52%,32.97%,45.02%
Earnings From Continuing Operations,12.51%,12.69%,8.96%,14.38%,27.96%
Net Income to Company,12.51%,12.69%,8.96%,14.38%,27.96%
Net Income,12.51%,12.69%,8.96%,14.38%,27.96%
Preferred Dividend and Other Adjustments,(15.38%),(0.54%),(14.99%),19.68%,30.28%
Net Income to Common Incl Extra Items,15.67%,13.79%,10.70%,14.09%,27.83%
Net Income to Common Excl. Extra Items,15.67%,13.79%,10.70%,14.09%,27.83%
Revenue Per Share,11.26%,12.52%,7.20%,11.97%,18.53%
Basic EPS,9.05%,10.04%,7.33%,11.39%,24.80%
Basic EPS - Continuing Ops,9.05%,10.04%,7.33%,11.39%,24.80%
Basic Weighted Average Shares Outst.,5.96%,3.38%,3.04%,2.40%,2.42%
Diluted EPS,9.67%,11.60%,8.11%,11.73%,24.59%
Diluted EPS - Continuing Ops,9.67%,11.60%,8.11%,11.73%,24.59%
Diluted Weighted Average Shares Outst.,5.35%,2.02%,2.38%,2.07%,2.39%
Normalized Basic EPS,3.94%,11.44%,4.67%,17.22%,30.37%
Normalized Diluted EPS,4.52%,13.08%,5.22%,17.57%,30.41%
Dividend Per Share,6.25%,5.88%,5.56%,5.26%,6.49%
Payout Ratio,(9.99%),(5.94%),(7.38%),(2.53%),
Effective Tax Rate,(9.06%),11.08%,(4.86%),12.93%,10.56%
Normalized Net Income,10.22%,15.30%,7.75%,20.08%,33.53%
Interest on Long-Term Debt,82.11%,42.73%,17.41%,17.00%,
