Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6043.2,6820.9,6992.1,7136.4,6683.8,6895.7
Total Revenues,6043.2,6820.9,6992.1,7136.4,6683.8,6895.7
Cost Of Revenues,3810.3,4275.2,4415.6,4506.5,4190.8,4291.1
Gross Profit,2232.9,2545.7,2576.5,2629.8,2492.9,2604.6
Selling General & Admin Expenses,1501.3,1682.6,1531.8,1431.2,1367.0,1387.0
R&D Expenses,,,143.0,141.0,142.1,147.8
Total Operating Expenses,1501.3,1682.6,1674.9,1572.1,1509.1,1534.8
Operating Income,731.6,863.1,901.6,1057.7,983.9,1069.8
Interest Expense,(136.0),(144.9),(131.0),(125.8),(111.9),(111.5)
Interest And Investment Income,6.8,8.5,8.9,4.5,3.6,3.1
Net Interest Expenses,(129.2),(136.5),(122.1),(121.3),(108.4),(108.4)
Currency Exchange Gains (Loss),3.6,,,,,
Other Non Operating Income (Expenses),3.8,(1.7),4.4,3.9,5.5,1.0
"EBT, Excl. Unusual Items",613.1,724.9,783.9,940.3,881.0,962.4
"EBT, Incl. Unusual Items",684.6,875.8,725.4,843.0,841.7,917.5
Income Tax Expense,182.5,129.2,134.2,165.1,158.3,177.5
Earnings From Continuing Operations,502.1,746.7,591.1,677.9,683.5,739.9
Earnings Of Discontinued Operations,6.8,65.0,(20.9),,,
Net Income to Company,508.9,811.7,570.3,677.9,683.5,739.9
Net Income,508.9,811.7,570.3,677.9,683.5,739.9
NI to Common Incl Extra Items,508.9,811.7,570.3,677.9,683.5,739.9
NI to Common Excl. Extra Items,502.1,746.7,591.1,677.9,683.5,739.9
Revenue Per Share,$38.93,$43.81,$46.65,$49.15,$46.40,$47.91
Basic EPS,$3.28,$5.21,$3.80,$4.67,$4.74,$5.14
Basic EPS - Continuing Ops,$3.23,$4.80,$3.94,$4.67,$4.74,$5.14
Basic Weighted Average Shares Outst.,155.2,155.7,149.9,145.2,144.1,143.9
Diluted EPS,$3.25,$5.14,$3.75,$4.61,$4.70,$5.10
Diluted EPS - Continuing Ops,$3.21,$4.73,$3.89,$4.61,$4.70,$5.10
Diluted Weighted Average Shares Outst.,156.6,157.7,152.1,147.0,145.4,145.2
Normalized Basic EPS,$2.47,$2.91,$3.27,$4.05,$3.82,$4.18
Normalized Diluted EPS,$2.45,$2.87,$3.22,$4.00,$3.79,$4.14
Dividend Per Share,$1.72,$1.82,$1.90,$1.94,$1.97,$1.98
Payout Ratio,52.61%,34.98%,49.73%,41.63%,41.60%,38.48%
EBITDA,981.2,1146.4,1184.2,1330.0,1262.9,1353.9
EBITA,861.7,1013.3,1045.5,1196.7,1122.9,1210.3
EBIT,731.6,863.1,901.6,1057.7,983.9,1069.8
EBITDAR,1050.6,,,1406.3,1340.2,
Effective Tax Rate,26.7%,14.7%,18.5%,19.6%,18.8%,19.4%
Normalized Net Income,383.2,453.1,489.9,587.7,550.6,601.5
R&D Expense From Footnotes,115.8,130.5,143.0,141.0,142.1,147.8
Foreign Sales,2691.8,3166.8,3372.4,3330.4,3006.5,
