Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.53%,(42.01%),30.68%,24.78%,(21.92%)
Total Revenues,4.53%,(42.01%),30.68%,24.78%,(21.92%)
Cost Of Revenues,6.58%,(37.86%),25.31%,38.22%,(9.85%)
Gross Profit,(0.87%),(53.72%),51.08%,(17.52%),(55.92%)
Selling General & Admin Expenses,(2.51%),(64.26%),40.47%,40.00%,(46.19%)
R&D Expenses,2.15%,(22.62%),30.56%,5.30%,(11.04%)
Other Operating Expense/(Income),(15.12%),-51.64%,-38.64%,-29.36%,-44.81%
Total Operating Expenses,(2.65%),(52.10%),43.73%,26.66%,(35.84%)
Operating Income,0.83%,(55.21%),58.31%,(56.97%),(75.45%)
Interest Expense,(2.01%),(16.22%),(44.75%),-17.71%,-15.41%
Interest And Investment Income,(11.48%),38.89%,(20.00%),(65.00%),(73.42%)
Net Interest Expenses,(3.89%),(13.53%),(54.17%),-14.14%,-9.39%
Currency Exchange Gains (Loss),,,,,(192.31%)
"EBT, Excl. Unusual Items",0.46%,(63.85%),63.42%,(75.60%),(87.76%)
"EBT, Incl. Unusual Items",8.83%,(67.74%),65.81%,,
Income Tax Expense,67.53%,(61.38%),(61.66%),36.58%,(89.90%)
Earnings From Continuing Operations,(9.49%),(71.42%),165.36%,,
Earnings Of Discontinued Operations,,,(49.99%),,
Net Income to Company,(9.33%),10.96%,5.48%,,
Minority Interest,-0.81%,-48.37%,(16.32%),-18.10%,-59.62%
Net Income,(9.95%),15.75%,5.09%,,
NI to Common Incl Extra Items,(9.95%),15.75%,5.09%,,
NI to Common Excl. Extra Items,(10.13%),(73.29%),188.65%,,
Revenue Per Share,8.27%,(42.76%),22.38%,(21.44%),(54.88%)
Basic EPS,(6.76%),14.29%,(1.56%),,
Basic EPS - Continuing Ops,(6.91%),(73.62%),170.15%,,
Basic Weighted Average Shares Outst.,(3.45%),1.32%,6.80%,58.84%,73.06%
Diluted EPS,(6.86%),14.09%,(1.44%),,
Diluted EPS - Continuing Ops,(7.01%),(73.68%),170.67%,,
Diluted Weighted Average Shares Outst.,(3.27%),1.38%,6.64%,57.17%,71.66%
Normalized Basic EPS,4.14%,(65.68%),58.41%,(87.92%),(94.27%)
Normalized Diluted EPS,3.98%,(65.70%),59.38%,(87.79%),(94.22%)
Dividend Per Share,3.82%,4.41%,3.52%,(26.53%),(35.48%)
Payout Ratio,11.32%,(9.60%),7.10%,,
EBITDA,2.44%,(46.10%),53.01%,(21.71%),(49.84%)
EBITA,1.39%,(51.17%),60.10%,(34.32%),(60.32%)
EBIT,0.83%,(55.21%),58.31%,(56.97%),(75.45%)
EBITDAR,,,,(18.94%),
Effective Tax Rate,53.94%,19.74%,(76.88%),,
Normalized Net Income,0.57%,(65.22%),69.61%,(80.79%),(90.08%)
R&D Expense From Footnotes,4.23%,(13.85%),39.47%,41.35%,26.78%
Foreign Earnings,4.50%,,,,
Foreign Sales,5.14%,(70.27%),26.93%,(21.49%),
