Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,9421.3,9101.0,9319.1,9458.2,12467.5,12483.5
Total Revenues,9421.3,9101.0,9319.1,9458.2,12467.5,12483.5
Cost Of Revenues,7426.5,7189.2,7462.3,7659.1,9932.0,9807.0
Gross Profit,1994.8,1911.8,1856.8,1799.1,2535.5,2676.5
Selling General & Admin Expenses,953.6,912.5,784.2,815.2,1282.8,1242.8
R&D Expenses,67.4,69.1,72.7,64.0,97.3,97.3
Other Operating Expense/(Income),(77.0),(41.1),(43.0),(18.4),(35.4),(22.4)
Total Operating Expenses,944.0,940.5,813.9,860.8,1344.7,1317.7
Operating Income,1050.8,971.3,1042.9,938.3,1190.8,1358.8
Interest Expense,(192.2),(190.9),(210.0),(207.9),(206.9),(175.9)
Interest And Investment Income,34.4,12.2,13.1,16.8,22.2,16.2
Net Interest Expenses,(157.8),(178.7),(196.9),(191.1),(184.7),(159.7)
Currency Exchange Gains (Loss),5.9,41.7,(81.7),10.0,21.0,34.0
Other Non Operating Income (Expenses),(9.0),,,,2.8,(0.2)
"EBT, Excl. Unusual Items",907.2,848.4,746.8,761.3,1015.9,1232.9
"EBT, Incl. Unusual Items",408.9,729.9,705.4,608.2,811.2,1018.2
Income Tax Expense,135.3,148.9,118.8,171.5,186.9,235.9
Earnings From Continuing Operations,273.6,581.0,586.6,436.7,624.3,782.3
Earnings Of Discontinued Operations,,,,0.7,(7.7),0.3
Net Income to Company,273.6,581.0,586.6,437.4,616.6,782.6
Minority Interest,(29.5),(17.0),(11.4),(7.2),(4.4),(5.4)
Net Income,244.1,564.0,575.2,430.2,612.2,777.2
Preferred Dividend and Other Adjustments,,1.7,1.3,0.8,0.4,0.4
NI to Common Incl Extra Items,244.1,562.3,573.9,429.4,611.8,776.8
NI to Common Excl. Extra Items,244.1,562.3,573.9,428.7,619.5,776.5
Revenue Per Share,$8.11,$7.89,$8.07,$8.01,$7.79,$7.95
Basic EPS,$0.21,$0.49,$0.50,$0.36,$0.38,$0.49
Basic EPS - Continuing Ops,$0.21,$0.49,$0.50,$0.36,$0.39,$0.49
Basic Weighted Average Shares Outst.,1162.2,1153.7,1154.4,1180.3,1600.0,1571.1
Diluted EPS,$0.21,$0.48,$0.49,$0.36,$0.38,$0.49
Diluted EPS - Continuing Ops,$0.21,$0.48,$0.49,$0.36,$0.39,$0.49
Diluted Weighted Average Shares Outst.,1177.3,1164.2,1161.7,1183.8,1601.6,1575.5
Normalized Basic EPS,$0.46,$0.44,$0.39,$0.40,$0.39,$0.49
Normalized Diluted EPS,$0.46,$0.44,$0.39,$0.40,$0.39,$0.49
Dividend Per Share,$0.41,$0.43,$0.45,$0.46,$0.46,$0.47
Payout Ratio,191.19%,85.23%,89.62%,154.83%,122.12%,94.26%
EBITDA,1396.1,1323.1,1395.6,1316.2,1820.9,1943.9
EBITA,1066.6,1000.6,1074.8,982.3,1395.2,1534.2
EBIT,1050.8,971.3,1042.9,938.3,1190.8,1358.8
EBITDAR,1497.2,1424.6,,,1933.0,
Effective Tax Rate,33.1%,20.4%,16.8%,28.2%,23.0%,23.2%
Normalized Net Income,537.5,513.3,455.4,468.6,630.5,765.2
Interest on Long-Term Debt,,,,,0.8,
R&D Expense From Footnotes,73.3,69.1,72.7,64.0,97.3,97.3
Foreign Sales,6506.0,5586.6,9319.1,9458.2,12467.5,
