Income Statement,Dec 2016,Dec 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,11026.1,8394.7,11492.4,10266.9,10488.6,8758.6
Total Revenues,11026.1,8394.7,11492.4,10266.9,10488.6,8758.6
Cost Of Revenues,5566.6,3844.6,5605.9,4641.7,4671.1,4061.6
Gross Profit,5459.5,4550.0,5886.5,5625.2,5817.4,4696.9
Selling General & Admin Expenses,3897.4,3626.3,4508.1,4302.3,4529.1,4064.9
Total Operating Expenses,3897.4,3626.3,4508.1,4302.3,4529.1,4064.9
Operating Income,1562.1,923.7,1378.4,1322.9,1288.3,632.0
Interest Expense,(94.7),(102.0),(102.4),(107.7),(92.0),(124.5)
Interest And Investment Income,9.2,13.0,14.1,15.0,19.9,11.0
Net Interest Expenses,(85.5),(89.0),(88.3),(92.7),(72.2),(113.5)
Currency Exchange Gains (Loss),2.9,(1.9),(2.8),0.4,10.3,3.9
Other Non Operating Income (Expenses),(0.9),5.3,4.0,(5.3),(69.8),(58.3)
"EBT, Excl. Unusual Items",1478.6,838.2,1291.3,1225.2,1156.6,464.1
"EBT, Incl. Unusual Items",1284.7,787.9,1278.4,1038.3,727.2,(22.3)
Income Tax Expense,205.9,519.8,641.5,167.9,98.1,167.7
Earnings From Continuing Operations,1078.9,268.1,636.9,870.4,629.1,(189.9)
Earnings Of Discontinued Operations,(4.7),346.9,21.6,389.4,50.3,24.5
Net Income to Company,1074.1,614.9,658.6,1259.8,679.4,(165.4)
Net Income,1074.1,614.9,658.6,1259.8,679.4,(165.4)
NI to Common Incl Extra Items,1074.1,614.9,658.6,1259.8,679.4,(165.4)
NI to Common Excl. Extra Items,1078.9,268.1,636.9,870.4,629.1,(189.9)
Revenue Per Share,$26.50,$21.03,$29.09,$25.98,$26.53,$22.47
Basic EPS,$2.58,$1.54,$1.67,$3.19,$1.72,($0.42)
Basic EPS - Continuing Ops,$2.59,$0.67,$1.61,$2.20,$1.59,($0.49)
Basic Weighted Average Shares Outst.,416.1,399.2,395.0,395.2,395.4,389.8
Diluted EPS,$2.55,$1.52,$1.65,$3.14,$1.70,($0.43)
Diluted EPS - Continuing Ops,$2.56,$0.66,$1.59,$2.17,$1.57,($0.49)
Diluted Weighted Average Shares Outst.,422.1,403.6,399.9,400.5,399.9,389.8
Normalized Basic EPS,$2.22,$1.31,$2.04,$1.94,$1.83,$0.74
Normalized Diluted EPS,$2.19,$1.30,$2.02,$1.91,$1.81,$0.74
Dividend Per Share,$1.53,$1.72,$1.76,$1.94,$1.90,$1.93
Payout Ratio,59.21%,111.34%,110.16%,60.89%,110.19%,NM
EBITDA,1816.3,1162.1,1662.1,1578.6,1555.9,899.4
EBITA,1562.1,937.9,1398.4,1343.4,1307.0,663.9
EBIT,1562.1,923.7,1378.4,1322.9,1288.3,632.0
EBITDAR,2172.3,1500.9,,1962.0,2089.7,
Effective Tax Rate,16.0%,66.0%,50.2%,16.2%,13.5%,NM
Normalized Net Income,924.1,523.9,807.1,765.8,722.9,290.1
Interest on Long-Term Debt,,,,,1.0,
Foreign Sales,4357.1,4083.6,,4920.7,4968.2,
