Income Statement,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,4411.5,4730.3,5302.8,5347.4,5601.3,5870.8
Total Revenues,4411.5,4730.3,5302.8,5347.4,5601.3,5870.8
Cost Of Revenues,2579.5,2915.4,3209.5,3202.1,3300.9,3456.5
Gross Profit,1832.0,1814.9,2093.3,2145.3,2300.4,2414.3
Selling General & Admin Expenses,1114.0,962.5,1081.8,1081.8,1203.0,1250.6
R&D Expenses,61.0,66.1,69.4,67.3,68.6,68.6
Total Operating Expenses,1175.0,1028.6,1151.2,1149.1,1271.6,1319.2
Operating Income,657.0,786.3,942.1,996.2,1028.8,1095.1
Interest Expense,(56.0),(95.7),(174.6),(165.2),(135.6),(134.1)
Interest And Investment Income,,5.7,7.1,10.1,7.8,7.8
Net Interest Expenses,(56.0),(90.0),(167.5),(155.1),(127.8),(126.3)
Currency Exchange Gains (Loss),(0.4),(1.3),(0.2),(0.7),(1.0),(0.5)
Other Non Operating Income (Expenses),6.1,0.4,0.3,(2.0),3.8,3.4
"EBT, Excl. Unusual Items",642.8,729.3,809.5,879.3,944.6,1015.4
"EBT, Incl. Unusual Items",625.3,628.7,776.1,860.1,922.3,967.9
Income Tax Expense,153.0,151.3,(157.3),157.4,174.9,203.4
Earnings From Continuing Operations,472.3,477.4,933.4,702.7,747.4,764.5
Net Income to Company,472.3,477.4,933.4,702.7,747.4,764.5
Net Income,472.3,477.4,933.4,702.7,747.4,764.5
NI to Common Incl Extra Items,472.3,477.4,933.4,702.7,747.4,764.5
NI to Common Excl. Extra Items,472.3,477.4,933.4,702.7,747.4,764.5
Revenue Per Share,$17.42,$18.65,$20.16,$20.17,$21.02,$22.01
Basic EPS,$1.87,$1.88,$3.55,$2.65,$2.80,$2.87
Basic EPS - Continuing Ops,$1.87,$1.88,$3.55,$2.65,$2.80,$2.87
Basic Weighted Average Shares Outst.,253.2,253.6,263.1,265.1,266.5,266.8
Diluted EPS,$1.85,$1.86,$3.50,$2.62,$2.78,$2.84
Diluted EPS - Continuing Ops,$1.85,$1.86,$3.50,$2.62,$2.78,$2.84
Diluted Weighted Average Shares Outst.,256.0,256.8,266.5,268.1,269.1,269.4
Normalized Basic EPS,$1.59,$1.80,$1.92,$2.07,$2.22,$2.38
Normalized Diluted EPS,$1.57,$1.77,$1.90,$2.05,$2.19,$2.36
Dividend Per Share,$0.86,$0.94,$1.04,$1.14,$1.24,$1.27
Payout Ratio,46.11%,49.77%,29.29%,43.01%,44.17%,44.28%
EBITDA,748.6,897.0,1078.8,1141.3,1181.4,1253.9
EBITA,668.3,802.6,962.7,1016.5,1049.0,1115.3
EBIT,657.0,786.3,942.1,996.2,1028.8,1095.1
EBITDAR,790.2,943.5,1137.3,1189.4,1222.6,
Effective Tax Rate,24.5%,24.1%,NM,18.3%,19.0%,21.0%
Normalized Net Income,401.8,455.8,505.9,549.6,590.4,634.6
Interest on Long-Term Debt,,,,,4.5,
R&D Expense From Footnotes,61.0,66.1,69.4,67.3,68.6,68.6
Foreign Sales,1846.2,1981.6,2157.8,2121.1,2155.4,
