Income Statement,Apr 2016,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,7811.2,7392.3,7357.1,7838.0,7801.0,8174.5
Total Revenues,7811.2,7392.3,7357.1,7838.0,7801.0,8174.5
Cost Of Revenues,4831.2,4551.3,4517.1,4922.3,4799.0,4983.1
Gross Profit,2980.0,2841.0,2840.0,2915.7,3002.0,3191.4
Selling General & Admin Expenses,1510.3,1340.0,1362.9,1508.6,1474.3,1490.9
Other Operating Expense/(Income),(32.1),(4.3),0.1,(3.3),(0.6),(5.9)
Total Operating Expenses,1686.6,1543.0,1569.8,1745.6,1710.0,1721.0
Operating Income,1293.4,1298.0,1270.2,1170.1,1292.0,1470.4
Interest Expense,(171.1),(163.1),(174.1),(207.9),(189.2),(180.3)
Net Interest Expenses,(171.1),(163.1),(174.1),(207.9),(189.2),(180.3)
Other Non Operating Income (Expenses),3.7,(40.7),(8.9),(19.1),(7.2),(4.1)
"EBT, Excl. Unusual Items",1126.0,1094.2,1087.2,943.1,1095.6,1286.0
"EBT, Incl. Unusual Items",977.9,878.4,861.0,701.6,1026.7,1277.0
Income Tax Expense,289.2,286.1,(477.6),187.2,247.2,321.4
Earnings From Continuing Operations,688.7,592.3,1338.6,514.4,779.5,955.6
Net Income to Company,688.7,592.3,1338.6,514.4,779.5,955.6
Net Income,688.7,592.3,1338.6,514.4,779.5,955.6
NI to Common Incl Extra Items,688.7,592.3,1338.6,514.4,779.5,955.6
NI to Common Excl. Extra Items,688.7,592.3,1338.6,514.4,779.5,955.6
Revenue Per Share,$65.44,$63.73,$64.76,$68.94,$68.43,$71.93
Basic EPS,$5.77,$5.11,$11.78,$4.52,$6.84,$8.41
Basic EPS - Continuing Ops,$5.77,$5.11,$11.78,$4.52,$6.84,$8.41
Basic Weighted Average Shares Outst.,119.4,116.0,113.6,113.7,114.0,113.7
Diluted EPS,$5.76,$5.10,$11.78,$4.52,$6.84,$8.41
Diluted EPS - Continuing Ops,$5.76,$5.10,$11.78,$4.52,$6.84,$8.41
Diluted Weighted Average Shares Outst.,119.6,116.1,113.6,113.7,114.0,113.7
Normalized Basic EPS,$5.90,$5.90,$5.98,$5.18,$6.01,$7.07
Normalized Diluted EPS,$5.89,$5.89,$5.98,$5.18,$6.01,$7.07
Dividend Per Share,$2.68,$3.00,$3.12,$3.40,$3.52,$3.58
Payout Ratio,45.97%,57.29%,26.17%,73.46%,50.90%,42.37%
EBITDA,1723.5,1717.0,1683.3,1616.4,1738.5,1921.6
EBITA,1501.8,1505.3,1477.0,1410.4,1528.3,1706.4
EBIT,1293.4,1298.0,1270.2,1170.1,1292.0,1470.4
EBITDAR,1816.0,1818.0,1778.5,1715.6,1844.0,
Effective Tax Rate,29.6%,32.6%,NM,26.7%,24.1%,25.2%
Normalized Net Income,703.8,683.9,679.5,589.4,684.8,803.8
Interest on Long-Term Debt,,,,,0.2,
R&D Expense From Footnotes,58.8,58.1,56.0,56.0,57.7,57.7
Foreign Sales,510.4,527.2,570.6,540.0,553.1,
