Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Jan 2021,TTM
Revenues,3430.4,3686.9,3740.7,3730.0,3592.5,3764.9
Other Revenues,281.4,313.4,329.7,337.7,349.7,352.4
Total Revenues,3711.8,4000.3,4070.4,4067.7,3942.2,4117.3
Cost Of Revenues,1802.1,1957.2,1970.5,1978.1,1931.8,2011.5
Gross Profit,1909.7,2043.1,2099.9,2089.6,2010.4,2105.8
Selling General & Admin Expenses,1054.8,1161.9,1140.3,1128.8,1094.9,1126.5
Total Operating Expenses,1054.8,1161.9,1140.3,1128.8,1094.9,1126.5
Operating Income,854.9,881.2,959.6,960.8,915.5,979.3
Interest Expense,(51.9),(52.1),(50.1),(48.8),(53.8),(56.8)
Interest And Investment Income,0.6,0.3,0.6,1.5,1.7,1.7
Net Interest Expenses,(51.3),(51.8),(49.5),(47.3),(52.1),(55.1)
Currency Exchange Gains (Loss),(1.3),(7.0),(3.9),(3.6),(3.9),(2.2)
Other Non Operating Income (Expenses),,(0.5),(1.8),0.6,0.1,0.4
"EBT, Excl. Unusual Items",804.8,823.1,905.1,911.4,859.9,923.2
"EBT, Incl. Unusual Items",803.9,823.1,910.6,923.0,835.5,906.3
Income Tax Expense,244.3,250.9,214.4,211.8,189.1,204.3
Earnings From Continuing Operations,559.6,572.2,696.2,711.2,646.4,702.0
Net Income to Company,559.6,572.2,696.2,711.2,646.4,702.0
Minority Interest,(13.2),(14.5),(16.3),(17.7),(19.4),(19.6)
Net Income,546.4,557.7,679.9,693.5,627.0,682.4
NI to Common Incl Extra Items,546.4,557.7,679.9,693.5,627.0,682.4
NI to Common Excl. Extra Items,546.4,557.7,679.9,693.5,627.0,682.4
Revenue Per Share,$63.89,$69.69,$72.30,$73.82,$72.60,$75.94
Basic EPS,$9.40,$9.72,$12.08,$12.59,$11.55,$12.59
Basic EPS - Continuing Ops,$9.40,$9.72,$12.08,$12.59,$11.55,$12.59
Basic Weighted Average Shares Outst.,58.1,57.4,56.3,55.1,54.3,54.2
Diluted EPS,$9.20,$9.52,$11.87,$12.41,$11.44,$12.46
Diluted EPS - Continuing Ops,$9.20,$9.52,$11.87,$12.41,$11.44,$12.46
Diluted Weighted Average Shares Outst.,59.4,58.6,57.3,55.9,54.8,54.8
Normalized Basic EPS,$8.43,$8.71,$9.76,$10.02,$9.54,$10.28
Normalized Diluted EPS,$8.25,$8.53,$9.59,$9.87,$9.45,$10.17
Dividend Per Share,$2.54,$2.95,$3.41,$3.93,$4.47,$4.62
Payout Ratio,26.99%,30.37%,28.24%,31.23%,38.80%,36.78%
EBITDA,926.7,959.7,1040.3,1043.1,1001.7,1066.4
EBITA,865.3,894.1,971.5,973.0,928.4,992.5
EBIT,854.9,881.2,959.6,960.8,915.5,979.3
EBITDAR,957.9,994.9,1073.3,1068.2,1026.3,
Effective Tax Rate,30.4%,30.5%,23.5%,22.9%,22.6%,22.5%
Normalized Net Income,489.8,499.9,549.4,551.9,518.0,557.4
Interest on Long-Term Debt,,,,0.5,0.4,
R&D Expense From Footnotes,67.2,75.6,74.6,69.2,67.9,67.9
Foreign Sales,1123.0,1297.0,1342.5,1273.7,1169.9,
