Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,22.57%,46.78%,17.35%,(45.56%),(54.47%)
Total Interest Income,22.57%,46.78%,17.35%,(45.56%),(54.47%)
Interest On Deposits,145.77%,162.66%,54.56%,(74.04%),(88.63%)
Total Interest Expense,145.77%,162.66%,54.56%,(74.04%),(88.63%)
Net Interest Income,5.42%,9.16%,(11.71%),(6.62%),(10.85%)
Trust Income,5.64%,3.05%,(7.07%),(0.65%),(0.44%)
Gain (Loss) on Sale of Invest. & Securities,(29.22%),,,166.04%,
Total Other Non Interest Income,(0.21%),7.03%,6.97%,(5.18%),(9.54%)
Total Non Interest Income,1.12%,4.46%,3.86%,(3.34%),(5.23%)
Revenue Before Loan Losses,2.01%,5.46%,0.43%,(3.97%),(6.30%)
Provision For Loan Losses,(118.18%),-54.17%,(127.27%),,(38.69%)
Total Revenues,2.09%,5.37%,0.51%,(6.16%),(6.03%)
Salaries And Other Employee Benefits,3.78%,2.32%,(0.43%),(0.38%),2.45%
Amort. of Goodwill & Intang. Assets,(11.81%),(13.88%),(35.00%),(11.11%),(10.53%)
Occupancy Expense,(3.72%),10.53%,(10.48%),3.01%,1.25%
Total Selling General & Admin Expenses,6.81%,4.00%,3.31%,0.75%,0.13%
Total Other Non Interest Expense,6.09%,(1.39%),(15.69%),7.19%,6.54%
Total Non Interest Expense,4.12%,2.32%,(2.77%),0.95%,2.11%
"EBT, Excl. Unusual Items",(2.43%),12.62%,7.61%,(20.03%),(21.83%)
"EBT, Incl. Unusual Items",(2.43%),12.62%,7.61%,(20.03%),(21.83%)
Income Tax Expense,(57.86%),89.11%,19.40%,(24.82%),(30.49%)
Earnings From Continuing Operations,15.95%,3.40%,5.01%,(18.83%),(19.61%)
Net Income to Company,15.95%,3.40%,5.01%,(18.83%),(19.61%)
Minority Interest,"(2,300.00%)",,,-65.38%,
Net Income,15.31%,4.30%,4.10%,(18.55%),(20.36%)
Preferred Dividend and Other Adjustments,25.29%,(10.09%),(4.59%),6.95%,25.95%
Net Income to Common Incl Extra Items,14.79%,5.11%,4.52%,(19.68%),(22.35%)
Net Income to Common Excl. Extra Items,14.79%,5.11%,4.52%,(19.68%),(22.35%)
Revenue Per Share,5.25%,8.67%,7.25%,(1.04%),(2.37%)
Basic EPS,18.47%,8.51%,11.51%,(15.33%),(19.33%)
Basic EPS - Continuing Ops,18.47%,8.51%,11.51%,(15.33%),(19.33%)
Basic Weighted Average Shares Outst.,(3.00%),(3.03%),(6.31%),(5.19%),(3.75%)
Diluted EPS,18.10%,8.60%,11.63%,(15.08%),(19.03%)
Diluted EPS - Continuing Ops,18.10%,8.60%,11.63%,(15.08%),(19.03%)
Diluted Weighted Average Shares Outst.,(2.96%),(3.19%),(6.36%),(5.36%),(3.89%)
Normalized Basic EPS,(0.27%),17.66%,13.49%,(15.32%),(19.77%)
Normalized Diluted EPS,(0.12%),17.60%,13.78%,(15.02%),(19.66%)
Dividend Per Share,19.44%,20.93%,13.46%,5.08%,2.48%
Payout Ratio,3.70%,8.79%,1.41%,23.47%,
Effective Tax Rate,(56.81%),67.90%,10.94%,(6.01%),(11.08%)
Normalized Net Income,(3.21%),13.99%,6.41%,(19.69%),(22.78%)
Interest on Long-Term Debt,64.35%,53.90%,9.80%,(36.91%),
Foreign Sales,7.17%,8.05%,(5.10%),1.73%,
