Income Statement,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,56.80%,16.81%,34.38%,(1.41%),0.38%
Total Revenues,56.80%,16.81%,34.38%,(1.41%),0.38%
Cost Of Revenues,58.62%,6.57%,31.56%,(0.99%),(0.35%)
Gross Profit,55.46%,24.53%,36.20%,(1.67%),0.84%
Selling General & Admin Expenses,65.99%,(9.37%),50.78%,(0.89%),(9.81%)
R&D Expenses,46.35%,(2.93%),56.11%,6.23%,(4.71%)
Total Operating Expenses,62.95%,6.14%,48.76%,16.72%,(3.30%)
Operating Income,39.61%,69.97%,16.83%,(37.77%),14.22%
Interest Expense,(40.67%),(36.02%),(152.71%),-1.11%,-23.90%
Interest And Investment Income,(87.30%),609.68%,(63.18%),(65.43%),(58.06%)
Net Interest Expenses,(79.90%),(23.60%),(179.55%),-0.06%,-23.69%
Currency Exchange Gains (Loss),42.86%,,,,
Other Non Operating Income (Expenses),,379.17%,(53.91%),(54.72%),(100.00%)
"EBT, Excl. Unusual Items",31.98%,87.17%,(20.83%),(67.87%),83.44%
"EBT, Incl. Unusual Items",(68.08%),721.05%,(72.26%),(26.45%),(5.82%)
Income Tax Expense,(89.67%),,,(177.54%),-76.28%
Earnings From Continuing Operations,(47.33%),49.71%,39.35%,60.33%,(48.36%)
Net Income to Company,(49.18%),55.16%,39.35%,60.33%,(48.36%)
Net Income,(49.21%),55.16%,39.35%,60.33%,(48.36%)
NI to Common Incl Extra Items,(49.21%),55.16%,39.35%,60.33%,(48.36%)
NI to Common Excl. Extra Items,(47.36%),49.71%,39.35%,60.33%,(48.36%)
Revenue Per Share,46.91%,8.94%,32.52%,(2.53%),(5.06%)
Basic EPS,(52.34%),44.29%,36.98%,58.18%,(51.16%)
Basic EPS - Continuing Ops,(50.60%),38.81%,36.98%,58.18%,(51.16%)
Basic Weighted Average Shares Outst.,6.78%,7.23%,1.42%,1.14%,5.73%
Diluted EPS,(52.72%),47.14%,37.86%,57.04%,(50.20%)
Diluted EPS - Continuing Ops,(51.01%),41.10%,37.86%,57.04%,(50.20%)
Diluted Weighted Average Shares Outst.,8.00%,6.01%,0.40%,2.52%,3.92%
Normalized Basic EPS,23.35%,74.39%,(21.93%),(68.29%),73.50%
Normalized Diluted EPS,21.55%,76.29%,(20.97%),(68.72%),76.53%
Dividend Per Share,0.77%,0.63%,0.48%,0.34%,0.55%
Payout Ratio,113.33%,(31.04%),(26.77%),(36.60%),105.30%
EBITDA,50.39%,52.33%,26.83%,(4.07%),7.43%
EBITA,56.14%,59.33%,25.19%,(3.83%),8.95%
EBIT,39.61%,69.97%,16.83%,(37.77%),14.22%
EBITDAR,50.45%,,,,
Effective Tax Rate,,,,,-74.82%
Normalized Net Income,31.85%,87.17%,(20.83%),(67.87%),83.44%
Interest on Long-Term Debt,40.67%,36.02%,152.71%,(1.11%),
R&D Expense From Footnotes,46.35%,(2.93%),56.11%,6.23%,(4.71%)
Foreign Sales,57.54%,,,1.05%,
