Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,11262.0,11824.0,13683.0,14863.0,14294.0,14190.0
Total Revenues,11262.0,11824.0,13683.0,14863.0,14294.0,14190.0
Cost Of Revenues,2181.0,2419.0,2826.0,3365.0,3542.0,3497.0
Gross Profit,9081.0,9405.0,10857.0,11498.0,10752.0,10693.0
Selling General & Admin Expenses,7330.0,7529.0,8599.0,8896.0,8651.0,8547.0
Total Operating Expenses,7330.0,7529.0,8599.0,8896.0,8651.0,8547.0
Operating Income,1751.0,1876.0,2258.0,2602.0,2101.0,2146.0
Interest Expense,(71.0),(103.0),(128.0),(133.0),(161.0),(179.0)
Interest And Investment Income,16.0,28.0,56.0,58.0,48.0,52.0
Net Interest Expenses,(55.0),(75.0),(72.0),(75.0),(113.0),(127.0)
Currency Exchange Gains (Loss),,,,77.0,23.0,0.0
"EBT, Excl. Unusual Items",1696.0,1801.0,2186.0,2604.0,2011.0,2019.0
"EBT, Incl. Unusual Items",1555.0,1617.0,1980.0,2307.0,1046.0,1176.0
Income Tax Expense,434.0,361.0,863.0,513.0,350.0,237.0
Earnings From Continuing Operations,1121.0,1256.0,1117.0,1794.0,696.0,939.0
Net Income to Company,1121.0,1256.0,1117.0,1794.0,696.0,939.0
Minority Interest,(6.0),(7.0),(9.0),(9.0),(12.0),(11.0)
Net Income,1115.0,1249.0,1108.0,1785.0,684.0,928.0
NI to Common Incl Extra Items,1115.0,1249.0,1108.0,1785.0,684.0,928.0
NI to Common Excl. Extra Items,1115.0,1249.0,1108.0,1785.0,684.0,928.0
Revenue Per Share,$30.44,$32.21,$37.18,$40.89,$39.64,$39.21
Basic EPS,$3.01,$3.40,$3.01,$4.91,$1.90,$2.56
Basic EPS - Continuing Ops,$3.01,$3.40,$3.01,$4.91,$1.90,$2.56
Basic Weighted Average Shares Outst.,370.0,367.1,368.0,363.5,360.6,361.9
Diluted EPS,$2.96,$3.35,$2.95,$4.82,$1.86,$2.53
Diluted EPS - Continuing Ops,$2.96,$3.35,$2.95,$4.82,$1.86,$2.53
Diluted Weighted Average Shares Outst.,376.6,373.0,375.7,370.4,366.9,367.3
Normalized Basic EPS,$2.85,$3.05,$3.69,$4.45,$3.45,$3.46
Normalized Diluted EPS,$2.80,$3.00,$3.61,$4.37,$3.39,$3.41
Dividend Per Share,$1.14,$1.32,$1.48,$1.67,$1.39,$1.49
Payout Ratio,37.94%,38.91%,49.28%,34.12%,73.54%,58.30%
EBITDA,2166.0,2340.0,2789.0,3159.0,2712.0,2786.0
EBITA,1767.0,1911.0,2309.0,2653.0,2174.0,2249.0
EBIT,1751.0,1876.0,2258.0,2602.0,2101.0,2146.0
EBITDAR,2608.0,2813.0,,,3519.0,
Effective Tax Rate,27.9%,22.3%,43.6%,22.2%,33.5%,20.2%
Normalized Net Income,1054.0,1118.6,1357.3,1618.5,1244.9,1250.9
Interest on Long-Term Debt,,103.0,,,1.0,
R&D Expense From Footnotes,191.0,179.0,181.0,202.0,228.0,228.0
Foreign Earnings,,1630.0,2312.0,2554.0,689.0,
Foreign Sales,6983.0,7458.0,9160.0,10571.0,10845.0,
