Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,4.68%,5.36%,4.48%,2.73%,1.94%
Total Interest And Dividend Income,4.13%,3.21%,(0.24%),(9.76%),(7.21%)
Gain (Loss) on Sale of Investments,217.65%,(47.22%),(0.88%),(98.23%),
Other Revenues,1.85%,4.79%,14.65%,(2.75%),1.54%
Total Revenues,5.10%,4.77%,4.29%,1.27%,1.79%
Policy Benefits,15.91%,4.72%,4.60%,(0.05%),(0.90%)
Policy Acquisition / Underwriting Costs,4.54%,5.16%,5.02%,3.74%,3.00%
Selling General & Admin Expenses,0.39%,3.05%,1.58%,3.30%,2.02%
Total Operating Expenses,11.18%,4.52%,4.19%,1.09%,0.19%
Operating Income,(27.76%),6.91%,5.10%,2.70%,15.91%
"Interest Expense, Total",(1.65%),-4.61%,-2.27%,-1.45%,-0.88%
"EBT, Excl. Unusual Items",(30.48%),8.46%,5.98%,3.15%,17.88%
"EBT, Incl. Unusual Items",(32.64%),8.46%,5.98%,3.15%,17.88%
Income Tax Expense,(35.13%),(35.01%),17.81%,4.65%,24.30%
Earnings From Continuing Operations,(31.79%),22.71%,3.92%,2.86%,16.65%
Net Income to Company,(31.79%),22.71%,3.92%,2.86%,16.65%
Net Income,(31.79%),22.71%,3.92%,2.86%,16.65%
Pref. Dividends and Other Adj.,(31.82%),26.67%,0.00%,0.00%,0.00%
NI to Common Incl Extra Items,(31.78%),22.68%,3.95%,2.88%,16.78%
NI to Common Excl. Extra Items,(31.78%),22.68%,3.95%,2.88%,16.78%
Revenue Per Share,9.71%,8.14%,7.25%,3.86%,3.78%
Basic EPS,(28.83%),26.72%,6.96%,5.54%,19.07%
Basic EPS - Continuing Ops,(28.83%),26.72%,6.96%,5.54%,19.07%
Basic Weighted Average Shares Outst.,(4.20%),(3.12%),(2.77%),(2.50%),(1.92%)
Diluted EPS,(28.70%),26.60%,6.90%,6.05%,19.55%
Diluted EPS - Continuing Ops,(28.70%),26.60%,6.90%,6.05%,19.55%
Diluted Weighted Average Shares Outst.,(4.26%),(3.16%),(2.78%),(2.94%),(2.28%)
Normalized Basic EPS,(27.44%),11.99%,9.01%,5.85%,20.19%
Normalized Diluted EPS,(27.35%),12.08%,9.00%,6.23%,20.63%
Dividend Per Share,8.02%,7.07%,6.60%,4.33%,3.66%
Payout Ratio,51.99%,(15.50%),(0.22%),(0.83%),(12.66%)
EBITDA,(23.53%),5.21%,3.13%,2.83%,14.55%
EBITA,(27.64%),7.01%,5.02%,2.66%,15.80%
EBIT,(27.76%),6.91%,5.10%,2.70%,15.91%
EBITDAR,(22.83%),4.90%,1.07%,2.65%,
Effective Tax Rate,(3.71%),(40.09%),11.18%,1.47%,5.44%
Normalized Net Income,(30.48%),8.46%,5.98%,3.15%,17.88%
Foreign Sales,(4.18%),13.04%,4.24%,(4.37%),
