Income Statement,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,9.11%,9.07%,(0.13%),(0.70%),0.30%
Total Revenues,9.11%,9.07%,(0.13%),(0.70%),0.30%
Cost Of Revenues,11.09%,7.62%,(3.46%),(1.96%),1.45%
Gross Profit,4.72%,12.50%,7.40%,1.86%,(1.93%)
Selling General & Admin Expenses,(8.53%),27.09%,(8.92%),0.18%,(1.62%)
R&D Expenses,(19.78%),11.98%,13.02%,15.09%,18.65%
Other Operating Expense/(Income),(131.89%),-48.09%,(57.57%),-19.22%,-19.09%
Total Operating Expenses,(17.80%),37.92%,(11.28%),3.80%,2.84%
Operating Income,14.79%,4.36%,15.31%,1.23%,(3.41%)
Interest Expense,(4.69%),(8.21%),(4.98%),-20.22%,(7.52%)
Net Interest Expenses,(10.54%),(8.21%),(4.98%),-20.22%,(7.52%)
Other Non Operating Income (Expenses),,,16.78%,,
"EBT, Excl. Unusual Items",6.28%,15.79%,15.22%,3.15%,(1.53%)
"EBT, Incl. Unusual Items",(8.91%),42.29%,13.62%,5.87%,(0.23%)
Income Tax Expense,(39.69%),100.96%,(8.43%),(0.35%),0.62%
Earnings From Continuing Operations,2.96%,29.04%,21.38%,7.52%,(0.43%)
Earnings Of Discontinued Operations,,(97.74%),,,0.00%
Net Income to Company,362.24%,(49.26%),18.04%,6.73%,(0.64%)
Minority Interest,-7.56%,(68.75%),(40.74%),-10.12%,-32.71%
Net Income,375.42%,(50.08%),17.51%,7.20%,0.26%
NI to Common Incl Extra Items,375.42%,(50.08%),17.51%,7.20%,0.26%
NI to Common Excl. Extra Items,3.17%,28.31%,20.91%,8.01%,0.48%
Revenue Per Share,8.30%,8.42%,(0.58%),(1.12%),(0.06%)
Basic EPS,371.35%,(50.36%),16.97%,6.75%,(0.10%)
Basic EPS - Continuing Ops,2.43%,27.64%,20.32%,7.56%,0.11%
Basic Weighted Average Shares Outst.,0.74%,0.60%,0.46%,0.41%,0.36%
Diluted EPS,372.30%,(50.32%),17.11%,6.87%,0.04%
Diluted EPS - Continuing Ops,2.38%,27.71%,20.49%,7.68%,0.25%
Diluted Weighted Average Shares Outst.,0.69%,0.45%,0.36%,0.32%,0.23%
Normalized Basic EPS,5.72%,14.19%,14.04%,3.25%,(0.75%)
Normalized Diluted EPS,5.77%,14.35%,13.99%,3.23%,(0.62%)
Dividend Per Share,9.44%,14.56%,7.76%,13.10%,15.52%
Payout Ratio,(77.02%),128.26%,(5.78%),3.57%,13.18%
EBITDA,10.11%,6.84%,14.05%,3.92%,0.78%
EBITA,14.61%,4.70%,15.23%,1.27%,(3.30%)
EBIT,14.79%,4.36%,15.31%,1.23%,(3.41%)
EBITDAR,9.77%,7.28%,13.80%,3.62%,
Effective Tax Rate,(33.80%),41.26%,(19.41%),(5.88%),0.85%
Normalized Net Income,6.59%,14.76%,14.49%,3.62%,(0.39%)
Interest Capitalized,(41.90%),2.63%,(30.77%),17.78%,
R&D Expense From Footnotes,(19.78%),11.98%,13.02%,15.09%,18.65%
Foreign Sales,15.44%,9.05%,(3.69%),(1.26%),
