Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,5.10%,(13.06%),5.93%,(4.75%),0.00%
Total Revenues,5.10%,(13.06%),5.93%,(4.75%),0.00%
Cost Of Revenues,5.02%,(12.37%),5.74%,(4.65%),0.00%
Gross Profit,5.27%,(14.58%),6.37%,(4.97%),0.00%
Selling General & Admin Expenses,5.17%,(17.71%),3.90%,(4.54%),0.00%
Total Operating Expenses,5.17%,(17.71%),3.90%,(4.54%),0.00%
Operating Income,5.43%,(9.52%),9.99%,(5.57%),0.00%
Interest Expense,-2.57%,(2.41%),(9.86%),(2.43%),0.00%
Interest And Investment Income,17.50%,(74.47%),(75.00%),650.00%,0.00%
Net Interest Expenses,-3.33%,(5.91%),(10.80%),(0.83%),0.00%
Currency Exchange Gains (Loss),(340.00%),(45.45%),-25.78%,(5.26%),0.00%
Other Non Operating Income (Expenses),375.00%,352.63%,(2.33%),,0.00%
"EBT, Excl. Unusual Items",6.46%,(11.53%),10.12%,(7.87%),0.00%
"EBT, Incl. Unusual Items",(18.57%),(11.29%),11.22%,(7.91%),0.00%
Income Tax Expense,(71.51%),192.89%,1.58%,24.39%,0.00%
Earnings From Continuing Operations,(8.36%),(23.53%),13.43%,(14.56%),0.00%
Earnings Of Discontinued Operations,,,(19.41%),,0.00%
Net Income to Company,(12.09%),3.08%,5.43%,(39.06%),0.00%
Minority Interest,-41.21%,(55.67%),(0.66%),-6.58%,0.00%
Net Income,(11.76%),2.69%,5.48%,(39.41%),0.00%
NI to Common Incl Extra Items,(11.76%),2.69%,5.48%,(39.41%),0.00%
NI to Common Excl. Extra Items,(7.99%),(24.11%),13.62%,(14.66%),0.00%
Revenue Per Share,6.87%,(10.35%),8.40%,(4.15%),0.00%
Basic EPS,(10.35%),5.89%,7.94%,(39.03%),0.00%
Basic EPS - Continuing Ops,(6.47%),(21.75%),16.17%,(14.14%),0.00%
Basic Weighted Average Shares Outst.,(1.66%),(3.02%),(2.27%),(0.62%),0.00%
Diluted EPS,(10.77%),6.12%,7.99%,(39.15%),0.00%
Diluted EPS - Continuing Ops,(6.88%),(21.60%),16.38%,(14.29%),0.00%
Diluted Weighted Average Shares Outst.,(1.38%),(3.10%),(2.28%),(0.53%),0.00%
Normalized Basic EPS,9.34%,(9.57%),12.70%,(7.22%),0.00%
Normalized Diluted EPS,8.98%,(9.36%),12.79%,(7.35%),0.00%
Dividend Per Share,25.00%,15.29%,8.16%,0.00%,0.00%
Payout Ratio,39.85%,8.56%,0.85%,64.15%,0.00%
EBITDA,4.98%,(12.64%),8.84%,(4.34%),0.00%
EBITA,5.02%,(9.67%),9.28%,(5.26%),0.00%
EBIT,5.43%,(9.52%),9.99%,(5.57%),0.00%
EBITDAR,,,,(3.27%),
Effective Tax Rate,(65.02%),229.95%,(8.69%),35.05%,0.00%
Normalized Net Income,7.38%,(12.24%),10.30%,(7.89%),0.00%
R&D Expense From Footnotes,1.39%,(20.92%),4.50%,(5.28%),0.00%
