Income Statement,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,5.82%,8.07%,9.72%,0.96%,(11.11%)
Total Revenues,5.82%,8.07%,9.72%,0.96%,(11.11%)
Cost Of Revenues,2.45%,6.49%,8.21%,3.53%,(6.73%)
Gross Profit,17.68%,12.93%,14.10%,(6.11%),(23.44%)
Selling General & Admin Expenses,(19.39%),27.73%,12.24%,(1.45%),(9.80%)
R&D Expenses,58.21%,27.36%,14.07%,0.00%,0.00%
Total Operating Expenses,(17.54%),27.71%,12.32%,(1.39%),(9.37%)
Operating Income,43.59%,6.68%,15.00%,(8.44%),(30.74%)
Interest Expense,(937.29%),(77.78%),-1.56%,(0.84%),(12.18%)
Net Interest Expenses,(937.29%),(77.78%),-1.56%,(0.84%),(12.18%)
Currency Exchange Gains (Loss),(3.85%),,,-96.97%,-96.97%
"EBT, Excl. Unusual Items",20.79%,4.97%,10.15%,(13.63%),(37.51%)
"EBT, Incl. Unusual Items",16.24%,8.72%,11.88%,(22.97%),(47.62%)
Income Tax Expense,17.79%,(28.79%),10.23%,(15.94%),(47.87%)
Earnings From Continuing Operations,15.48%,27.48%,12.34%,(24.90%),(47.54%)
Net Income to Company,15.48%,27.48%,12.34%,(24.90%),(47.54%)
Minority Interest,(43.01%),(27.07%),-49.11%,,
Net Income,14.58%,27.50%,14.83%,(23.55%),(47.54%)
Preferred Dividend and Other Adjustments,(56.25%),28.57%,300.00%,,
NI to Common Incl Extra Items,15.79%,27.49%,12.97%,(21.78%),(47.61%)
NI to Common Excl. Extra Items,15.79%,27.49%,12.97%,(21.78%),(47.61%)
Revenue Per Share,5.72%,7.94%,9.58%,1.17%,(11.15%)
Basic EPS,15.79%,27.50%,12.83%,(21.54%),(47.63%)
Basic EPS - Continuing Ops,15.79%,27.50%,12.83%,(21.54%),(47.63%)
Basic Weighted Average Shares Outst.,0.07%,0.14%,0.14%,(0.20%),0.05%
Diluted EPS,15.63%,27.03%,12.77%,(21.70%),(47.54%)
Diluted EPS - Continuing Ops,15.63%,27.03%,12.77%,(21.70%),(47.54%)
Diluted Weighted Average Shares Outst.,0.41%,0.27%,0.20%,(0.14%),(0.03%)
Normalized Basic EPS,19.88%,3.72%,13.09%,(11.50%),(37.55%)
Normalized Diluted EPS,19.47%,3.70%,12.97%,(11.70%),(37.49%)
Dividend Per Share,,99.34%,2.96%,10.26%,11.45%
Payout Ratio,,215.51%,(10.46%),40.06%,119.14%
EBITDA,37.07%,10.50%,14.75%,(4.41%),(23.55%)
EBITA,43.48%,6.68%,14.90%,(8.37%),(30.37%)
EBIT,43.59%,6.68%,15.00%,(8.44%),(30.74%)
EBITDAR,31.24%,4.42%,14.01%,(3.29%),
Effective Tax Rate,1.33%,(34.51%),(1.46%),9.13%,(0.48%)
Normalized Net Income,20.02%,4.06%,13.14%,(11.67%),(37.51%)
Interest Capitalized,92.59%,(19.23%),80.95%,(65.79%),
R&D Expense From Footnotes,58.21%,27.36%,14.07%,0.00%,0.00%
