Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,10163.0,10584.0,11099.0,11362.0,11673.0,11673.0
Total Revenues,10163.0,10584.0,11099.0,11362.0,11673.0,11673.0
Cost Of Revenues,5857.0,5999.0,6288.0,6446.0,6940.0,6940.0
Gross Profit,4306.0,4585.0,4811.0,4916.0,4733.0,4733.0
Selling General & Admin Expenses,2520.0,2516.0,2401.0,2384.0,2360.0,2360.0
R&D Expenses,566.0,615.0,618.0,542.0,495.0,495.0
Other Operating Expense/(Income),,(56.0),(9.0),,,
Total Operating Expenses,3086.0,3075.0,3010.0,2926.0,2855.0,2855.0
Operating Income,1220.0,1510.0,1801.0,1990.0,1878.0,1878.0
Interest Expense,(89.0),(85.0),(93.0),(111.0),(153.0),(153.0)
Interest And Investment Income,39.0,30.0,48.0,40.0,19.0,19.0
Net Interest Expenses,(50.0),(55.0),(45.0),(71.0),(134.0),(134.0)
Currency Exchange Gains (Loss),28.0,(63.0),14.0,(37.0),(49.0),(49.0)
Other Non Operating Income (Expenses),24.0,(7.0),(11.0),7.0,(1.0),(1.0)
"EBT, Excl. Unusual Items",1222.0,1385.0,1759.0,1889.0,1694.0,1694.0
"EBT, Incl. Unusual Items",4954.0,1100.0,1617.0,970.0,1292.0,1292.0
Income Tax Expense,(12.0),491.0,65.0,(41.0),182.0,182.0
Earnings From Continuing Operations,4966.0,609.0,1552.0,1011.0,1110.0,1110.0
Earnings Of Discontinued Operations,(1.0),(7.0),(6.0),,,
Net Income to Company,4965.0,602.0,1546.0,1011.0,1110.0,1110.0
Minority Interest,,,,(10.0),(8.0),(8.0)
Net Income,4965.0,602.0,1546.0,1001.0,1102.0,1102.0
NI to Common Incl Extra Items,4965.0,602.0,1546.0,1001.0,1102.0,1102.0
NI to Common Excl. Extra Items,4966.0,609.0,1552.0,1001.0,1102.0,1102.0
Revenue Per Share,$18.61,$19.49,$20.78,$22.32,$22.93,$22.93
Basic EPS,$9.09,$1.11,$2.90,$1.97,$2.17,$2.17
Basic EPS - Continuing Ops,$9.10,$1.12,$2.91,$1.97,$2.17,$2.17
Basic Weighted Average Shares Outst.,546.0,543.0,534.0,509.0,509.0,509.0
Diluted EPS,$9.01,$1.09,$2.83,$1.93,$2.13,$2.13
Diluted EPS - Continuing Ops,$9.01,$1.10,$2.84,$1.93,$2.13,$2.13
Diluted Weighted Average Shares Outst.,551.0,555.0,546.0,519.0,517.0,517.0
Normalized Basic EPS,$1.40,$1.59,$2.06,$2.30,$2.06,$2.06
Normalized Diluted EPS,$1.39,$1.56,$2.01,$2.26,$2.03,$2.03
Dividend Per Share,$0.51,$0.61,$0.73,$0.85,$0.96,$0.96
Payout Ratio,5.40%,52.33%,24.32%,42.26%,42.92%,42.92%
EBITDA,1972.0,2250.0,2563.0,2774.0,2701.0,2701.0
EBITA,1383.0,1664.0,1970.0,2173.0,2100.0,2100.0
EBIT,1220.0,1510.0,1801.0,1990.0,1878.0,1878.0
EBITDAR,2146.0,,2715.0,2984.0,2870.0,2870.0
Effective Tax Rate,NM,44.6%,4.0%,NM,14.1%,14.1%
Normalized Net Income,763.8,865.6,1099.4,1170.6,1050.8,1050.8
Interest Capitalized,18.0,13.0,12.0,9.0,9.0,9.0
Interest on Long-Term Debt,107.0,,,14.0,14.0,14.0
R&D Expense From Footnotes,687.0,615.0,654.0,595.0,521.0,521.0
Foreign Sales,5904.0,6074.0,6376.0,6536.0,6795.0,6795.0
