Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,6.99%,7.21%,(4.28%),(4.06%),0.00%
Total Revenues,6.99%,7.21%,(4.28%),(4.06%),0.00%
Fuel & Purchased Power,11.04%,18.77%,(7.04%),(8.99%),0.00%
Operations And Maintenance,(2.15%),(1.28%),(5.28%),2.56%,0.00%
Depreciation & Amortization,12.71%,5.36%,7.08%,0.89%,0.00%
Other Operating Expenses,8.78%,0.34%,(11.87%),(3.95%),0.00%
Total Operating Expenses,6.49%,9.41%,(5.16%),(4.03%),0.00%
Operating Income,10.12%,(6.26%),2.02%,(4.26%),0.00%
"Interest Expense, Total",(1.56%),-0.38%,(3.99%),(1.18%),0.00%
Net Interest Expenses,(2.43%),-0.38%,(3.99%),(1.18%),0.00%
Allow. For Equity Funds Used For Const.,,(5.48%),23.19%,22.35%,0.00%
Other Non-Operating Inc. (Exp.),273.76%,,,(28.96%),0.00%
"EBT, Excl. Unusual Items",39.45%,(33.68%),41.57%,(8.72%),0.00%
Gain (Loss) on Sale of Assets,,(74.07%),(42.86%),(25.00%),0.00%
"EBT, Incl. Unusual Items",92.05%,(41.30%),73.05%,(38.80%),0.00%
Income Tax Expense,,,555.93%,(51.81%),0.00%
Earnings From Continuing Operations,223.49%,(46.27%),45.65%,(35.47%),0.00%
Net Income to Company,223.49%,(46.27%),45.65%,(35.47%),0.00%
Minority Interest,(20.00%),-17.78%,(24.32%),,0.00%
Net Income,237.11%,(46.94%),46.43%,(33.14%),0.00%
NI to Common Incl Extra Items,237.11%,(46.94%),46.43%,(33.14%),0.00%
NI to Common Excl. Extra Items,237.11%,(46.94%),46.43%,(33.14%),0.00%
Revenue Per Share,4.38%,4.98%,(4.88%),(4.35%),0.00%
Basic EPS,229.79%,(48.03%),45.77%,(33.40%),0.00%
Basic EPS - Continuing Ops,229.79%,(48.03%),45.77%,(33.40%),0.00%
Basic Weighted Average Shares Outst.,2.49%,2.11%,0.62%,0.31%,0.00%
Diluted EPS,228.93%,(47.99%),45.41%,(33.22%),0.00%
Diluted EPS - Continuing Ops,228.93%,(47.99%),45.41%,(33.22%),0.00%
Diluted Weighted Average Shares Outst.,2.37%,2.11%,0.52%,0.31%,0.00%
Normalized Basic EPS,37.13%,(35.60%),41.72%,(4.94%),0.00%
Normalized Diluted EPS,36.84%,(35.49%),41.58%,(5.04%),0.00%
Dividend Per Share,3.97%,5.34%,5.07%,5.52%,0.00%
Payout Ratio,(68.55%),103.10%,(27.81%),58.48%,0.00%
EBITDA,8.33%,(1.72%),3.16%,(2.42%),0.00%
EBITA,9.56%,(5.58%),1.99%,(3.37%),0.00%
EBIT,10.12%,(6.26%),2.02%,(4.26%),0.00%
EBITDAR,6.93%,(1.99%),2.63%,(3.29%),
Effective Tax Rate,,,279.10%,(21.27%),0.00%
Normalized Net Income,40.26%,(34.24%),42.34%,(4.78%),0.00%
Interest Capitalized,(41.67%),(50.79%),(22.58%),(8.33%),
