Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.35%,66.31%,20.39%,(4.55%),0.00%
Total Revenues,0.35%,66.31%,20.39%,(4.55%),0.00%
Fuel & Purchased Power,6.28%,99.21%,17.27%,(13.12%),0.00%
Operations And Maintenance,(4.04%),80.39%,17.92%,(8.51%),0.00%
Depreciation & Amortization,9.81%,66.48%,39.25%,2.14%,0.00%
Other Operating Expenses,(2.16%),32.45%,16.57%,2.02%,0.00%
Total Operating Expenses,1.70%,72.09%,21.48%,(5.90%),0.00%
Operating Income,(3.37%),49.53%,16.74%,0.14%,0.00%
"Interest Expense, Total",(5.75%),(63.51%),(33.76%),(2.65%),0.00%
Interest and Investment Income,60.00%,120.00%,25.00%,(1.82%),0.00%
Net Interest Expenses,(4.90%),(62.16%),(34.05%),(2.78%),0.00%
Other Non-Operating Inc. (Exp.),,(42.59%),,108.93%,0.00%
"EBT, Excl. Unusual Items",(10.63%),44.41%,13.93%,(0.49%),0.00%
"EBT, Incl. Unusual Items",(10.63%),24.05%,29.36%,(6.44%),0.00%
Income Tax Expense,(18.05%),(60.98%),64.41%,5.36%,0.00%
Earnings From Continuing Operations,(6.84%),62.26%,25.57%,(8.11%),0.00%
Net Income to Company,(6.84%),62.26%,25.57%,(8.11%),0.00%
Minority Interest,-13.70%,-19.05%,(53.92%),-25.48%,0.00%
Net Income,(6.55%),65.42%,25.03%,(7.70%),0.00%
NI to Common Incl Extra Items,(6.55%),65.42%,25.03%,(7.70%),0.00%
NI to Common Excl. Extra Items,(6.55%),65.42%,25.03%,(7.70%),0.00%
Revenue Per Share,0.07%,10.81%,7.52%,0.63%,0.00%
Basic EPS,(6.85%),10.35%,11.88%,(2.81%),0.00%
Basic EPS - Continuing Ops,(6.85%),10.35%,11.88%,(2.81%),0.00%
Basic Weighted Average Shares Outst.,0.28%,50.11%,11.97%,(5.14%),0.00%
Diluted EPS,(6.58%),10.13%,11.60%,(2.51%),0.00%
Diluted EPS - Continuing Ops,(6.58%),10.13%,11.60%,(2.51%),0.00%
Diluted Weighted Average Shares Outst.,0.07%,50.14%,12.05%,(5.17%),0.00%
Normalized Basic EPS,(10.84%),(1.94%),0.92%,5.67%,0.00%
Normalized Diluted EPS,(10.52%),(2.03%),0.75%,5.53%,0.00%
Dividend Per Share,5.26%,8.44%,10.92%,6.22%,0.00%
Payout Ratio,16.86%,(21.18%),27.17%,8.93%,0.00%
EBITDA,1.50%,55.03%,25.23%,1.30%,0.00%
EBITA,(3.37%),49.53%,16.74%,0.14%,0.00%
EBIT,(3.37%),49.53%,16.74%,0.14%,0.00%
EBITDAR,,,,0.32%,
Effective Tax Rate,(8.30%),(68.54%),27.12%,12.65%,0.00%
Normalized Net Income,(10.49%),47.15%,12.98%,0.32%,0.00%
Interest Capitalized,(44.00%),85.71%,39.42%,13.79%,
Interest on Long-Term Debt,,,,6.90%,
