Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Premiums and Annuity Revenues,(1.21%),4.89%,14.57%,17.85%,0.00%
Total Interest And Dividend Income,33.45%,8.44%,3.54%,(28.02%),0.00%
Gain (Loss) on Sale of Investments,(85.42%),542.86%,(31.11%),"1,251.61%",0.00%
Other Revenues,1.34%,48.37%,(1.24%),26.13%,0.00%
Total Revenues,(1.13%),5.85%,14.01%,18.90%,0.00%
Policy Benefits,(3.36%),5.49%,17.38%,14.43%,0.00%
Depreciation & Amortization,6.78%,3.97%,16.54%,6.77%,0.00%
Selling General & Admin Expenses,(10.51%),17.23%,(2.54%),37.06%,0.00%
Total Operating Expenses,(4.27%),6.97%,14.59%,17.06%,0.00%
Operating Income,88.29%,(10.42%),4.08%,53.94%,0.00%
"Interest Expense, Total",(28.04%),-9.92%,(11.01%),(16.94%),0.00%
"EBT, Excl. Unusual Items",95.17%,(11.14%),22.46%,32.90%,0.00%
"EBT, Incl. Unusual Items",159.02%,(48.41%),67.31%,34.70%,0.00%
Income Tax Expense,67.59%,(75.13%),95.14%,71.30%,0.00%
Earnings From Continuing Operations,298.70%,(31.25%),60.84%,24.38%,0.00%
Net Income to Company,298.70%,(31.25%),60.84%,24.38%,0.00%
Net Income,298.70%,(31.25%),60.84%,24.38%,0.00%
NI to Common Incl Extra Items,298.70%,(31.25%),60.84%,24.38%,0.00%
NI to Common Excl. Extra Items,298.70%,(31.25%),60.84%,24.38%,0.00%
Revenue Per Share,2.22%,11.24%,16.93%,20.57%,0.00%
Basic EPS,312.21%,(27.74%),64.98%,26.15%,0.00%
Basic EPS - Continuing Ops,312.21%,(27.74%),64.98%,26.15%,0.00%
Basic Weighted Average Shares Outst.,(3.27%),(4.85%),(2.50%),(1.38%),0.00%
Diluted EPS,313.02%,(27.66%),65.30%,25.92%,0.00%
Diluted EPS - Continuing Ops,313.02%,(27.66%),65.30%,25.92%,0.00%
Diluted Weighted Average Shares Outst.,(3.53%),(4.93%),(2.66%),(1.27%),0.00%
Normalized Basic EPS,101.73%,(6.61%),25.55%,34.74%,0.00%
Normalized Diluted EPS,102.26%,(6.56%),25.79%,34.57%,0.00%
Dividend Per Share,37.93%,25.00%,10.00%,13.64%,0.00%
Payout Ratio,(68.83%),75.15%,(31.75%),(10.76%),0.00%
EBITDA,78.69%,(9.15%),4.05%,51.28%,0.00%
EBITA,84.65%,(10.12%),3.73%,53.34%,0.00%
EBIT,88.29%,(10.42%),4.08%,53.94%,0.00%
EBITDAR,74.05%,(9.68%),5.50%,48.77%,
Effective Tax Rate,(35.30%),(51.78%),16.65%,27.16%,0.00%
Normalized Net Income,95.17%,(11.14%),22.46%,32.90%,0.00%
