Income Statement,Oct 2017,Oct 2018,Oct 2019,Oct 2020,TTM
Revenues,7.91%,12.33%,0.49%,(3.60%),(1.70%)
Total Revenues,7.91%,12.33%,0.49%,(3.60%),(1.70%)
Cost Of Revenues,8.25%,12.54%,(0.45%),(2.91%),(0.97%)
Gross Profit,6.45%,11.39%,4.70%,(6.56%),(4.73%)
Selling General & Admin Expenses,14.32%,11.05%,8.71%,(6.90%),(6.43%)
R&D Expenses,(1.57%),17.98%,6.77%,(1.40%),(0.39%)
Total Operating Expenses,10.18%,13.94%,8.74%,(5.63%),(4.94%)
Operating Income,1.65%,7.84%,(1.25%),(8.07%),(4.40%)
Interest Expense,(13.19%),(0.97%),-22.44%,-1.24%,(3.39%)
Interest And Investment Income,175.00%,75.76%,(31.03%),(50.00%),(50.00%)
Net Interest Expenses,-2.41%,-19.34%,-17.35%,(22.84%),(30.77%)
Currency Exchange Gains (Loss),(20.59%),,,,
Other Non Operating Income (Expenses),(91.52%),,(50.65%),-98.87%,-92.09%
"EBT, Excl. Unusual Items",(9.37%),(9.81%),(16.53%),32.33%,31.81%
"EBT, Incl. Unusual Items",(12.90%),(8.03%),(16.26%),28.06%,45.90%
Income Tax Expense,(31.51%),,-72.82%,,
Earnings From Continuing Operations,(5.25%),110.89%,(40.83%),(9.77%),6.84%
Net Income to Company,1.20%,110.89%,(40.83%),(9.77%),6.84%
Net Income,1.20%,110.89%,(40.83%),(9.77%),6.84%
NI to Common Incl Extra Items,1.20%,110.89%,(40.83%),(9.77%),6.84%
NI to Common Excl. Extra Items,(5.25%),110.89%,(40.83%),(9.77%),6.84%
Revenue Per Share,10.61%,17.40%,7.11%,3.36%,6.82%
Basic EPS,3.92%,119.90%,(36.95%),(3.23%),16.09%
Basic EPS - Continuing Ops,(2.83%),119.90%,(36.95%),(3.23%),16.09%
Basic Weighted Average Shares Outst.,(2.43%),(4.32%),(6.19%),(6.73%),(7.97%)
Diluted EPS,3.50%,120.27%,(36.50%),(3.38%),16.33%
Diluted EPS - Continuing Ops,(3.27%),120.27%,(36.50%),(3.38%),16.33%
Diluted Weighted Average Shares Outst.,(2.35%),(4.00%),(6.73%),(6.82%),(7.95%)
Normalized Basic EPS,(7.11%),(5.51%),(10.78%),41.73%,43.23%
Normalized Diluted EPS,(7.26%),(5.93%),(10.63%),42.25%,43.19%
Dividend Per Share,6.00%,5.66%,14.43%,10.12%,9.99%
Payout Ratio,2.94%,(52.31%),82.31%,13.93%,(5.06%)
EBITDA,2.04%,11.20%,3.34%,(5.97%),(3.36%)
EBITA,1.26%,9.81%,(0.41%),(7.92%),(4.23%)
EBIT,1.65%,7.84%,(1.25%),(8.07%),(4.40%)
EBITDAR,1.95%,,,,
Effective Tax Rate,(21.35%),,,,
Normalized Net Income,(9.37%),(9.81%),(16.53%),32.33%,31.81%
R&D Expense From Footnotes,(1.57%),17.98%,6.77%,(1.40%),(0.39%)
Foreign Sales,8.41%,78.62%,0.49%,(3.60%),
