Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,17.22%,3.03%,(11.96%),(22.05%),0.00%
Other Revenue,(49.82%),12.13%,42.77%,(0.76%),0.00%
Total Revenues,(3.76%),3.67%,(7.79%),(19.53%),0.00%
Property Expenses,4.02%,8.45%,(4.72%),(15.05%),0.00%
Selling General & Admin Exp.,4.97%,(5.91%),19.77%,(6.20%),0.00%
Depreciation & Amortization,1.99%,4.00%,(6.15%),(4.63%),0.00%
Total Operating Expenses,4.16%,6.57%,(3.71%),(11.16%),0.00%
Operating Income,(18.30%),(3.13%),(18.31%),(44.96%),0.00%
Total Interest Expense,(4.67%),(0.66%),-24.10%,-13.19%,0.00%
Interest and Investment Income,40.13%,(49.98%),27.92%,,
Net Interest Expenses,(1.85%),(6.21%),-26.78%,-5.37%,0.00%
Other Non Operating Income,,,-25.80%,(73.44%),0.00%
"EBT, Excl. Unusual Items",(31.63%),(14.30%),(7.78%),(85.56%),0.00%
Gain (Loss) on Sale of Assets,(99.69%),"49,007.98%",243.66%,(54.90%),0.00%
Asset Writedown,,,(749.38%),(131.82%),0.00%
Other Unusual Items,,,,,0.00%
"EBT, Incl. Unusual Items",(45.34%),43.75%,647.99%,,0.00%
Income Tax Expense,434.84%,(11.19%),174.86%,(64.59%),0.00%
Earnings From Continuing Operations,(51.93%),52.14%,690.18%,,0.00%
Net Income to Company,(73.10%),60.00%,688.98%,,0.00%
Minority Interest,-51.05%,,,,0.00%
Net Income,(74.92%),97.86%,599.61%,,0.00%
Pref. Dividends and Other Adj.,(21.54%),(0.43%),(22.60%),2.77%,0.00%
NI to Common Incl Extra Items,(80.33%),137.57%,704.99%,,0.00%
NI to Common Excl. Extra Items,(58.15%),119.26%,706.33%,,0.00%
Revenue Per Share,(4.08%),3.28%,(8.05%),(19.67%),0.00%
Basic EPS,(80.40%),137.98%,703.67%,,0.00%
Basic EPS - Continuing Ops,(58.36%),119.51%,703.68%,,0.00%
Basic Weighted Average Shares Outst.,0.36%,0.37%,0.31%,0.18%,0.00%
Diluted EPS,(80.46%),136.80%,706.62%,,0.00%
Diluted EPS - Continuing Ops,(58.50%),118.42%,706.63%,,0.00%
Diluted Weighted Average Shares Outst.,0.57%,0.02%,(0.12%),0.05%,0.00%
Normalized Basic EPS,(24.95%),21.57%,,,0.00%
Normalized Diluted EPS,(24.97%),22.33%,,,0.00%
Dividend Per Share,3.97%,(3.82%),4.76%,(9.85%),0.00%
Payout Ratio,302.29%,(51.85%),(85.19%),,0.00%
FFO,(50.77%),,,(25.20%),0.00%
FFO Payout Ratio %,111.92%,,,119.56%,0.00%
FFO (Diluted),(50.75%),,,(25.20%),0.00%
AFFO,(50.77%),,,(25.20%),
Funds Available for Distribution,(50.77%),,,(25.20%),
FFO Per Share (Basic),,,,(25.36%),0.00%
FFO Shares (Basic),,,,0.18%,0.00%
FFO Per Share (Diluted),,,,(25.14%),0.00%
FFO Shares (Diluted),,,,0.07%,0.00%
Adjusted FFO Per Share (Basic),,,,(25.36%),
Adjusted FFO Per Share (Diluted),,,,(25.23%),
EBITDA,(15.76%),(6.16%),(11.70%),(26.46%),0.00%
EBITA,(18.55%),(3.04%),(17.35%),(45.83%),0.00%
EBIT,(18.30%),(3.13%),(18.31%),(44.96%),0.00%
EBITDAR,,,,(26.09%),
Effective Tax Rate,881.73%,(38.20%),(63.26%),,0.00%
Normalized Net Income,(24.82%),22.29%,,,0.00%
Interest Capitalized,58.95%,51.70%,(1.32%),(43.14%),
