Income Statement,Jul 2016,Jul 2017,Jul 2018,Jul 2019,Aug 2020,TTM
Revenues,7961.0,5837.0,6615.0,8107.0,8691.0,8965.0
Total Revenues,7961.0,5837.0,6615.0,8107.0,8691.0,8965.0
Cost Of Revenues,5033.0,3391.0,4154.0,5396.0,5683.0,5844.0
Gross Profit,2928.0,2446.0,2461.0,2711.0,3008.0,3121.0
Selling General & Admin Expenses,1380.0,1090.0,1177.0,1383.0,1519.0,1546.0
R&D Expenses,105.0,93.0,91.0,88.0,92.0,88.0
Other Operating Expense/(Income),293.0,(240.0),(211.0),123.0,106.0,79.0
Total Operating Expenses,1778.0,943.0,1057.0,1594.0,1717.0,1713.0
Operating Income,1150.0,1503.0,1404.0,1117.0,1291.0,1408.0
Interest Expense,(115.0),(115.0),(183.0),(356.0),(345.0),(226.0)
Interest And Investment Income,4.0,,3.0,2.0,4.0,2.0
Net Interest Expenses,(111.0),(115.0),(180.0),(354.0),(341.0),(224.0)
Currency Exchange Gains (Loss),1.0,(15.0),1.0,,(2.0),0.0
"EBT, Excl. Unusual Items",1040.0,1373.0,1225.0,763.0,948.0,1184.0
"EBT, Incl. Unusual Items",849.0,1316.0,830.0,625.0,766.0,1078.0
Income Tax Expense,286.0,392.0,106.0,151.0,174.0,272.0
Earnings From Continuing Operations,563.0,924.0,724.0,474.0,592.0,806.0
Earnings Of Discontinued Operations,,(37.0),(463.0),(263.0),1036.0,2.0
Net Income to Company,563.0,887.0,261.0,211.0,1628.0,808.0
Net Income,563.0,887.0,261.0,211.0,1628.0,808.0
NI to Common Incl Extra Items,563.0,887.0,261.0,211.0,1628.0,808.0
NI to Common Excl. Extra Items,563.0,924.0,724.0,474.0,592.0,806.0
Revenue Per Share,$25.76,$19.14,$21.98,$26.93,$28.78,$29.59
Basic EPS,$1.82,$2.91,$0.87,$0.70,$5.39,$2.67
Basic EPS - Continuing Ops,$1.82,$3.03,$2.41,$1.57,$1.96,$2.66
Basic Weighted Average Shares Outst.,309.0,305.0,301.0,301.0,302.0,303.0
Diluted EPS,$1.81,$2.89,$0.87,$0.70,$5.36,$2.66
Diluted EPS - Continuing Ops,$1.81,$3.01,$2.40,$1.57,$1.95,$2.65
Diluted Weighted Average Shares Outst.,311.0,307.0,302.0,302.0,304.0,305.0
Normalized Basic EPS,$2.10,$2.81,$2.54,$1.58,$1.96,$2.44
Normalized Diluted EPS,$2.09,$2.80,$2.54,$1.58,$1.95,$2.43
Dividend Per Share,$1.25,$1.40,$1.40,$1.40,$1.40,$1.42
Payout Ratio,69.27%,47.35%,163.22%,200.47%,26.17%,52.97%
EBITDA,1458.0,1696.0,1683.0,1480.0,1619.0,1728.0
EBITA,1170.0,1504.0,1424.0,1165.0,1334.0,1450.0
EBIT,1150.0,1503.0,1404.0,1117.0,1291.0,1408.0
EBITDAR,1503.0,1732.0,,,,
Effective Tax Rate,33.7%,29.8%,12.8%,24.2%,22.7%,25.2%
Normalized Net Income,650.0,858.1,765.6,476.9,592.5,740.0
Interest Capitalized,3.0,2.0,3.0,3.0,5.0,
R&D Expense From Footnotes,105.0,93.0,91.0,91.0,93.0,88.0
Foreign Sales,1524.0,466.0,547.0,615.0,526.0,
