Income Statement,Feb 2018,Feb 2019,Jan 2020,Jan 2021,TTM
Revenues,5.54%,3.92%,1.18%,24.19%,24.19%
Total Revenues,5.54%,3.92%,1.18%,24.19%,24.19%
Cost Of Revenues,6.56%,4.80%,1.34%,22.36%,22.36%
Gross Profit,3.51%,2.11%,0.84%,28.06%,28.06%
Selling General & Admin Expenses,0.81%,13.96%,(7.16%),13.15%,13.15%
Depreciation & Amortization,(3.37%),5.20%,(16.11%),12.83%,12.83%
Total Operating Expenses,0.42%,13.19%,(7.90%),13.13%,13.13%
Operating Income,11.76%,(24.54%),32.37%,65.56%,65.56%
Interest Expense,-0.76%,0.00%,(10.12%),(21.45%),(21.45%)
Interest And Investment Income,58.33%,47.37%,(3.57%),(11.11%),(11.11%)
Net Interest Expenses,-1.86%,-1.42%,(10.74%),(22.72%),(22.72%)
"EBT, Excl. Unusual Items",13.43%,(26.99%),35.48%,70.58%,70.58%
"EBT, Incl. Unusual Items",5.54%,(38.17%),65.67%,37.63%,37.63%
Income Tax Expense,(3.13%),(47.11%),24.26%,41.88%,41.88%
Earnings From Continuing Operations,11.45%,(32.87%),85.00%,36.30%,36.30%
Net Income to Company,11.45%,(32.87%),85.00%,36.30%,36.30%
Net Income,11.45%,(32.87%),85.00%,36.30%,36.30%
Preferred Dividend and Other Adjustments,(64.52%),(36.36%),85.71%,84.62%,84.62%
NI to Common Incl Extra Items,12.21%,(32.86%),85.00%,36.15%,36.15%
NI to Common Excl. Extra Items,12.21%,(32.86%),85.00%,36.15%,36.15%
Revenue Per Share,10.70%,7.50%,5.60%,29.01%,29.00%
Basic EPS,17.68%,(30.62%),93.41%,41.51%,41.43%
Basic EPS - Continuing Ops,17.68%,(30.62%),93.41%,41.51%,41.43%
Basic Weighted Average Shares Outst.,(4.66%),(3.34%),(4.19%),(3.73%),(3.73%)
Diluted EPS,17.87%,(30.56%),93.31%,41.17%,41.17%
Diluted EPS - Continuing Ops,17.87%,(30.56%),93.31%,41.17%,41.17%
Diluted Weighted Average Shares Outst.,(4.65%),(3.33%),(4.19%),(3.60%),(3.60%)
Normalized Basic EPS,18.89%,(24.40%),41.38%,77.05%,77.20%
Normalized Diluted EPS,19.07%,(24.49%),41.20%,76.96%,76.95%
Dividend Per Share,18.80%,17.09%,15.14%,7.98%,7.98%
Payout Ratio,3.11%,68.26%,(39.89%),(22.72%),(22.73%)
EBITDA,8.59%,(19.06%),21.12%,56.73%,56.73%
EBITA,11.76%,(24.54%),32.37%,65.56%,65.56%
EBIT,11.76%,(24.54%),32.37%,65.56%,65.56%
EBITDAR,,,,51.04%,
Effective Tax Rate,(8.21%),(14.46%),(25.00%),3.07%,3.09%
Normalized Net Income,13.43%,(26.99%),35.48%,70.58%,70.58%
Interest Capitalized,25.00%,(40.00%),(66.67%),,
Interest on Long-Term Debt,0.31%,0.31%,9.06%,20.20%,
Foreign Sales,45.39%,1.51%,(8.02%),5.86%,
