Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,6.82%,13.81%,8.90%,(10.44%),(10.88%)
Total Interest Income,12.18%,13.18%,8.14%,(11.74%),(12.24%)
Interest On Deposits,20.41%,128.81%,88.15%,(58.66%),(74.60%)
Total Interest On Borrowings,78.95%,70.59%,35.34%,(70.06%),(76.81%)
Total Interest Expense,45.98%,97.64%,63.75%,(63.02%),(75.39%)
Net Interest Income,10.61%,7.99%,1.88%,(2.46%),(1.38%)
Trust Income,27.03%,17.02%,9.09%,3.33%,1.61%
Gain (Loss) on Sale of Invest. & Securities,100.00%,(92.86%),200.00%,133.33%,
Total Other Non Interest Income,81.58%,2.69%,0.60%,1.20%,3.16%
Total Non Interest Income,5.43%,1.47%,1.81%,2.14%,7.98%
Revenue Before Loan Losses,9.48%,6.63%,1.87%,(1.55%),0.50%
Provision For Loan Losses,(74.19%),,,940.54%,(92.00%)
Total Revenues,12.88%,9.13%,(0.85%),(14.02%),10.54%
Salaries And Other Employee Benefits,3.05%,6.12%,4.61%,(2.66%),(0.28%)
Occupancy Expense,3.20%,2.33%,0.76%,(2.26%),(2.26%)
Total Selling General & Admin Expenses,2.18%,(1.71%),(0.87%),(1.75%),3.54%
Total Other Non Interest Expense,0.00%,(8.30%),5.88%,12.82%,(1.65%)
Total Non Interest Expense,3.28%,2.32%,1.85%,(0.12%),0.24%
"EBT, Excl. Unusual Items",34.47%,20.89%,(4.80%),(35.75%),31.57%
Restructuring Charges,,,"(1,166.67%)",-97.37%,-97.37%
"EBT, Incl. Unusual Items",32.77%,22.12%,(7.87%),(36.18%),34.21%
Income Tax Expense,45.76%,(24.71%),(8.49%),(43.88%),23.60%
Earnings From Continuing Operations,26.23%,49.32%,(7.69%),(33.95%),37.28%
Net Income to Company,26.23%,49.32%,(7.69%),(33.95%),37.28%
Net Income,26.23%,49.32%,(7.69%),(33.95%),37.28%
Preferred Dividend and Other Adjustments,(24.19%),(12.77%),(2.44%),(5.00%),(2.56%)
Net Income to Common Incl Extra Items,33.91%,54.68%,(7.95%),(35.44%),39.97%
Net Income to Common Excl. Extra Items,33.91%,54.68%,(7.95%),(35.44%),39.97%
Revenue Per Share,14.65%,13.14%,9.08%,(7.56%),15.43%
Basic EPS,35.72%,60.69%,1.37%,(30.62%),46.16%
Basic EPS - Continuing Ops,35.72%,60.69%,1.37%,(30.62%),46.16%
Basic Weighted Average Shares Outst.,(1.51%),(3.58%),(9.09%),(6.96%),(4.24%)
Diluted EPS,30.65%,56.92%,1.96%,(27.40%),53.52%
Diluted EPS - Continuing Ops,30.65%,56.92%,1.96%,(27.40%),53.52%
Diluted Weighted Average Shares Outst.,2.64%,(1.50%),(9.68%),(11.20%),(9.59%)
Normalized Basic EPS,36.62%,25.42%,4.72%,(30.86%),37.39%
Normalized Diluted EPS,30.84%,22.56%,5.36%,(27.72%),45.53%
Dividend Per Share,57.14%,136.36%,23.08%,6.25%,3.03%
Payout Ratio,(5.38%),22.52%,19.34%,50.82%,
Effective Tax Rate,9.77%,(38.34%),(0.67%),(12.08%),(7.91%)
Normalized Net Income,34.47%,20.89%,(4.80%),(35.75%),31.57%
Interest on Long-Term Debt,(35.14%),16.67%,64.29%,(17.39%),
