Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,4.97%,12.04%,(0.54%),(8.99%),0.00%
Total Revenues,4.97%,12.04%,(0.54%),(8.99%),0.00%
Cost Of Revenues,7.72%,14.04%,(0.92%),(5.05%),0.00%
Gross Profit,(4.55%),4.19%,1.10%,(25.55%),0.00%
Selling General & Admin Expenses,4.46%,2.74%,20.38%,(9.37%),0.00%
Total Operating Expenses,3.97%,3.09%,19.38%,(7.97%),0.00%
Operating Income,(9.89%),4.99%,(11.89%),(42.47%),0.00%
Interest Expense,-9.68%,(0.71%),(16.31%),0.00%,0.00%
Interest And Investment Income,600.00%,200.00%,(38.10%),(38.46%),0.00%
Net Interest Expenses,-13.64%,-9.77%,(25.83%),(3.31%),0.00%
Other Non Operating Income (Expenses),(11.11%),350.00%,(44.44%),(70.00%),0.00%
"EBT, Excl. Unusual Items",(9.56%),7.63%,(15.94%),(55.34%),0.00%
"EBT, Incl. Unusual Items",24.25%,5.52%,(15.92%),63.98%,0.00%
Income Tax Expense,33.53%,12.11%,(47.20%),(62.88%),0.00%
Earnings From Continuing Operations,22.47%,4.14%,(8.85%),80.57%,0.00%
Earnings Of Discontinued Operations,(20.31%),,,,
Net Income to Company,7.69%,(22.48%),(8.85%),80.57%,0.00%
Minority Interest,(5.80%),-45.21%,-52.50%,-5.26%,0.00%
Net Income,7.80%,(21.25%),(7.22%),82.22%,0.00%
Preferred Dividend and Other Adjustments,,,,,84.21%
NI to Common Incl Extra Items,7.80%,(21.25%),(7.22%),78.69%,0.00%
NI to Common Excl. Extra Items,23.90%,7.78%,(7.22%),78.69%,0.00%
Revenue Per Share,7.26%,13.19%,2.41%,(11.29%),0.00%
Basic EPS,10.26%,(20.41%),(4.58%),74.42%,0.00%
Basic EPS - Continuing Ops,26.47%,8.77%,(4.58%),74.42%,0.00%
Basic Weighted Average Shares Outst.,(2.15%),(1.03%),(2.87%),2.58%,0.00%
Diluted EPS,10.24%,(20.55%),(4.23%),73.10%,0.00%
Diluted EPS - Continuing Ops,26.65%,8.65%,(4.23%),73.10%,0.00%
Diluted Weighted Average Shares Outst.,(2.07%),(1.05%),(2.95%),5.17%,0.00%
Normalized Basic EPS,(8.71%),13.41%,(11.77%),(57.63%),0.00%
Normalized Diluted EPS,(8.73%),13.44%,(11.72%),(58.64%),0.00%
Dividend Per Share,0.00%,(24.14%),0.00%,(75.00%),0.00%
Payout Ratio,(9.29%),(4.56%),4.52%,(78.63%),0.00%
EBITDA,(5.42%),8.79%,(5.63%),(26.02%),0.00%
EBITA,(9.25%),5.06%,(10.22%),(38.29%),0.00%
EBIT,(9.89%),4.99%,(11.89%),(42.47%),0.00%
EBITDAR,,,(4.68%),(24.89%),
Effective Tax Rate,7.44%,6.25%,(37.19%),(77.36%),0.00%
Normalized Net Income,(10.72%),12.34%,(14.35%),(56.55%),0.00%
Interest on Long-Term Debt,(9.68%),0.71%,14.89%,0.62%,
R&D Expense From Footnotes,13.52%,31.18%,7.14%,(14.17%),0.00%
Foreign Sales,38.34%,12.04%,(0.54%),(8.99%),
