Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1995.2,2145.2,2395.1,2607.1,2784.6,2784.6
Total Revenues,1995.2,2145.2,2395.1,2607.1,2784.6,2784.6
Cost Of Revenues,699.9,783.8,886.2,976.8,993.9,993.9
Gross Profit,1295.3,1361.4,1508.9,1630.3,1790.7,1790.7
Selling General & Admin Expenses,300.0,316.0,377.2,475.5,411.7,411.7
Depreciation & Amortization,119.1,135.6,165.3,185.7,192.2,192.2
Total Operating Expenses,511.6,553.4,673.3,799.2,769.8,769.8
Operating Income,783.7,808.0,835.6,831.1,1020.9,1020.9
Interest Expense,(120.0),(119.4),(129.7),(126.8),(138.2),(138.2)
Interest And Investment Income,4.6,9.2,15.3,,,
Net Interest Expenses,(115.4),(110.2),(114.4),(126.8),(138.2),(138.2)
"EBT, Excl. Unusual Items",668.3,697.8,721.2,704.3,882.7,882.7
"EBT, Incl. Unusual Items",653.7,691.0,719.7,568.4,897.5,897.5
Income Tax Expense,202.2,135.9,121.0,118.5,184.8,184.8
Earnings From Continuing Operations,451.5,555.1,598.7,449.9,712.7,712.7
Earnings Of Discontinued Operations,139.7,,,,,
Net Income to Company,591.2,555.1,598.7,449.9,712.7,712.7
Net Income,591.2,555.1,598.7,449.9,712.7,712.7
NI to Common Incl Extra Items,591.2,555.1,598.7,449.9,712.7,712.7
NI to Common Excl. Extra Items,451.5,555.1,598.7,449.9,712.7,712.7
Revenue Per Share,$11.86,$12.99,$14.53,$15.94,$17.12,$17.12
Basic EPS,$3.51,$3.36,$3.63,$2.75,$4.38,$4.38
Basic EPS - Continuing Ops,$2.68,$3.36,$3.63,$2.75,$4.38,$4.38
Basic Weighted Average Shares Outst.,168.2,165.2,164.8,163.5,162.6,162.6
Diluted EPS,$3.46,$3.29,$3.56,$2.70,$4.31,$4.31
Diluted EPS - Continuing Ops,$2.64,$3.29,$3.56,$2.70,$4.31,$4.31
Diluted Weighted Average Shares Outst.,171.2,168.7,168.3,166.6,165.3,165.3
Normalized Basic EPS,$2.48,$2.64,$2.73,$2.69,$3.39,$3.39
Normalized Diluted EPS,$2.44,$2.59,$2.68,$2.64,$3.34,$3.34
Dividend Per Share,,,,$1.00,$1.08,$1.08
Payout Ratio,,,,36.34%,24.67%,24.67%
EBITDA,951.7,987.4,1046.3,1054.6,1258.4,1258.4
EBITA,876.2,909.8,966.4,969.1,1186.8,1186.8
EBIT,783.7,808.0,835.6,831.1,1020.9,1020.9
EBITDAR,991.2,1026.4,1091.2,1103.0,1310.3,1310.3
Effective Tax Rate,30.9%,19.7%,16.8%,20.8%,20.6%,20.6%
Normalized Net Income,417.7,436.1,450.8,440.2,551.7,551.7
Interest on Long-Term Debt,120.0,119.4,129.7,126.8,138.2,138.2
R&D Expense From Footnotes,80.2,104.9,140.2,173.0,180.8,180.8
Foreign Sales,451.3,465.8,545.7,601.5,651.0,651.0
