Income Statement,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,TTM
Revenues,17668.0,18358.0,20609.0,22977.0,21846.0,21354.0
Other Revenues,"(2,586.0)",,,,,
Total Revenues,15082.0,18358.0,20609.0,22977.0,21846.0,21354.0
Cost Of Revenues,538.0,620.0,686.0,721.0,727.0,715.0
Gross Profit,14544.0,17738.0,19923.0,22256.0,21119.0,20639.0
Selling General & Admin Expenses,4018.0,4820.0,5706.0,6162.0,6227.0,6242.0
Depreciation & Amortization,502.0,556.0,613.0,656.0,767.0,791.0
Total Operating Expenses,4520.0,5376.0,6319.0,6818.0,6994.0,7033.0
Operating Income,10024.0,12362.0,13604.0,15438.0,14125.0,13606.0
Interest Expense,(427.0),(563.0),(612.0),(533.0),(516.0),(544.0)
Interest And Investment Income,75.0,93.0,173.0,247.0,80.0,196.0
Net Interest Expenses,(352.0),(470.0),(439.0),(286.0),(436.0),(348.0)
Other Non Operating Income (Expenses),255.0,,(49.0),(4.0),(8.0),(8.0)
"EBT, Excl. Unusual Items",9927.0,11892.0,13116.0,15148.0,13681.0,13250.0
"EBT, Incl. Unusual Items",8012.0,11694.0,12806.0,14884.0,13790.0,13363.0
Income Tax Expense,2021.0,4995.0,2505.0,2804.0,2924.0,2701.0
Earnings From Continuing Operations,5991.0,6699.0,10301.0,12080.0,10866.0,10662.0
Net Income to Company,5991.0,6699.0,10301.0,12080.0,10866.0,10662.0
Net Income,5991.0,6699.0,10301.0,12080.0,10866.0,10662.0
Preferred Dividend and Other Adjustments,62.0,232.0,359.0,430.0,391.0,391.0
NI to Common Incl Extra Items,5929.0,6467.0,9942.0,11650.0,10475.0,10271.0
NI to Common Excl. Extra Items,5929.0,6467.0,9942.0,11650.0,10475.0,10271.0
Revenue Per Share,$6.33,$7.99,$9.21,$10.50,$10.22,$9.99
Basic EPS,$2.49,$2.81,$4.44,$5.33,$4.90,$4.80
Basic EPS - Continuing Ops,$2.49,$2.81,$4.44,$5.33,$4.90,$4.80
Basic Weighted Average Shares Outst.,2381.3,2298.6,2237.6,2187.6,2138.6,2137.6
Diluted EPS,$2.48,$2.80,$4.42,$5.32,$4.89,$4.80
Diluted EPS - Continuing Ops,$2.48,$2.80,$4.42,$5.32,$4.89,$4.80
Diluted Weighted Average Shares Outst.,2414.0,2395.0,2329.0,2272.0,2223.0,2137.6
Normalized Basic EPS,$2.61,$3.23,$3.66,$4.33,$4.00,$3.87
Normalized Diluted EPS,$2.57,$3.10,$3.52,$4.17,$3.85,$3.87
Dividend Per Share,$0.59,$0.69,$0.88,$1.05,$1.22,
Payout Ratio,22.53%,23.57%,18.62%,18.78%,24.52%,32.19%
EBITDA,10267.0,12633.0,14217.0,16094.0,14892.0,14594.0
EBITA,10074.0,12418.0,13659.0,15498.0,14205.0,13675.0
EBIT,10024.0,12362.0,13604.0,15438.0,14125.0,13606.0
EBITDAR,10401.0,12792.0,,,15006.0,
Effective Tax Rate,25.2%,42.7%,19.6%,18.8%,21.2%,20.2%
Normalized Net Income,6204.4,7432.5,8197.5,9467.5,8550.6,8281.3
Interest on Long-Term Debt,427.0,563.0,612.0,533.0,516.0,
R&D Expense From Footnotes,259.0,285.0,,,,
Foreign Sales,7231.0,9654.0,11277.0,12698.0,11721.0,
