Income Statement,Feb 2018,Feb 2019,Jan 2020,Jan 2021,TTM
Revenues,6.75%,9.18%,8.31%,21.59%,21.59%
Total Revenues,6.75%,9.18%,8.31%,21.59%,21.59%
Cost Of Revenues,6.88%,9.67%,8.10%,19.53%,19.53%
Gross Profit,6.47%,8.07%,8.78%,26.27%,26.27%
Selling General & Admin Expenses,10.46%,9.18%,8.25%,16.40%,16.40%
Total Operating Expenses,10.46%,9.18%,8.25%,16.40%,16.40%
Operating Income,(2.62%),5.20%,10.21%,52.23%,52.23%
Interest Expense,-0.80%,(2.92%),(0.70%),(49.53%),(49.53%)
Net Interest Expenses,-0.80%,(2.92%),(0.70%),(49.53%),(49.53%)
"EBT, Excl. Unusual Items",(2.71%),5.31%,10.68%,52.35%,52.35%
"EBT, Incl. Unusual Items",(2.97%),5.67%,9.24%,54.62%,54.62%
Income Tax Expense,(48.45%),15.65%,14.84%,53.18%,53.18%
Earnings From Continuing Operations,23.01%,3.28%,7.74%,55.03%,55.03%
Net Income to Company,23.01%,3.28%,7.74%,55.03%,55.03%
Net Income,23.01%,3.28%,7.74%,55.03%,55.03%
NI to Common Incl Extra Items,23.01%,3.28%,7.74%,55.03%,55.03%
NI to Common Excl. Extra Items,23.01%,3.28%,7.74%,55.03%,55.03%
Revenue Per Share,10.10%,12.31%,11.94%,25.70%,25.70%
Basic EPS,26.79%,6.29%,11.44%,60.16%,60.27%
Basic EPS - Continuing Ops,26.79%,6.29%,11.44%,60.16%,60.27%
Basic Weighted Average Shares Outst.,(3.04%),(2.78%),(3.24%),(3.27%),(3.27%)
Diluted EPS,27.09%,6.04%,11.22%,59.94%,59.94%
Diluted EPS - Continuing Ops,27.09%,6.04%,11.22%,59.94%,59.94%
Diluted Weighted Average Shares Outst.,(3.15%),(2.65%),(3.03%),(3.09%),(3.09%)
Normalized Basic EPS,0.37%,8.24%,14.45%,57.44%,57.50%
Normalized Diluted EPS,0.38%,8.10%,14.03%,57.11%,57.21%
Dividend Per Share,4.00%,11.54%,10.34%,12.50%,12.50%
Payout Ratio,(18.18%),4.92%,(0.79%),(29.92%),(29.91%)
EBITDA,(1.22%),6.39%,10.38%,45.40%,45.40%
EBITA,(2.62%),5.20%,10.21%,52.23%,52.23%
EBIT,(2.62%),5.20%,10.21%,52.23%,52.23%
EBITDAR,3.22%,6.51%,10.26%,34.05%,
Effective Tax Rate,(46.87%),9.45%,5.15%,(0.94%),(0.93%)
Normalized Net Income,(2.71%),5.31%,10.68%,52.35%,52.35%
Interest Capitalized,42.86%,85.00%,(27.03%),(96.30%),
Interest on Long-Term Debt,(0.19%),4.58%,(0.29%),45.71%,
