Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1.43%,6.62%,3.92%,(4.69%),0.00%
Total Revenues,1.43%,6.62%,3.92%,(4.69%),0.00%
Fuel & Purchased Power,(2.15%),16.09%,4.56%,(9.37%),0.00%
Operations And Maintenance,(1.34%),5.89%,0.76%,0.59%,0.00%
Depreciation & Amortization,12.93%,13.31%,7.77%,2.96%,0.00%
Other Operating Expenses,(39.22%),,(213.04%),(48.61%),0.00%
Total Operating Expenses,(0.04%),10.07%,2.20%,(4.39%),0.00%
Operating Income,5.79%,(3.05%),9.40%,(5.59%),0.00%
"Interest Expense, Total",(1.56%),(21.74%),(19.54%),(5.45%),0.00%
Interest and Investment Income,1.54%,6.06%,4.29%,(8.22%),0.00%
Net Interest Expenses,(1.56%),(24.92%),(22.17%),(7.46%),0.00%
Other Non-Operating Inc. (Exp.),(56.76%),(6.25%),246.67%,(7.69%),0.00%
"EBT, Excl. Unusual Items",5.43%,(7.34%),8.44%,(8.68%),0.00%
Gain (Loss) on Sale of Assets,,,,,0.00%
"EBT, Incl. Unusual Items",(2.31%),46.29%,5.12%,18.00%,0.00%
Income Tax Expense,,,(38.37%),54.09%,0.00%
Earnings From Continuing Operations,77.45%,(8.64%),17.73%,12.52%,0.00%
Net Income to Company,77.45%,(8.64%),17.73%,12.52%,0.00%
Net Income,77.45%,(8.64%),17.73%,12.52%,0.00%
NI to Common Incl Extra Items,77.45%,(8.64%),17.73%,12.52%,0.00%
NI to Common Excl. Extra Items,77.45%,(8.64%),17.73%,12.52%,0.00%
Revenue Per Share,1.45%,6.82%,3.91%,(4.68%),0.00%
Basic EPS,77.09%,(8.55%),17.86%,12.49%,0.00%
Basic EPS - Continuing Ops,77.09%,(8.55%),17.86%,12.49%,0.00%
Basic Weighted Average Shares Outst.,0.00%,(0.20%),0.00%,0.00%,0.00%
Diluted EPS,77.14%,(8.71%),17.67%,12.91%,0.00%
Diluted EPS - Continuing Ops,77.14%,(8.71%),17.67%,12.91%,0.00%
Diluted Weighted Average Shares Outst.,(0.20%),0.00%,0.00%,0.00%,0.00%
Normalized Basic EPS,5.55%,(7.28%),8.47%,(8.54%),0.00%
Normalized Diluted EPS,5.56%,(7.47%),8.28%,(8.73%),0.00%
Dividend Per Share,4.88%,4.65%,4.44%,4.26%,0.00%
Payout Ratio,(40.93%),14.50%,(11.33%),(7.29%),0.00%
EBITDA,7.24%,1.41%,8.16%,(2.50%),0.00%
EBITA,5.79%,(3.05%),9.40%,(5.59%),0.00%
EBIT,5.79%,(3.05%),9.40%,(5.59%),0.00%
EBITDAR,,,,(1.65%),
Effective Tax Rate,,,(41.37%),30.58%,0.00%
Normalized Net Income,5.43%,(7.34%),8.44%,(8.68%),0.00%
Interest Capitalized,25.83%,(9.27%),(21.17%),12.96%,
