Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,5.34%,2.70%,4.30%,2.45%,(2.50%)
Other Revenue,142.16%,(1.13%),44.64%,(50.51%),(50.76%)
Total Revenues,9.07%,2.43%,6.61%,(1.70%),(6.22%)
Property Expenses,4.18%,2.33%,3.40%,9.68%,8.10%
Selling General & Admin Exp.,1.56%,29.16%,1.52%,20.50%,11.74%
Depreciation & Amortization,6.16%,2.35%,0.81%,8.63%,5.62%
Total Operating Expenses,5.06%,3.55%,1.98%,9.76%,7.06%
Operating Income,16.75%,0.49%,14.83%,(19.74%),(27.07%)
Total Interest Expense,(1.48%),-1.08%,-1.43%,(1.52%),-3.56%
Interest and Investment Income,160.79%,29.29%,10.53%,(40.16%),201.43%
Net Interest Expenses,-0.66%,-2.15%,-1.99%,(3.70%),-10.25%
Other Non Operating Income,(13.81%),(13.78%),(3.00%),36.55%,5.95%
"EBT, Excl. Unusual Items",30.34%,1.79%,24.98%,(30.22%),(35.52%)
Gain (Loss) on Sale of Assets,(82.40%),134.12%,,,
Asset Writedown,,,,-74.31%,-74.31%
Other Unusual Items,(196.37%),,,,
"EBT, Incl. Unusual Items",4.48%,(9.70%),12.29%,29.04%,(32.98%)
Earnings From Continuing Operations,4.48%,(9.70%),12.29%,29.04%,(32.98%)
Net Income to Company,4.48%,(9.70%),12.29%,29.04%,(32.98%)
Minority Interest,(6.63%),-6.16%,(7.32%),(21.06%),-21.89%
Net Income,4.36%,(9.91%),12.59%,29.50%,(33.54%)
NI to Common Incl Extra Items,5.34%,(9.91%),12.59%,29.50%,(33.54%)
NI to Common Excl. Extra Items,5.34%,(9.91%),12.59%,29.50%,(33.54%)
Revenue Per Share,8.48%,2.11%,6.96%,(1.10%),(4.89%)
Basic EPS,4.75%,(10.22%),12.89%,30.30%,(32.59%)
Basic EPS - Continuing Ops,4.75%,(10.22%),12.89%,30.30%,(32.59%)
Basic Weighted Average Shares Outst.,0.55%,0.32%,(0.30%),(0.59%),(1.41%)
Diluted EPS,4.78%,(10.20%),12.88%,30.46%,(32.46%)
Diluted EPS - Continuing Ops,4.78%,(10.20%),12.88%,30.46%,(32.46%)
Diluted Weighted Average Shares Outst.,0.47%,0.28%,(0.22%),(0.57%),(1.58%)
Normalized Basic EPS,33.93%,2.64%,27.70%,(35.40%),(36.49%)
Normalized Diluted EPS,33.79%,2.58%,27.51%,(35.33%),(36.38%)
Dividend Per Share,9.37%,6.29%,4.84%,6.54%,(21.38%)
Payout Ratio,5.03%,19.26%,(6.86%),(18.47%),
FFO,7.61%,7.35%,7.40%,(7.59%),(8.40%)
FFO Payout Ratio %,,0.08%,(2.36%),14.25%,
AFFO,7.61%,7.35%,7.40%,(7.59%),
Funds Available for Distribution,7.61%,7.35%,7.40%,(7.59%),
FFO Per Share (Diluted),7.10%,7.14%,7.60%,(6.92%),
FFO Shares (Diluted),0.45%,0.19%,(0.18%),(0.69%),
Adjusted FFO Per Share (Diluted),7.09%,7.14%,7.60%,(6.95%),
EBITDA,11.54%,1.36%,8.20%,(7.25%),(12.45%)
EBITA,16.75%,0.49%,14.83%,(19.74%),(27.07%)
EBIT,16.75%,0.49%,14.83%,(19.74%),(27.07%)
EBITDAR,,,,(7.16%),
Normalized Net Income,34.49%,2.89%,27.21%,(35.70%),(37.38%)
Interest Capitalized,11.00%,34.98%,29.19%,(39.53%),
