Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.69%,5.52%,1.25%,(11.48%),0.00%
"Other Revenues, Total",44.40%,(14.54%),26.01%,34.08%,0.00%
Total Revenues,8.51%,4.92%,1.85%,(10.12%),0.00%
Operations And Maintenance,11.36%,51.58%,(43.23%),14.35%,0.00%
Depreciation & Amortization,4.24%,5.14%,19.65%,1.18%,0.00%
Other Operating Expenses,8.77%,12.96%,(8.42%),(24.29%),0.00%
Total Operating Expenses,8.89%,25.57%,(21.13%),(6.31%),0.00%
Operating Income,6.87%,(84.29%),795.55%,(21.72%),0.00%
"Interest Expense, Total",(2.11%),-10.98%,(15.29%),-2.28%,0.00%
Interest and Investment Income,35.29%,43.48%,16.67%,(28.57%),0.00%
Net Interest Expenses,(1.80%),-11.66%,(15.26%),-1.74%,0.00%
Allow. For Equity Funds Used For Const.,8.62%,12.70%,(43.66%),23.75%,0.00%
Allow. For Borrowed Funds Used For Const.,10.71%,46.77%,(17.58%),(6.67%),0.00%
Other Non-Operating Inc. (Exp.),,(753.85%),-81.98%,,0.00%
"EBT, Excl. Unusual Items",9.25%,,,(28.25%),0.00%
Gain (Loss) on Sale of Assets,,-78.18%,,,0.00%
Other Unusual Items,,-59.19%,,,
"EBT, Incl. Unusual Items",(13.75%),,,,0.00%
Income Tax Expense,72.71%,,,,0.00%
Earnings From Continuing Operations,(61.24%),,,,0.00%
Net Income to Company,(61.24%),,,,0.00%
Net Income,(61.24%),,,,0.00%
Pref. Dividends and Other Adj.,,,267.33%,0.00%,0.00%
NI to Common Incl Extra Items,(61.24%),,,,0.00%
NI to Common Excl. Extra Items,(61.24%),,,,0.00%
Revenue Per Share,6.01%,(3.06%),(3.11%),(12.37%),0.00%
Basic EPS,(62.12%),,,,0.00%
Basic EPS - Continuing Ops,(62.12%),,,,0.00%
Basic Weighted Average Shares Outst.,2.36%,8.23%,5.09%,2.59%,0.00%
Diluted EPS,(61.76%),,,,0.00%
Diluted EPS - Continuing Ops,(61.76%),,,,0.00%
Diluted Weighted Average Shares Outst.,2.24%,7.78%,5.47%,2.22%,0.00%
Normalized Basic EPS,6.26%,,,(30.79%),0.00%
Normalized Diluted EPS,6.89%,,,(30.34%),0.00%
Dividend Per Share,9.09%,9.03%,2.53%,4.94%,0.00%
Payout Ratio,187.61%,,,,0.00%
EBITDA,5.83%,(52.21%),182.75%,(14.08%),0.00%
EBITA,6.78%,(83.29%),749.19%,(21.99%),0.00%
EBIT,6.87%,(84.29%),795.55%,(21.72%),0.00%
EBITDAR,5.44%,(50.51%),166.51%,(13.87%),
Effective Tax Rate,100.21%,9.96%,,124.09%,0.00%
Normalized Net Income,9.25%,,,(28.84%),0.00%
Interest Capitalized,10.71%,46.77%,(17.58%),(6.67%),
Interest on Long-Term Debt,(0.08%),(4.07%),(3.11%),6.62%,
