Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,13487.0,14810.0,16125.0,16783.0,16652.0,16652.0
Total Revenues,13487.0,14810.0,16125.0,16783.0,16652.0,16652.0
Cost Of Revenues,8108.0,9152.0,9838.0,10609.0,10592.0,10592.0
Gross Profit,5379.0,5658.0,6287.0,6174.0,6060.0,6060.0
Selling General & Admin Expenses,2731.0,2697.0,3007.0,2859.0,3123.0,3123.0
Depreciation & Amortization,359.0,408.0,460.0,507.0,552.0,552.0
Total Operating Expenses,3090.0,3105.0,3467.0,3366.0,3675.0,3675.0
Operating Income,2289.0,2553.0,2820.0,2808.0,2385.0,2385.0
Interest Expense,(19.0),(23.0),(27.0),(26.0),(24.0),(24.0)
Interest And Investment Income,115.0,133.0,177.0,176.0,119.0,119.0
Net Interest Expenses,96.0,110.0,150.0,150.0,95.0,95.0
Currency Exchange Gains (Loss),(30.0),67.0,(152.0),(65.0),(116.0),(116.0)
Other Non Operating Income (Expenses),(2.0),(1.0),2.0,4.0,3.0,3.0
"EBT, Excl. Unusual Items",2354.0,2731.0,2822.0,2839.0,2367.0,2367.0
"EBT, Incl. Unusual Items",2358.0,2657.0,2799.0,2485.0,2096.0,2096.0
Income Tax Expense,805.0,1153.0,698.0,643.0,704.0,704.0
Earnings From Continuing Operations,1553.0,1504.0,2101.0,1842.0,1392.0,1392.0
Net Income to Company,1553.0,1504.0,2101.0,1842.0,1392.0,1392.0
Net Income,1553.0,1504.0,2101.0,1842.0,1392.0,1392.0
NI to Common Incl Extra Items,1553.0,1504.0,2101.0,1842.0,1392.0,1392.0
NI to Common Excl. Extra Items,1553.0,1504.0,2101.0,1842.0,1392.0,1392.0
Revenue Per Share,$22.22,$24.97,$27.71,$30.02,$30.84,$30.84
Basic EPS,$2.56,$2.54,$3.61,$3.30,$2.58,$2.58
Basic EPS - Continuing Ops,$2.56,$2.54,$3.61,$3.30,$2.58,$2.58
Basic Weighted Average Shares Outst.,607.0,593.0,582.0,559.0,540.0,540.0
Diluted EPS,$2.55,$2.53,$3.60,$3.29,$2.57,$2.57
Diluted EPS - Continuing Ops,$2.55,$2.53,$3.60,$3.29,$2.57,$2.57
Diluted Weighted Average Shares Outst.,610.0,595.0,584.0,560.0,541.0,541.0
Normalized Basic EPS,$2.42,$2.88,$3.03,$3.17,$2.74,$2.74
Normalized Diluted EPS,$2.41,$2.87,$3.02,$3.17,$2.73,$2.73
Dividend Per Share,,$0.45,$0.80,$0.80,$0.88,$0.88
Payout Ratio,,17.62%,22.28%,24.59%,34.48%,34.48%
EBITDA,2668.0,2996.0,3304.0,3312.0,2914.0,2914.0
EBITA,2402.0,2683.0,2971.0,2970.0,2537.0,2537.0
EBIT,2289.0,2553.0,2820.0,2808.0,2385.0,2385.0
EBITDAR,2895.0,,,3592.0,3236.0,3236.0
Effective Tax Rate,34.1%,43.4%,24.9%,25.9%,33.6%,33.6%
Normalized Net Income,1471.3,1706.9,1763.8,1774.4,1479.4,1479.4
Foreign Sales,2941.0,,16125.0,16783.0,16652.0,16652.0
