Income Statement,Dec 2016,Dec 2017,Dec 2018,Jan 2020,Jan 2021,TTM
Revenues,7043.0,10170.0,10194.0,11094.0,12297.0,12297.0
Total Revenues,7043.0,10170.0,10194.0,11094.0,12297.0,12297.0
Cost Of Revenues,6103.0,8738.0,8690.0,9546.0,10560.0,10560.0
Gross Profit,940.0,1432.0,1504.0,1548.0,1737.0,1737.0
Selling General & Admin Expenses,422.0,737.0,729.0,689.0,770.0,770.0
Total Operating Expenses,425.0,747.0,729.0,649.0,702.0,702.0
Operating Income,515.0,685.0,775.0,899.0,1035.0,1035.0
Interest Expense,(96.0),(148.0),(145.0),(147.0),(182.0),(182.0)
Interest And Investment Income,10.0,8.0,7.0,14.0,3.0,3.0
Net Interest Expenses,(86.0),(140.0),(138.0),(133.0),(179.0),(179.0)
Currency Exchange Gains (Loss),(18.0),5.0,2.0,(1.0),(4.0),(4.0)
Other Non Operating Income (Expenses),7.0,2.0,(2.0),,2.0,2.0
"EBT, Excl. Unusual Items",428.0,565.0,655.0,783.0,868.0,868.0
"EBT, Incl. Unusual Items",318.0,393.0,610.0,866.0,781.0,781.0
Income Tax Expense,72.0,29.0,28.0,196.0,152.0,152.0
Earnings From Continuing Operations,246.0,364.0,582.0,670.0,629.0,629.0
Net Income to Company,246.0,364.0,582.0,670.0,629.0,629.0
Minority Interest,(2.0),2.0,(1.0),(3.0),(1.0),(1.0)
Net Income,244.0,366.0,581.0,667.0,628.0,628.0
NI to Common Incl Extra Items,244.0,366.0,581.0,667.0,628.0,628.0
NI to Common Excl. Extra Items,244.0,366.0,581.0,667.0,628.0,628.0
Revenue Per Share,$69.05,$66.91,$67.51,$77.58,$86.60,$86.60
Basic EPS,$2.39,$2.41,$3.85,$4.66,$4.42,$4.42
Basic EPS - Continuing Ops,$2.39,$2.41,$3.85,$4.66,$4.42,$4.42
Basic Weighted Average Shares Outst.,102.0,152.0,151.0,143.0,142.0,142.0
Diluted EPS,$2.35,$2.38,$3.80,$4.60,$4.36,$4.36
Diluted EPS - Continuing Ops,$2.35,$2.38,$3.80,$4.60,$4.36,$4.36
Diluted Weighted Average Shares Outst.,104.0,154.0,153.0,145.0,144.0,144.0
Normalized Basic EPS,$2.60,$2.34,$2.70,$3.40,$3.81,$3.81
Normalized Diluted EPS,$2.55,$2.31,$2.67,$3.35,$3.76,$3.76
Dividend Per Share,$1.28,$1.28,$1.28,$1.32,$1.36,$1.36
Payout Ratio,58.20%,54.10%,34.08%,29.69%,31.21%,31.21%
EBITDA,637.0,1021.0,1032.0,1133.0,1317.0,1317.0
EBITA,599.0,966.0,976.0,1072.0,1233.0,1233.0
EBIT,515.0,685.0,775.0,899.0,1035.0,1035.0
EBITDAR,742.0,1199.0,1194.0,1260.0,1441.0,1441.0
Effective Tax Rate,22.6%,7.4%,4.6%,22.6%,19.5%,19.5%
Normalized Net Income,265.5,355.1,408.4,486.4,541.5,541.5
Interest on Long-Term Debt,101.0,148.0,145.0,147.0,182.0,182.0
R&D Expense From Footnotes,44.0,42.0,46.0,49.0,73.0,73.0
Foreign Sales,,,929.0,876.0,1003.0,1003.0
