Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7639.1,7752.0,8448.2,8526.5,8904.4,8904.4
Total Revenues,7639.1,7752.0,8448.2,8526.5,8904.4,8904.4
Fuel & Purchased Power,2500.8,2535.3,3139.0,3040.2,2987.8,2987.8
Operations And Maintenance,1369.6,1307.1,1335.2,1363.1,1469.2,1469.2
Depreciation & Amortization,715.5,773.8,819.9,885.3,981.4,981.4
Other Operating Expenses,1149.1,1127.7,1141.3,1181.1,1244.1,1244.1
Total Operating Expenses,5806.8,5833.8,6687.5,6665.0,6860.2,6860.2
Operating Income,1832.4,1918.1,1760.7,1861.4,2044.2,2044.2
"Interest Expense, Total",(401.0),(421.8),(498.8),(533.2),(538.5),(538.5)
Interest and Investment Income,11.0,8.3,18.1,12.8,4.8,4.8
Net Interest Expenses,(390.0),(413.5),(480.7),(520.4),(533.7),(533.7)
Other Non-Operating Inc. (Exp.),26.2,34.8,44.6,45.4,42.3,42.3
"EBT, Excl. Unusual Items",1470.5,1557.2,1343.7,1408.2,1567.5,1567.5
Gain (Loss) on Sale of Assets,,,5.1,0.3,1.8,1.8
Other Unusual Items,,,,,(11.1),(11.1)
"EBT, Incl. Unusual Items",1504.8,1574.4,1329.5,1190.1,1558.9,1558.9
Income Tax Expense,555.0,578.9,289.0,273.5,346.2,346.2
Earnings From Continuing Operations,949.8,995.5,1040.5,916.6,1212.7,1212.7
Net Income to Company,949.8,995.5,1040.5,916.6,1212.7,1212.7
Minority Interest,(7.5),(7.5),(7.5),(7.5),(7.5),(7.5)
Net Income,942.3,988.0,1033.0,909.1,1205.2,1205.2
NI to Common Incl Extra Items,942.3,988.0,1033.0,909.1,1205.2,1205.2
NI to Common Excl. Extra Items,942.3,988.0,1033.0,909.1,1205.2,1205.2
Revenue Per Share,$24.05,$24.42,$26.62,$26.53,$26.28,$26.28
Basic EPS,$2.97,$3.11,$3.25,$2.83,$3.56,$3.56
Basic EPS - Continuing Ops,$2.97,$3.11,$3.25,$2.83,$3.56,$3.56
Basic Weighted Average Shares Outst.,317.7,317.4,317.4,321.4,338.8,338.8
Diluted EPS,$2.96,$3.11,$3.25,$2.81,$3.55,$3.55
Diluted EPS - Continuing Ops,$2.96,$3.11,$3.25,$2.81,$3.55,$3.55
Diluted Weighted Average Shares Outst.,318.5,318.0,318.0,322.9,339.8,339.8
Normalized Basic EPS,$2.87,$3.04,$2.62,$2.71,$2.87,$2.87
Normalized Diluted EPS,$2.86,$3.04,$2.62,$2.70,$2.86,$2.86
Dividend Per Share,$1.78,$1.90,$2.02,$2.14,$2.27,$2.27
Payout Ratio,59.90%,60.94%,61.97%,72.96%,61.79%,61.79%
EBITDA,2547.8,2692.0,2580.7,2746.7,3025.6,3025.6
EBITA,1832.4,1918.1,1760.7,1861.4,2044.2,2044.2
EBIT,1832.4,1918.1,1760.7,1861.4,2044.2,2044.2
EBITDAR,2559.9,2702.5,2591.5,2818.9,3094.5,3094.5
Effective Tax Rate,36.9%,36.8%,21.7%,23.0%,22.2%,22.2%
Normalized Net Income,911.6,965.7,832.3,872.6,972.2,972.2
Interest Capitalized,10.8,12.5,19.7,25.6,23.7,23.7
Interest on Long-Term Debt,,,,22.3,21.1,21.1
