Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,2993.8,3168.0,3423.7,3756.5,3792.4,3510.3
Total Revenues,2993.8,3168.0,3423.7,3756.5,3792.4,3510.3
Cost Of Revenues,2332.0,2389.2,2544.2,2753.0,2850.2,2718.2
Gross Profit,661.8,778.8,879.5,1003.5,942.2,792.1
Selling General & Admin Expenses,273.8,220.7,281.9,316.4,311.8,304.8
R&D Expenses,6.7,10.6,13.5,15.4,15.4,15.4
Total Operating Expenses,280.5,231.3,295.4,331.8,327.2,320.2
Operating Income,381.3,547.5,584.1,671.7,615.0,471.9
Interest Expense,(5.9),(61.2),(108.8),(107.1),(108.0),(118.8)
Net Interest Expenses,(5.9),(61.2),(108.8),(107.1),(108.0),(118.8)
Currency Exchange Gains (Loss),(2.6),(2.7),4.7,(3.3),(0.1),(0.1)
"EBT, Excl. Unusual Items",444.5,536.9,563.6,620.8,536.2,389.1
"EBT, Incl. Unusual Items",439.1,510.4,554.9,620.8,478.2,324.1
Income Tax Expense,144.5,170.2,121.2,133.6,112.3,73.4
Earnings From Continuing Operations,294.6,340.2,433.7,487.2,365.9,250.7
Net Income to Company,294.6,340.2,433.7,487.2,365.9,250.7
Minority Interest,(9.3),(13.3),(16.9),(8.6),,
Net Income,285.3,326.9,416.8,478.6,365.9,250.7
Preferred Dividend and Other Adjustments,4.8,2.1,2.7,10.8,,
NI to Common Incl Extra Items,280.5,324.8,414.1,467.8,365.9,250.7
NI to Common Excl. Extra Items,280.5,324.8,414.1,467.8,365.9,250.7
Revenue Per Share,$20.51,$21.68,$23.40,$25.64,$25.94,$23.99
Basic EPS,$1.92,$2.22,$2.83,$3.19,$2.50,$1.71
Basic EPS - Continuing Ops,$1.92,$2.22,$2.83,$3.19,$2.50,$1.71
Basic Weighted Average Shares Outst.,146.0,146.1,146.3,146.5,146.2,146.4
Diluted EPS,$1.92,$2.22,$2.82,$3.18,$2.49,$1.71
Diluted EPS - Continuing Ops,$1.92,$2.22,$2.82,$3.18,$2.49,$1.71
Diluted Weighted Average Shares Outst.,146.0,146.6,147.0,147.3,147.1,147.1
Normalized Basic EPS,$1.84,$2.21,$2.29,$2.59,$2.29,$1.66
Normalized Diluted EPS,$1.84,$2.20,$2.28,$2.58,$2.28,$1.65
Dividend Per Share,,$0.38,$0.76,$0.78,$0.86,$0.93
Payout Ratio,,8.38%,26.44%,23.67%,33.15%,53.65%
EBITDA,477.2,654.1,722.8,829.4,792.8,655.6
EBITA,383.2,549.8,586.5,673.9,617.5,476.1
EBIT,381.3,547.5,584.1,671.7,615.0,471.9
EBITDAR,546.4,717.1,748.8,853.7,825.6,
Effective Tax Rate,32.9%,33.3%,21.8%,21.5%,23.5%,22.6%
Normalized Net Income,268.5,322.3,335.4,379.4,335.1,243.2
Interest Capitalized,2.7,5.2,4.2,7.6,2.6,
Interest on Long-Term Debt,,,,,0.6,
R&D Expense From Footnotes,6.7,10.6,13.5,15.4,15.4,15.4
