Income Statement,May 2016,May 2017,May 2018,May 2019,May 2020,TTM
Revenues,8664.1,7826.9,7938.3,9538.4,11054.4,11733.1
Total Revenues,8664.1,7826.9,7938.3,9538.4,11054.4,11733.1
Cost Of Revenues,6185.9,5465.9,5586.8,6832.4,7951.6,8290.5
Gross Profit,2478.2,2361.0,2351.5,2706.0,3102.8,3442.6
Selling General & Admin Expenses,1736.7,1046.3,1082.0,1083.7,1288.4,1262.7
Total Operating Expenses,1736.7,1046.3,1082.0,1083.7,1288.4,1262.7
Operating Income,741.5,1314.7,1269.5,1622.3,1814.4,2179.9
Interest Expense,(297.0),(199.2),(162.5),(386.3),(490.2),(449.7)
Interest And Investment Income,1.2,3.7,3.8,6.8,3.1,2.4
Net Interest Expenses,(295.8),(195.5),(158.7),(379.5),(487.1),(447.3)
"EBT, Excl. Unusual Items",511.8,1190.4,1208.1,1318.6,1400.5,1806.5
"EBT, Incl. Unusual Items",174.9,800.7,972.1,899.1,1043.1,1521.1
Income Tax Expense,46.4,254.7,174.6,218.8,201.3,328.8
Earnings From Continuing Operations,128.5,546.0,797.5,680.3,841.8,1192.3
Earnings Of Discontinued Operations,(794.4),102.0,14.3,(1.9),,
Net Income to Company,(665.9),648.0,811.8,678.4,841.8,1192.3
Minority Interest,(11.1),(8.7),(3.4),(0.1),(1.7),(1.6)
Net Income,(677.0),639.3,808.4,678.3,840.1,1190.7
Preferred Dividend and Other Adjustments,4.8,0.8,,,,
NI to Common Incl Extra Items,(681.8),638.5,808.4,678.3,840.1,1190.7
NI to Common Excl. Extra Items,112.6,536.5,794.1,680.2,840.1,1190.7
Revenue Per Share,$19.94,$18.12,$19.65,$21.48,$22.68,$24.07
Basic EPS,($1.57),$1.48,$2.00,$1.53,$1.72,$2.44
Basic EPS - Continuing Ops,$0.26,$1.24,$1.97,$1.53,$1.72,$2.44
Basic Weighted Average Shares Outst.,434.4,431.9,403.9,444.0,487.3,487.5
Diluted EPS,($1.56),$1.46,$1.99,$1.53,$1.72,$2.43
Diluted EPS - Continuing Ops,$0.25,$1.23,$1.95,$1.53,$1.72,$2.43
Diluted Weighted Average Shares Outst.,438.5,436.0,407.4,445.6,488.6,489.2
Normalized Basic EPS,$0.71,$1.70,$1.86,$1.86,$1.79,$2.31
Normalized Diluted EPS,$0.70,$1.69,$1.85,$1.85,$1.79,$2.30
Dividend Per Share,$1.00,$0.90,$0.85,$0.85,$0.85,$0.98
Payout Ratio,NM,64.91%,42.34%,52.51%,49.23%,37.39%
EBITDA,1020.0,1582.7,1526.5,1955.3,2193.2,2530.1
EBITA,776.1,1348.3,1304.4,1671.4,1874.2,2239.6
EBIT,741.5,1314.7,1269.5,1622.3,1814.4,2179.9
EBITDAR,1097.4,1653.9,1589.0,2038.8,2260.7,
Effective Tax Rate,26.5%,31.8%,18.0%,24.3%,19.3%,21.6%
Normalized Net Income,308.8,735.3,751.7,824.0,873.6,1127.5
Interest Capitalized,7.8,5.0,3.5,2.7,6.6,
Interest on Long-Term Debt,302.9,203.6,161.2,385.9,505.0,
R&D Expense From Footnotes,59.6,44.6,47.3,56.1,56.4,56.4
Foreign Earnings,66.7,,,,,
Foreign Sales,846.6,,,,,
