Income Statement,Feb 2018,Feb 2019,Feb 2020,Jan 2021,TTM
Revenues,0.46%,4.79%,(2.44%),(8.26%),(8.26%)
Total Revenues,0.46%,4.79%,(2.44%),(8.26%),(8.26%)
Cost Of Revenues,3.02%,7.52%,(1.62%),(15.30%),(15.30%)
Gross Profit,(2.51%),1.43%,(3.51%),1.08%,1.08%
Selling General & Admin Expenses,4.34%,8.86%,0.40%,(13.31%),(13.31%)
Total Operating Expenses,4.34%,8.86%,0.40%,(13.31%),(13.31%)
Operating Income,(15.21%),(15.51%),(15.00%),51.01%,51.01%
Interest Expense,(3.05%),-5.17%,-1.82%,(15.87%),(15.87%)
Net Interest Expenses,-2.03%,-0.26%,-1.82%,(15.87%),(15.87%)
Other Non Operating Income (Expenses),36.36%,(66.67%),220.00%,(81.25%),(81.25%)
"EBT, Excl. Unusual Items",(18.01%),(20.41%),(18.61%),63.71%,63.71%
"EBT, Incl. Unusual Items",(22.64%),(34.68%),,,
Income Tax Expense,(38.85%),(35.26%),(13.15%),34.05%,34.05%
Earnings From Continuing Operations,(15.11%),(34.49%),,,
Net Income to Company,(15.11%),(34.49%),,,
Net Income,(15.11%),(34.49%),,,
NI to Common Incl Extra Items,(15.11%),(34.49%),,,
NI to Common Excl. Extra Items,(15.11%),(34.49%),,,
Revenue Per Share,1.53%,7.82%,(2.44%),(8.92%),(8.92%)
Basic EPS,(14.11%),(32.56%),,,
Basic EPS - Continuing Ops,(14.11%),(32.56%),,,
Basic Weighted Average Shares Outst.,(1.05%),(2.82%),0.00%,0.72%,0.72%
Diluted EPS,(14.07%),(32.46%),,,
Diluted EPS - Continuing Ops,(14.07%),(32.46%),,,
Diluted Weighted Average Shares Outst.,(1.37%),(2.79%),(1.08%),1.81%,1.81%
Normalized Basic EPS,(17.05%),(18.21%),(18.76%),62.57%,62.53%
Normalized Diluted EPS,(16.76%),(18.27%),(17.75%),60.84%,60.80%
Dividend Per Share,0.00%,0.00%,(50.00%),(75.00%),(75.00%)
Payout Ratio,16.93%,48.18%,,,
EBITDA,(10.05%),(10.83%),(10.78%),30.95%,30.95%
EBITA,(15.21%),(15.51%),(15.00%),51.01%,51.01%
EBIT,(15.21%),(15.51%),(15.00%),51.01%,51.01%
EBITDAR,(6.60%),(7.06%),(7.57%),17.16%,
Effective Tax Rate,(20.95%),(0.90%),,,
Normalized Net Income,(18.01%),(20.41%),(18.61%),63.71%,63.71%
Foreign Sales,10.30%,8.37%,(11.11%),(25.74%),
