Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Interest Income On Loans,14.50%,20.83%,7.82%,(27.31%),(29.68%)
Total Interest Income,14.30%,20.03%,7.18%,(25.44%),(28.20%)
Interest On Deposits,5.00%,190.48%,114.75%,(61.45%),(80.45%)
Total Interest On Borrowings,9.72%,83.54%,42.07%,(60.68%),(74.23%)
Total Interest Expense,8.04%,120.66%,75.28%,(61.11%),(77.83%)
Net Interest Income,14.69%,14.12%,(0.55%),(18.30%),(18.03%)
Service Charges On Deposits,3.65%,(7.05%),(3.79%),(8.87%),(8.46%)
Trust Income,4.21%,4.04%,0.00%,1.46%,(1.42%)
Gain (Loss) on Sale of Invest. & Securities,,,-64.29%,,100.00%
Total Other Non Interest Income,5.75%,(15.74%),4.71%,1.00%,8.47%
Total Non Interest Income,5.33%,(11.83%),3.48%,(0.89%),2.48%
Revenue Before Loan Losses,11.24%,5.05%,0.63%,(13.05%),(11.67%)
Provision For Loan Losses,(70.16%),,,625.68%,
Total Revenues,19.00%,7.60%,(1.62%),(27.48%),6.31%
Salaries And Other Employee Benefits,(3.46%),4.23%,2.08%,1.43%,6.26%
Occupancy Expense,,,1.32%,1.30%,
Total Selling General & Admin Expenses,34.64%,(33.25%),(0.40%),0.00%,(20.43%)
Total Other Non Interest Expense,(22.47%),(8.70%),4.76%,19.70%,(16.44%)
Total Non Interest Expense,(0.99%),(4.22%),0.23%,2.26%,4.54%
"EBT, Excl. Unusual Items",65.47%,24.03%,(3.61%),(60.70%),9.25%
Restructuring Charges,-51.61%,(17.78%),,,
Legal Settlements,-21.05%,(13.33%),-11.76%,(13.33%),(6.25%)
"EBT, Incl. Unusual Items",84.18%,24.39%,(0.20%),(61.42%),9.30%
Income Tax Expense,154.40%,(38.90%),11.33%,(64.97%),2.63%
Earnings From Continuing Operations,55.77%,66.22%,(3.00%),(60.43%),11.21%
Net Income to Company,55.77%,66.22%,(3.00%),(60.43%),11.21%
Net Income,55.77%,66.22%,(3.00%),(60.43%),11.21%
Preferred Dividend and Other Adjustments,25.00%,60.00%,(12.50%),114.29%,340.00%
Net Income to Common Incl Extra Items,56.03%,66.26%,(2.93%),(61.46%),9.13%
Net Income to Common Excl. Extra Items,56.03%,66.26%,(2.93%),(61.46%),9.13%
Revenue Per Share,17.60%,11.45%,10.16%,(21.73%),11.70%
Basic EPS,54.23%,72.25%,8.77%,(58.41%),14.66%
Basic EPS - Continuing Ops,54.23%,72.25%,8.77%,(58.41%),14.66%
Basic Weighted Average Shares Outst.,1.16%,(3.45%),(10.71%),(7.33%),(4.82%)
Diluted EPS,54.48%,73.91%,9.31%,(58.45%),14.16%
Diluted EPS - Continuing Ops,54.48%,73.91%,9.31%,(58.45%),14.16%
Diluted Weighted Average Shares Outst.,0.56%,(3.93%),(11.70%),(7.28%),(4.18%)
Normalized Basic EPS,63.66%,28.41%,7.97%,(57.62%),14.79%
Normalized Diluted EPS,64.62%,29.21%,9.08%,(57.59%),14.02%
Dividend Per Share,22.47%,68.81%,45.65%,1.49%,1.12%
Payout Ratio,(23.98%),(12.11%),57.54%,140.77%,
Effective Tax Rate,38.11%,(50.88%),11.57%,(9.19%),(6.10%)
Normalized Net Income,65.47%,24.03%,(3.61%),(60.70%),9.25%
Interest on Long-Term Debt,5.56%,89.47%,36.81%,(59.39%),
Foreign Sales,,1.71%,4.34%,4.42%,
