Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Total Interest and Dividend Income,35.31%,50.07%,10.46%,(37.03%),(42.59%)
Total Interest Expense,43.31%,56.29%,9.20%,(48.56%),(56.96%)
Net Interest Income,13.34%,28.48%,15.80%,8.92%,10.39%
Brokerage Commission,(4.89%),4.85%,(6.60%),18.74%,10.36%
Trading and Principal Transactions,3.67%,13.23%,3.70%,24.60%,76.80%
Asset Management Fee,8.51%,12.32%,(6.08%),11.86%,6.59%
Underwriting & Invest. Banking Fee,12.80%,5.00%,(8.51%),34.47%,58.41%
Revenue Before Loan Losses,6.30%,11.87%,(0.19%),21.93%,46.71%
Provision For Loan Losses,260.99%,2.59%,58.01%,190.89%,17.60%
Total Revenues,4.79%,12.06%,(1.28%),16.86%,48.20%
Salaries & Other Empl. Benefits,1.79%,5.79%,0.20%,7.74%,30.72%
Cost of Services Provided,5.05%,16.28%,6.68%,5.04%,7.74%
Other Operating Expenses,12.30%,(0.36%),9.15%,19.60%,(1.49%)
Total Operating Expenses,4.24%,8.98%,4.60%,8.05%,18.86%
Operating Income,5.79%,17.71%,(11.27%),34.48%,114.91%
"EBT, Excl. Unusual Items",5.79%,17.71%,(11.27%),34.48%,114.91%
"EBT, Incl. Unusual Items",8.04%,12.12%,(15.21%),17.92%,111.33%
Income Tax Expense,135.58%,(70.46%),4.70%,42.65%,145.85%
Earnings From Continuing Operations,(42.07%),144.03%,(19.06%),11.73%,103.04%
Net Income to Company,(42.07%),144.03%,(19.06%),11.73%,103.04%
Net Income,(42.07%),144.03%,(19.06%),11.73%,103.04%
Pref. Dividends and Other Adj.,88.25%,(1.12%),(3.72%),(4.37%),(1.79%)
NI to Common Incl Extra Items,(48.19%),168.81%,(20.02%),12.95%,112.51%
NI to Common Excl. Extra Items,(48.19%),168.81%,(20.02%),12.95%,112.51%
Revenue Per Share,11.52%,16.78%,2.38%,21.84%,52.40%
Basic EPS,(44.85%),179.98%,(17.03%),17.77%,118.53%
Basic EPS - Continuing Ops,(44.85%),179.98%,(17.03%),17.77%,118.53%
Basic Weighted Average Shares Outst.,(6.04%),(4.03%),(3.58%),(4.09%),(2.76%)
Diluted EPS,(44.70%),180.46%,(16.78%),17.66%,117.96%
Diluted EPS - Continuing Ops,(44.70%),180.46%,(16.78%),17.66%,117.96%
Diluted Weighted Average Shares Outst.,(5.98%),(4.62%),(3.77%),(4.05%),(2.68%)
Normalized Basic EPS,12.57%,22.64%,(7.98%),40.18%,121.00%
Normalized Diluted EPS,12.52%,23.44%,(7.78%),40.14%,120.83%
Dividend Per Share,11.54%,8.62%,31.75%,20.48%,8.70%
Payout Ratio,78.98%,(58.07%),43.57%,(0.62%),
Effective Tax Rate,118.08%,(73.66%),23.48%,21.00%,16.33%
Normalized Net Income,5.79%,17.71%,(11.27%),34.48%,114.91%
Interest on Long-Term Debt,8.42%,20.79%,(3.53%),(22.50%),
Foreign Sales,162.07%,11.87%,(0.19%),21.93%,
