Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1838.7,2066.7,2340.2,2606.6,2957.0,3091.8
Total Revenues,1838.7,2066.7,2340.2,2606.6,2957.0,3091.8
Cost Of Revenues,772.2,865.0,978.0,1070.0,1189.6,1239.1
Gross Profit,1066.5,1201.7,1362.2,1536.6,1767.4,1852.7
Selling General & Admin Expenses,488.1,554.0,600.4,645.0,676.7,663.5
R&D Expenses,118.7,144.5,155.1,180.7,201.9,213.4
Total Operating Expenses,630.6,745.0,801.9,900.6,958.3,956.6
Operating Income,435.9,456.7,560.3,636.0,809.1,896.1
Interest Expense,(11.2),(28.2),(28.4),(36.2),(40.4),(31.9)
Interest And Investment Income,16.9,17.1,16.4,2.3,1.0,0.6
Net Interest Expenses,5.7,(11.2),(12.0),(33.9),(39.4),(31.3)
Currency Exchange Gains (Loss),4.2,5.4,(1.5),1.7,1.3,1.3
Other Non Operating Income (Expenses),1.5,0.6,4.6,2.6,1.0,1.3
"EBT, Excl. Unusual Items",447.2,451.6,551.3,590.6,747.0,851.2
"EBT, Incl. Unusual Items",439.6,418.7,521.3,518.8,733.1,830.2
Income Tax Expense,87.2,76.5,205.7,114.3,111.4,131.3
Earnings From Continuing Operations,352.4,342.3,315.6,404.6,621.7,698.9
Net Income to Company,352.4,342.3,315.6,404.6,621.7,698.9
Net Income,352.4,342.3,315.6,404.6,621.7,698.9
NI to Common Incl Extra Items,352.4,342.3,315.6,404.6,621.7,698.9
NI to Common Excl. Extra Items,352.4,342.3,315.6,404.6,621.7,698.9
Revenue Per Share,$13.11,$14.62,$16.39,$18.21,$20.49,$21.34
Basic EPS,$2.51,$2.42,$2.21,$2.83,$4.31,$4.82
Basic EPS - Continuing Ops,$2.51,$2.42,$2.21,$2.83,$4.31,$4.82
Basic Weighted Average Shares Outst.,140.2,141.4,142.8,143.1,144.3,144.9
Diluted EPS,$2.49,$2.40,$2.19,$2.80,$4.27,$4.79
Diluted EPS - Continuing Ops,$2.49,$2.40,$2.19,$2.80,$4.27,$4.79
Diluted Weighted Average Shares Outst.,141.7,142.5,144.0,144.5,145.7,146.1
Normalized Basic EPS,$1.99,$2.00,$2.41,$2.58,$3.23,$3.67
Normalized Diluted EPS,$1.97,$1.98,$2.39,$2.55,$3.21,$3.64
Dividend Per Share,$1.23,$1.34,$1.42,$1.50,$1.56,$1.56
Payout Ratio,47.71%,54.44%,63.21%,52.33%,36.21%,32.35%
EBITDA,522.7,568.9,660.2,752.9,922.9,1013.8
EBITA,459.8,503.3,586.6,677.0,847.7,935.7
EBIT,435.9,456.7,560.3,636.0,809.1,896.1
EBITDAR,540.1,589.0,681.3,776.3,949.4,
Effective Tax Rate,19.8%,18.3%,39.5%,22.0%,15.2%,15.8%
Normalized Net Income,279.5,282.3,344.6,369.1,466.9,532.0
Interest on Long-Term Debt,11.2,28.2,28.4,36.2,40.4,
R&D Expense From Footnotes,118.7,144.5,155.1,180.7,201.9,213.4
Foreign Sales,782.3,837.5,995.0,1017.9,1128.4,
