Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,1354.6,1388.3,1470.8,1552.7,1697.1,1714.1
Total Revenues,1354.6,1388.3,1470.8,1552.7,1697.1,1714.1
Cost Of Revenues,773.7,805.9,853.1,923.0,1008.5,1034.1
Gross Profit,581.0,582.4,617.7,629.7,688.6,680.0
Selling General & Admin Expenses,157.5,159.2,171.7,185.9,198.0,189.0
R&D Expenses,81.2,84.8,90.3,96.4,110.0,111.0
Total Operating Expenses,238.8,244.0,262.1,282.3,308.0,300.0
Operating Income,342.2,338.4,355.6,347.3,380.6,380.0
Interest Expense,(1.4),(1.0),(1.9),(0.9),(0.7),(0.6)
Interest And Investment Income,0.3,0.2,0.6,0.9,1.1,0.4
Net Interest Expenses,(1.1),(0.7),(1.3),(0.1),0.4,(0.2)
"EBT, Excl. Unusual Items",341.1,337.7,354.3,347.3,381.1,379.7
"EBT, Incl. Unusual Items",360.5,341.0,356.2,347.2,381.1,379.7
Income Tax Expense,111.7,111.4,(8.9),75.4,84.4,81.4
Earnings From Continuing Operations,248.9,229.6,365.0,271.9,296.7,298.4
Net Income to Company,248.9,229.6,365.0,271.9,296.7,298.4
Net Income,248.9,229.6,365.0,271.9,296.7,298.4
NI to Common Incl Extra Items,248.9,229.6,365.0,271.9,296.7,298.4
NI to Common Excl. Extra Items,248.9,229.6,365.0,271.9,296.7,298.4
Revenue Per Share,$17.06,$17.83,$19.04,$20.12,$22.10,$22.41
Basic EPS,$3.13,$2.95,$4.73,$3.52,$3.86,$3.90
Basic EPS - Continuing Ops,$3.13,$2.95,$4.73,$3.52,$3.86,$3.90
Basic Weighted Average Shares Outst.,79.4,77.9,77.3,77.2,76.8,76.5
Diluted EPS,$3.12,$2.93,$4.70,$3.52,$3.86,$3.89
Diluted EPS - Continuing Ops,$3.12,$2.93,$4.70,$3.52,$3.86,$3.89
Diluted Weighted Average Shares Outst.,79.7,78.3,77.6,77.3,76.9,76.7
Normalized Basic EPS,$2.68,$2.71,$2.87,$2.81,$3.10,$3.10
Normalized Diluted EPS,$2.67,$2.70,$2.85,$2.81,$3.10,$3.10
Dividend Per Share,$1.06,$1.18,$1.36,$1.54,$1.66,$1.72
Payout Ratio,33.80%,39.95%,28.77%,43.67%,42.95%,44.05%
EBITDA,417.1,417.4,434.7,425.4,446.3,449.2
EBITA,366.5,367.7,386.8,378.0,407.8,409.4
EBIT,342.2,338.4,355.6,347.3,380.6,380.0
EBITDAR,427.2,427.5,445.6,440.6,462.3,
Effective Tax Rate,31.0%,32.7%,NM,21.7%,22.1%,21.4%
Normalized Net Income,213.2,211.1,221.4,217.1,238.2,237.3
Interest on Long-Term Debt,1.4,1.0,1.9,0.9,0.7,
R&D Expense From Footnotes,81.2,84.8,90.3,96.4,110.0,111.0
