Income Statement,Apr 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,7106.0,7607.0,21733.0,20753.0,19577.0,18159.0
Total Revenues,7106.0,7607.0,21733.0,20753.0,19577.0,18159.0
Cost Of Revenues,5185.0,5549.0,16317.0,14946.0,14901.0,14298.0
Gross Profit,1921.0,2058.0,5416.0,5807.0,4676.0,3861.0
Selling General & Admin Expenses,1068.0,1258.0,1381.0,1376.0,1074.0,1072.0
Depreciation & Amortization,658.0,647.0,1795.0,1968.0,1942.0,2018.0
Total Operating Expenses,1726.0,1905.0,3176.0,3344.0,3016.0,3090.0
Operating Income,195.0,153.0,2240.0,2463.0,1660.0,771.0
Interest Expense,(123.0),(117.0),(320.0),(334.0),(383.0),(379.0)
Interest And Investment Income,38.0,35.0,89.0,128.0,165.0,111.0
Net Interest Expenses,(85.0),(82.0),(231.0),(206.0),(218.0),(268.0)
Currency Exchange Gains (Loss),1.0,8.0,71.0,(31.0),25.0,(70.0)
Other Non Operating Income (Expenses),2.0,2.0,13.0,155.0,37.0,111.0
"EBT, Excl. Unusual Items",113.0,81.0,2093.0,2381.0,1504.0,544.0
"EBT, Incl. Unusual Items",10.0,(174.0),1304.0,1515.0,"(5,228.0)","(2,115.0)"
Income Tax Expense,(62.0),(74.0),(242.0),288.0,130.0,728.0
Earnings From Continuing Operations,72.0,(100.0),1546.0,1227.0,"(5,358.0)","(2,843.0)"
Earnings Of Discontinued Operations,191.0,,236.0,35.0,,
Net Income to Company,263.0,(100.0),1782.0,1262.0,"(5,358.0)","(2,843.0)"
Minority Interest,(12.0),(23.0),(31.0),(5.0),(11.0),(3.0)
Net Income,251.0,(123.0),1751.0,1257.0,"(5,369.0)","(2,846.0)"
NI to Common Incl Extra Items,251.0,(123.0),1751.0,1257.0,"(5,369.0)","(2,846.0)"
NI to Common Excl. Extra Items,60.0,(123.0),1515.0,1222.0,"(5,369.0)","(2,846.0)"
Revenue Per Share,$51.39,$54.18,$76.27,$74.77,$75.71,$71.52
Basic EPS,$1.82,($0.88),$6.15,$4.53,($20.76),($11.21)
Basic EPS - Continuing Ops,$0.43,($0.88),$5.32,$4.40,($20.76),($11.21)
Basic Weighted Average Shares Outst.,138.3,140.4,284.9,277.5,258.6,253.9
Diluted EPS,$1.78,($0.88),$6.04,$4.47,($20.76),($11.21)
Diluted EPS - Continuing Ops,$0.43,($0.88),$5.23,$4.35,($20.76),($11.21)
Diluted Weighted Average Shares Outst.,141.3,140.4,289.8,281.4,258.6,253.9
Normalized Basic EPS,$0.42,$0.20,$4.48,$5.34,$3.59,$1.33
Normalized Diluted EPS,$0.41,$0.20,$4.41,$5.27,$3.59,$1.33
Dividend Per Share,$0.74,,$0.72,$0.78,$0.63,$0.00
Payout Ratio,41.43%,NM,9.94%,16.71%,NM,NM
EBITDA,872.0,732.0,4028.0,4228.0,3340.0,2531.0
EBITA,195.0,383.0,3100.0,3353.0,2679.0,1778.0
EBIT,195.0,153.0,2240.0,2463.0,1660.0,771.0
EBITDAR,1024.0,878.0,,,4088.0,
Effective Tax Rate,NM,NM,NM,19.0%,NM,NM
Normalized Net Income,58.6,27.6,1277.1,1483.1,929.0,337.0
Interest on Long-Term Debt,,,,,65.0,
Foreign Sales,4049.0,4621.0,13718.0,13076.0,12352.0,
