Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,9298.0,9927.0,8650.0,8636.0,10271.0,10271.0
Total Revenues,9298.0,9927.0,8650.0,8636.0,10271.0,10271.0
Cost Of Revenues,2004.0,2221.0,2023.0,2136.0,2473.0,2473.0
Gross Profit,7294.0,7706.0,6627.0,6500.0,7798.0,7798.0
Selling General & Admin Expenses,3590.0,3908.0,3486.0,3309.0,3636.0,3636.0
R&D Expenses,1114.0,1224.0,1051.0,976.0,1087.0,1087.0
Other Operating Expense/(Income),231.0,272.0,247.0,262.0,331.0,331.0
Total Operating Expenses,4969.0,5442.0,4806.0,4575.0,5081.0,5081.0
Operating Income,2325.0,2264.0,1821.0,1925.0,2717.0,2717.0
Interest Expense,(225.0),(292.0),(326.0),(311.0),(305.0),(305.0)
Interest And Investment Income,125.0,177.0,176.0,120.0,39.0,39.0
Net Interest Expenses,(100.0),(115.0),(150.0),(191.0),(266.0),(266.0)
Currency Exchange Gains (Loss),112.0,8.0,6.0,(11.0),(20.0),(20.0)
Other Non Operating Income (Expenses),(29.0),3.0,(22.0),10.0,9.0,9.0
"EBT, Excl. Unusual Items",2308.0,2160.0,1655.0,1733.0,2440.0,2440.0
"EBT, Incl. Unusual Items",3651.0,2275.0,2249.0,1749.0,3420.0,3420.0
Income Tax Expense,"(3,634.0)",3288.0,121.0,233.0,878.0,878.0
Earnings From Continuing Operations,7285.0,"(1,013.0)",2128.0,1516.0,2542.0,2542.0
Earnings Of Discontinued Operations,(19.0),(4.0),402.0,270.0,3125.0,3125.0
Net Income to Company,7266.0,"(1,017.0)",2530.0,1786.0,5667.0,5667.0
Net Income,7266.0,"(1,017.0)",2530.0,1786.0,5667.0,5667.0
NI to Common Incl Extra Items,7266.0,"(1,017.0)",2530.0,1786.0,5667.0,5667.0
NI to Common Excl. Extra Items,7285.0,"(1,013.0)",2128.0,1516.0,2542.0,2542.0
Revenue Per Share,$8.21,$9.33,$8.83,$10.17,$14.47,$14.47
Basic EPS,$6.41,($0.96),$2.58,$2.10,$7.98,$7.98
Basic EPS - Continuing Ops,$6.43,($0.95),$2.17,$1.79,$3.58,$3.58
Basic Weighted Average Shares Outst.,1133.0,1064.0,980.0,849.0,710.0,710.0
Diluted EPS,$6.35,($0.96),$2.56,$2.09,$7.89,$7.89
Diluted EPS - Continuing Ops,$6.37,($0.95),$2.15,$1.77,$3.54,$3.54
Diluted Weighted Average Shares Outst.,1144.0,1064.0,991.0,856.0,718.0,718.0
Normalized Basic EPS,$1.27,$1.27,$1.06,$1.28,$2.15,$2.15
Normalized Diluted EPS,$1.26,$1.27,$1.04,$1.27,$2.12,$2.12
Dividend Per Share,,,,$0.56,$0.64,$0.64
Payout Ratio,,,,26.48%,7.89%,7.89%
EBITDA,3007.0,2940.0,2456.0,2554.0,3326.0,3326.0
EBITA,2381.0,2328.0,1855.0,1960.0,2745.0,2745.0
EBIT,2325.0,2264.0,1821.0,1925.0,2717.0,2717.0
EBITDAR,3091.0,3045.0,2553.0,2747.0,3512.0,3512.0
Effective Tax Rate,NM,144.5%,5.4%,13.3%,25.7%,25.7%
Normalized Net Income,1442.5,1350.0,1034.4,1083.1,1525.0,1525.0
Interest on Long-Term Debt,254.0,307.0,318.0,302.0,285.0,285.0
R&D Expense From Footnotes,1263.0,1380.0,1211.0,1126.0,1226.0,1226.0
Foreign Sales,5331.0,5740.0,5268.0,5333.0,6120.0,6120.0
