Income Statement,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,16389.0,17510.0,18880.0,20825.0,5594.0,830.0
Other Revenues,,,,,,1.0
Total Revenues,16389.0,17510.0,18880.0,20825.0,5594.0,831.0
Cost Of Revenues,9383.0,10197.0,8103.0,9715.0,4760.0,2594.0
Gross Profit,7006.0,7313.0,10777.0,11110.0,834.0,"(1,763.0)"
Selling General & Admin Expenses,2197.0,2265.0,2459.0,2486.0,1885.0,1669.0
Depreciation & Amortization,1738.0,1846.0,2017.0,2160.0,2241.0,2223.0
Other Operating Expense/(Income),47.0,(35.0),2912.0,3167.0,1625.0,1028.0
Total Operating Expenses,3982.0,4076.0,7388.0,7813.0,5751.0,4920.0
Operating Income,3024.0,3237.0,3389.0,3297.0,"(4,917.0)","(6,683.0)"
Interest Expense,(223.0),(198.0),(194.0),(206.0),(895.0),"(1,238.0)"
Interest And Investment Income,6.0,9.0,14.0,23.0,18.0,16.0
Net Interest Expenses,(217.0),(189.0),(180.0),(183.0),(877.0),"(1,222.0)"
Other Non Operating Income (Expenses),21.0,11.0,13.0,(27.0),(44.0),(79.0)
"EBT, Excl. Unusual Items",2828.0,3059.0,3222.0,3087.0,"(5,838.0)","(7,984.0)"
"EBT, Incl. Unusual Items",2828.0,2666.0,3206.0,3061.0,"(10,253.0)","(11,462.0)"
Income Tax Expense,49.0,60.0,54.0,71.0,(17.0),(34.0)
Earnings From Continuing Operations,2779.0,2606.0,3152.0,2990.0,"(10,236.0)","(11,428.0)"
Net Income to Company,2779.0,2606.0,3152.0,2990.0,"(10,236.0)","(11,428.0)"
Net Income,2779.0,2606.0,3152.0,2990.0,"(10,236.0)","(11,428.0)"
NI to Common Incl Extra Items,2779.0,2606.0,3152.0,2990.0,"(10,236.0)","(11,428.0)"
NI to Common Excl. Extra Items,2779.0,2606.0,3152.0,2990.0,"(10,236.0)","(11,428.0)"
Revenue Per Share,$22.00,$24.25,$26.63,$30.18,$7.22,$0.95
Basic EPS,$3.73,$3.61,$4.45,$4.33,($13.21),($13.02)
Basic EPS - Continuing Ops,$3.73,$3.61,$4.45,$4.33,($13.21),($13.02)
Basic Weighted Average Shares Outst.,745.0,722.0,709.0,690.0,775.0,877.8
Diluted EPS,$3.72,$3.59,$4.44,$4.32,($13.21),($13.02)
Diluted EPS - Continuing Ops,$3.72,$3.59,$4.44,$4.32,($13.21),($13.02)
Diluted Weighted Average Shares Outst.,747.0,725.0,710.0,692.0,775.0,877.8
Normalized Basic EPS,$2.37,$2.65,$2.84,$2.80,($4.71),($5.68)
Normalized Diluted EPS,$2.37,$2.64,$2.84,$2.79,($4.71),($5.68)
Dividend Per Share,$1.35,$1.60,$1.95,$2.00,$0.50,$0.00
Payout Ratio,35.16%,41.71%,42.99%,46.39%,NM,NM
EBITDA,4762.0,5083.0,5406.0,5457.0,"(2,676.0)","(4,460.0)"
EBITA,3024.0,3237.0,3389.0,3297.0,"(4,917.0)","(6,683.0)"
EBIT,3024.0,3237.0,3389.0,3297.0,"(4,917.0)","(6,683.0)"
EBITDAR,,,,,"(2,473.0)",
Effective Tax Rate,1.7%,2.3%,1.7%,2.3%,NM,NM
Normalized Net Income,1767.5,1911.9,2013.8,1929.4,"(3,648.8)","(4,990.0)"
Interest Capitalized,26.0,28.0,36.0,39.0,66.0,
Interest on Long-Term Debt,,,,,175.0,
Foreign Sales,8062.0,17510.0,18880.0,20825.0,5594.0,
