Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,(1.98%),6.36%,6.11%,(5.21%),(3.47%)
Total Revenues,(1.98%),6.36%,6.11%,(5.21%),(3.47%)
Cost Of Revenues,0.80%,2.07%,5.95%,(5.02%),(1.04%)
Gross Profit,(4.46%),10.40%,6.26%,(5.37%),(5.56%)
Selling General & Admin Expenses,(4.16%),(8.92%),31.34%,(8.34%),(2.86%)
Depreciation & Amortization,(5.65%),16.58%,(0.75%),1.06%,(4.00%)
Total Operating Expenses,(4.78%),1.66%,16.06%,(4.51%),(3.34%)
Operating Income,(3.65%),31.77%,(12.26%),(7.52%),(10.77%)
Interest Expense,(28.31%),(26.30%),(5.84%),-5.90%,-6.29%
Net Interest Expenses,(28.31%),(26.30%),(5.84%),-5.90%,-6.29%
Currency Exchange Gains (Loss),,,(84.62%),,
Other Non Operating Income (Expenses),,158.82%,,(307.87%),
"EBT, Excl. Unusual Items",(11.16%),36.06%,(22.63%),(18.31%),(3.29%)
"EBT, Incl. Unusual Items",(23.59%),64.30%,(25.75%),,(95.13%)
Income Tax Expense,,,(29.00%),(72.37%),(52.68%)
Earnings From Continuing Operations,123.86%,(33.15%),(24.95%),,
Net Income to Company,123.86%,(33.15%),(24.95%),,
Minority Interest,(11.20%),(46.85%),(83.88%),(26.40%),(18.84%)
Net Income,126.96%,(34.23%),(28.22%),,
Preferred Dividend and Other Adjustments,,,,"6,333.33%",502.86%
NI to Common Incl Extra Items,126.96%,(34.23%),(28.24%),,
NI to Common Excl. Extra Items,126.96%,(34.23%),(28.24%),,
Revenue Per Share,(1.90%),(3.29%),(1.72%),(3.07%),(1.63%)
Basic EPS,127.51%,(40.21%),(33.60%),,
Basic EPS - Continuing Ops,127.51%,(40.21%),(33.60%),,
Basic Weighted Average Shares Outst.,(0.06%),9.96%,7.98%,(2.21%),(1.88%)
Diluted EPS,126.91%,(40.28%),(33.53%),,
Diluted EPS - Continuing Ops,126.91%,(40.28%),(33.53%),,
Diluted Weighted Average Shares Outst.,(0.10%),10.08%,7.96%,(2.25%),(2.26%)
Normalized Basic EPS,(11.80%),23.20%,(32.19%),(21.02%),(3.82%)
Normalized Diluted EPS,(11.63%),23.40%,(32.14%),(21.31%),(3.44%)
Dividend Per Share,2.07%,2.03%,1.99%,1.46%,0.97%
Payout Ratio,(55.04%),69.35%,54.68%,,
EBITDA,(5.82%),24.98%,(7.57%),(3.72%),(8.20%)
EBITA,(4.89%),39.64%,(10.74%),(4.98%),(10.30%)
EBIT,(3.65%),31.77%,(12.26%),(7.52%),(10.77%)
EBITDAR,,,,(2.99%),
Effective Tax Rate,,,(4.38%),,871.64%
Normalized Net Income,(11.82%),35.66%,(26.90%),(22.83%),(5.63%)
Interest Capitalized,1.23%,(45.40%),(59.43%),(38.50%),
Interest on Long-Term Debt,,,,(7.69%),
R&D Expense From Footnotes,(8.85%),(20.56%),6.87%,(5.17%),(5.17%)
Foreign Sales,9.83%,49.10%,22.20%,(18.68%),
