Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,32.43%,12.41%,87.92%,(7.85%),0.00%
Total Revenues,32.43%,12.41%,87.92%,(7.85%),0.00%
Cost Of Revenues,39.73%,11.60%,82.10%,(5.69%),0.00%
Gross Profit,16.56%,14.54%,102.69%,(12.79%),0.00%
Selling General & Admin Expenses,29.84%,32.05%,54.55%,(10.12%),0.00%
R&D Expenses,33.38%,(8.09%),139.89%,(22.77%),0.00%
Total Operating Expenses,31.92%,24.34%,88.02%,(7.18%),0.00%
Operating Income,1.46%,2.01%,125.54%,(20.08%),0.00%
Interest Expense,(58.85%),(40.43%),(95.28%),-9.22%,0.00%
Net Interest Expenses,(58.85%),(40.43%),(95.28%),-9.22%,0.00%
Currency Exchange Gains (Loss),(64.96%),-13.64%,(136.84%),-39.26%,0.00%
Other Non Operating Income (Expenses),392.85%,(61.29%),,,0.00%
"EBT, Excl. Unusual Items",(5.02%),(6.25%),134.44%,(22.00%),0.00%
"EBT, Incl. Unusual Items",(14.71%),4.40%,21.55%,24.71%,0.00%
Income Tax Expense,(9.69%),(15.48%),58.50%,20.45%,0.00%
Earnings From Continuing Operations,(16.31%),11.21%,11.93%,26.28%,0.00%
Net Income to Company,(16.31%),11.21%,11.93%,26.28%,0.00%
Minority Interest,,,(93.75%),950.00%,0.00%
Net Income,(13.97%),12.43%,10.78%,26.84%,0.00%
Preferred Dividend and Other Adjustments,(23.41%),0.00%,100.00%,(14.29%),0.00%
NI to Common Incl Extra Items,(13.94%),12.46%,10.57%,27.02%,0.00%
NI to Common Excl. Extra Items,(13.94%),12.46%,10.57%,27.02%,0.00%
Revenue Per Share,25.30%,11.82%,5.82%,(17.26%),0.00%
Basic EPS,(18.47%),11.85%,(37.65%),13.92%,0.00%
Basic EPS - Continuing Ops,(18.47%),11.85%,(37.65%),13.92%,0.00%
Basic Weighted Average Shares Outst.,5.69%,0.52%,77.60%,11.38%,0.00%
Diluted EPS,(18.56%),12.13%,(39.77%),17.93%,0.00%
Diluted EPS - Continuing Ops,(18.56%),12.13%,(39.77%),17.93%,0.00%
Diluted Weighted Average Shares Outst.,5.44%,0.42%,83.73%,7.39%,0.00%
Normalized Basic EPS,(7.03%),(5.58%),30.05%,(29.64%),0.00%
Normalized Diluted EPS,(6.93%),(5.33%),26.10%,(27.05%),0.00%
Dividend Per Share,22.22%,9.09%,0.00%,0.00%,0.00%
Payout Ratio,51.21%,(2.42%),59.28%,(10.75%),0.00%
EBITDA,7.50%,2.71%,137.82%,(10.84%),0.00%
EBITA,4.22%,2.51%,138.26%,(14.51%),0.00%
EBIT,1.46%,2.01%,125.54%,(20.08%),0.00%
EBITDAR,,,,(10.27%),
Effective Tax Rate,5.87%,(19.03%),30.39%,(3.40%),0.00%
Normalized Net Income,(1.78%),(4.94%),131.31%,(21.64%),0.00%
R&D Expense From Footnotes,33.38%,(8.09%),139.89%,(22.77%),0.00%
Foreign Sales,63.03%,13.50%,65.99%,(8.79%),
