Income Statement,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM
Revenues,2233.0,2612.8,2620.0,2782.2,3030.9,3057.0
Total Revenues,2233.0,2612.8,2620.0,2782.2,3030.9,3057.0
Cost Of Revenues,1337.5,1586.5,1527.3,1597.0,1708.5,1708.5
Gross Profit,895.5,1026.2,1092.7,1185.1,1322.4,1348.5
Selling General & Admin Expenses,543.8,652.0,615.8,644.8,708.5,682.7
R&D Expenses,56.7,59.4,60.8,63.0,65.5,66.0
Total Operating Expenses,600.5,711.4,676.5,707.8,774.1,748.7
Operating Income,295.0,314.9,416.2,477.3,548.3,599.7
Interest Expense,(42.7),(44.5),(50.6),(45.0),(40.3),(36.6)
Interest And Investment Income,1.7,3.0,5.7,5.8,5.6,6.2
Net Interest Expenses,(41.0),(41.6),(44.9),(39.3),(34.7),(30.4)
"EBT, Excl. Unusual Items",254.0,273.3,371.3,438.1,513.6,569.3
"EBT, Incl. Unusual Items",171.9,184.6,355.0,369.5,498.7,528.0
Income Tax Expense,60.3,74.0,63.4,64.4,90.9,96.1
Earnings From Continuing Operations,111.6,110.6,291.6,305.1,407.8,431.9
Net Income to Company,111.6,110.6,291.6,305.1,407.8,431.9
Minority Interest,(0.8),(0.7),(0.7),(1.0),(0.2),(0.1)
Net Income,110.8,110.0,290.9,304.1,407.6,431.9
NI to Common Incl Extra Items,110.8,110.0,290.9,304.1,407.6,431.9
NI to Common Excl. Extra Items,110.8,110.0,290.9,304.1,407.6,431.9
Revenue Per Share,$31.58,$30.57,$30.81,$32.90,$35.75,$35.93
Basic EPS,$1.57,$1.29,$3.42,$3.59,$4.81,$5.08
Basic EPS - Continuing Ops,$1.57,$1.29,$3.42,$3.59,$4.81,$5.08
Basic Weighted Average Shares Outst.,70.7,85.5,85.0,84.6,84.8,85.1
Diluted EPS,$1.56,$1.28,$3.39,$3.56,$4.76,$5.03
Diluted EPS - Continuing Ops,$1.56,$1.28,$3.39,$3.56,$4.76,$5.03
Diluted Weighted Average Shares Outst.,71.2,86.1,85.7,85.5,85.6,85.8
Normalized Basic EPS,$2.23,$1.99,$2.72,$3.23,$3.78,$4.18
Normalized Diluted EPS,$2.22,$1.98,$2.70,$3.19,$3.75,$4.15
Dividend Per Share,$0.98,$1.09,$1.21,$1.33,$1.45,$1.54
Payout Ratio,58.87%,84.75%,35.38%,37.00%,30.18%,30.36%
EBITDA,438.7,503.0,594.5,687.1,745.6,810.9
EBITA,344.8,383.5,486.4,477.3,622.9,683.5
EBIT,295.0,314.9,416.2,477.3,548.3,599.7
EBITDAR,462.0,535.7,,,779.3,
Effective Tax Rate,35.1%,40.1%,17.8%,17.4%,18.2%,18.2%
Normalized Net Income,157.9,170.1,231.4,272.8,320.8,355.7
Interest Capitalized,,,,0.5,0.4,
R&D Expense From Footnotes,56.7,59.4,60.8,63.0,65.5,66.0
Foreign Sales,1806.6,2570.0,2571.8,2725.4,2967.1,
