Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,0.04%,3.83%,0.77%,(2.71%),(1.37%)
Total Revenues,0.04%,3.83%,0.77%,(2.71%),(1.37%)
Cost Of Revenues,0.69%,4.61%,(1.41%),(6.44%),(2.97%)
Gross Profit,(0.42%),3.27%,2.37%,(0.07%),(0.25%)
Selling General & Admin Expenses,(0.61%),(4.13%),10.39%,0.11%,(1.51%)
Depreciation & Amortization,6.44%,2.65%,(4.14%),0.23%,0.86%
Total Operating Expenses,1.98%,(1.54%),4.59%,0.16%,(0.65%)
Operating Income,(3.91%),10.69%,(0.68%),(0.39%),0.32%
Interest Expense,(8.16%),(2.11%),-2.13%,-10.21%,-5.27%
Interest And Investment Income,38.98%,14.63%,28.72%,(46.28%),(46.43%)
Net Interest Expenses,(7.74%),(1.89%),-2.74%,-9.26%,-4.23%
Currency Exchange Gains (Loss),,,,,0.00%
Other Non Operating Income (Expenses),,-33.03%,-39.73%,(352.27%),
"EBT, Excl. Unusual Items",(6.85%),12.18%,0.43%,0.98%,0.55%
"EBT, Incl. Unusual Items",(1.87%),(4.71%),15.85%,5.43%,17.33%
Income Tax Expense,,,(17.83%),90.80%,119.14%
Earnings From Continuing Operations,124.50%,(47.50%),23.37%,(7.28%),2.77%
Net Income to Company,124.50%,(47.50%),23.37%,(7.28%),2.77%
Minority Interest,-6.65%,(13.81%),(2.35%),(4.59%),(4.37%)
Net Income,129.31%,(48.41%),24.07%,(7.60%),2.72%
NI to Common Incl Extra Items,129.31%,(48.41%),24.07%,(7.60%),2.72%
NI to Common Excl. Extra Items,129.31%,(48.41%),24.07%,(7.60%),2.72%
Revenue Per Share,(0.06%),2.73%,0.53%,(2.77%),(1.42%)
Basic EPS,128.90%,(48.96%),23.82%,(7.73%),2.67%
Basic EPS - Continuing Ops,128.90%,(48.96%),23.82%,(7.73%),2.67%
Basic Weighted Average Shares Outst.,0.10%,1.08%,0.24%,0.05%,0.05%
Diluted EPS,129.28%,(48.91%),23.67%,(7.53%),2.99%
Diluted EPS - Continuing Ops,129.28%,(48.91%),23.67%,(7.53%),2.99%
Diluted Weighted Average Shares Outst.,0.07%,1.05%,0.19%,0.05%,0.05%
Normalized Basic EPS,(6.90%),10.87%,0.24%,0.80%,0.37%
Normalized Diluted EPS,(7.01%),11.07%,0.19%,0.75%,0.38%
Dividend Per Share,1.97%,1.92%,1.88%,1.84%,2.04%
Payout Ratio,(55.40%),99.97%,(17.38%),10.56%,(0.60%)
EBITDA,(0.31%),7.70%,(1.91%),(0.17%),0.51%
EBITA,(2.08%),9.93%,(0.36%),0.04%,0.70%
EBIT,(3.91%),10.69%,(0.68%),(0.39%),0.32%
EBITDAR,0.12%,7.71%,(0.58%),0.43%,
Effective Tax Rate,,,(29.05%),81.04%,86.77%
Normalized Net Income,(6.86%),12.13%,0.37%,0.86%,0.43%
Interest Capitalized,(3.69%),9.14%,(11.35%),(15.40%),
Interest on Long-Term Debt,,,,(14.41%),
