Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Rental Revenue,15.08%,19.99%,32.51%,21.59%,0.00%
Tenant Reimbursements,23.69%,41.89%,,,
Other Revenue,49.18%,29.25%,(75.54%),,0.00%
Total Revenues,15.01%,24.00%,4.48%,19.54%,0.00%
Property Expenses,15.86%,22.73%,8.63%,26.94%,0.00%
Selling General & Admin Exp.,38.50%,11.83%,21.06%,49.22%,0.00%
Depreciation & Amortization,14.30%,40.59%,(2.29%),18.55%,0.00%
Other Operating Expenses,"1,344.60%",(8.42%),400.99%,(92.39%),0.00%
Total Operating Expenses,17.50%,28.91%,5.32%,25.22%,0.00%
Operating Income,7.55%,7.95%,1.19%,(3.54%),0.00%
Total Interest Expense,(9.37%),(24.31%),(9.81%),-5.68%,0.00%
Interest and Investment Income,,(49.38%),954.49%,0.70%,0.00%
Net Interest Expenses,(7.83%),(25.37%),(4.34%),-6.05%,0.00%
"EBT, Excl. Unusual Items",8.97%,(5.64%),(2.08%),(0.78%),0.00%
Gain (Loss) on Sale of Assets,(76.25%),98.37%,318.68%,(5.45%),0.00%
Asset Writedown,(373.57%),,,(21.14%),0.00%
Other Unusual Items,,,"(2,397.26%)",(163.59%),0.00%
"EBT, Incl. Unusual Items",(40.27%),29.92%,78.09%,(34.43%),0.00%
Income Tax Expense,(23.92%),(73.62%),475.58%,217.19%,0.00%
Earnings From Continuing Operations,(40.66%),33.11%,75.67%,(39.47%),0.00%
Net Income to Company,(40.66%),33.11%,75.67%,(39.47%),0.00%
Minority Interest,(41.36%),(23.24%),(97.18%),-67.46%,0.00%
Net Income,(41.75%),33.43%,75.02%,(38.53%),0.00%
Pref. Dividends and Other Adj.,(20.18%),8.26%,6.68%,7.27%,0.00%
NI to Common Incl Extra Items,(47.86%),44.34%,97.26%,(46.58%),0.00%
NI to Common Excl. Extra Items,(47.86%),44.34%,97.26%,(46.58%),0.00%
Revenue Per Share,(0.92%),4.74%,3.30%,(4.23%),0.00%
Basic EPS,(54.99%),22.53%,95.58%,(57.28%),0.00%
Basic EPS - Continuing Ops,(54.99%),22.53%,95.58%,(57.28%),0.00%
Basic Weighted Average Shares Outst.,16.08%,18.37%,1.11%,24.85%,0.00%
Diluted EPS,(55.00%),22.22%,94.21%,(57.45%),0.00%
Diluted EPS - Continuing Ops,(55.00%),22.22%,94.21%,(57.45%),0.00%
Diluted Weighted Average Shares Outst.,16.07%,18.17%,1.35%,25.33%,0.00%
Normalized Basic EPS,(6.80%),(21.45%),(8.69%),(14.11%),0.00%
Normalized Diluted EPS,(7.25%),(20.99%),(8.15%),(14.90%),0.00%
Dividend Per Share,5.68%,8.60%,6.93%,3.70%,0.00%
Payout Ratio,102.81%,(2.46%),(38.81%),102.25%,0.00%
FFO,16.55%,35.33%,6.23%,(4.94%),0.00%
FFO Payout Ratio %,6.32%,(2.89%),2.15%,32.69%,0.00%
AFFO,16.55%,35.33%,6.23%,(4.94%),
Funds Available for Distribution,16.55%,35.33%,6.23%,(4.94%),
FFO Per Share (Basic),(0.18%),12.50%,4.69%,(22.87%),0.00%
FFO Shares (Basic),16.87%,20.36%,1.39%,23.37%,0.00%
FFO Per Share (Diluted),(0.35%),12.74%,4.55%,(23.27%),0.00%
FFO Shares (Diluted),16.86%,20.16%,1.62%,23.83%,0.00%
Adjusted FFO Per Share (Basic),(0.18%),12.43%,4.70%,(22.94%),
Adjusted FFO Per Share (Diluted),(0.30%),12.69%,4.48%,(23.29%),
EBITDA,16.41%,28.53%,(1.55%),10.05%,0.00%
EBITA,17.74%,27.83%,(6.68%),(2.80%),0.00%
EBIT,7.55%,7.95%,1.19%,(3.54%),0.00%
EBITDAR,12.68%,29.13%,3.58%,11.22%,
Effective Tax Rate,27.27%,(79.69%),221.70%,384.35%,0.00%
Normalized Net Income,7.96%,(6.82%),(7.43%),6.89%,0.00%
Interest Capitalized,33.13%,59.91%,15.85%,17.66%,
Interest on Long-Term Debt,10.90%,,,17.55%,
Foreign Sales,16.32%,16.46%,0.00%,116.67%,
