Income Statement,Apr 2017,Apr 2018,Apr 2019,Apr 2020,TTM
Revenues,(3.08%),8.48%,2.34%,1.17%,(1.18%)
Total Revenues,(3.08%),8.48%,2.34%,1.17%,(1.18%)
Cost Of Revenues,2.96%,7.50%,10.71%,6.74%,5.39%
Gross Profit,(5.74%),8.96%,(1.63%),(1.80%),(4.96%)
Selling General & Admin Expenses,(4.98%),12.29%,(10.18%),(2.74%),(5.65%)
Other Operating Expense/(Income),(42.86%),-65.00%,(28.57%),(77.78%),0.00%
Total Operating Expenses,(5.59%),13.79%,(10.41%),(3.43%),(5.68%)
Operating Income,(5.89%),3.94%,8.35%,(0.27%),(4.29%)
Interest Expense,(28.26%),(15.25%),(29.41%),-6.82%,-2.41%
Interest And Investment Income,50.00%,100.00%,33.33%,(37.50%),(66.67%)
Net Interest Expenses,(27.27%),(10.71%),(29.03%),-3.75%,(2.60%)
Currency Exchange Gains (Loss),-60.00%,,(33.33%),,
"EBT, Excl. Unusual Items",(7.07%),4.72%,6.65%,(1.92%),(6.01%)
"EBT, Incl. Unusual Items",(37.34%),4.72%,6.65%,(3.17%),4.86%
Income Tax Expense,(37.44%),(1.52%),(20.38%),(12.08%),(1.05%)
Earnings From Continuing Operations,(37.30%),7.17%,16.46%,(0.96%),6.18%
Net Income to Company,(37.30%),7.17%,16.46%,(0.96%),6.18%
Net Income,(37.30%),7.17%,16.46%,(0.96%),6.18%
NI to Common Incl Extra Items,(37.30%),7.17%,16.46%,(0.96%),6.18%
NI to Common Excl. Extra Items,(37.30%),7.17%,16.46%,(0.96%),6.18%
Revenue Per Share,1.44%,9.42%,2.66%,1.43%,(1.35%)
Basic EPS,(34.27%),8.17%,17.01%,(0.52%),5.99%
Basic EPS - Continuing Ops,(34.27%),8.17%,17.01%,(0.52%),5.99%
Basic Weighted Average Shares Outst.,(4.49%),(0.89%),(0.28%),(0.25%),0.18%
Diluted EPS,(34.45%),8.03%,16.89%,(0.58%),6.78%
Diluted EPS - Continuing Ops,(34.45%),8.03%,16.89%,(0.58%),6.78%
Diluted Weighted Average Shares Outst.,(4.43%),(0.78%),(0.45%),(0.34%),0.04%
Normalized Basic EPS,(2.97%),5.94%,7.07%,(1.69%),(6.17%)
Normalized Diluted EPS,(2.87%),5.96%,7.22%,(1.51%),(6.04%)
Dividend Per Share,8.46%,8.57%,6.23%,4.71%,4.48%
Payout Ratio,64.29%,(0.57%),(8.85%),5.84%,(1.42%)
EBITDA,(5.41%),4.29%,8.59%,(0.08%),(3.86%)
EBITA,(5.89%),3.94%,8.35%,(0.27%),(4.29%)
EBIT,(5.89%),3.94%,8.35%,(0.27%),(4.29%)
EBITDAR,(5.30%),4.48%,8.57%,0.00%,
Effective Tax Rate,(0.16%),(5.96%),(25.35%),(9.22%),(5.63%)
Normalized Net Income,(7.07%),4.72%,6.65%,(1.92%),(6.01%)
Foreign Sales,(3.00%),10.90%,2.44%,(5.00%),
