Income Statement,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,7.09%,8.16%,(5.58%),(5.88%),0.00%
Total Revenues,7.09%,8.16%,(5.58%),(5.88%),0.00%
Cost Of Revenues,16.85%,12.25%,(19.51%),(16.08%),0.00%
Gross Profit,(0.65%),4.33%,8.40%,1.72%,0.00%
Selling General & Admin Expenses,(8.38%),(9.45%),(10.27%),(10.51%),0.00%
Depreciation & Amortization,(1.53%),(0.63%),(0.64%),0.41%,0.00%
Other Operating Expense/(Income),3.75%,(25.30%),(87.10%),175.00%,0.00%
Total Operating Expenses,(3.28%),(3.80%),(5.29%),(1.55%),0.00%
Operating Income,3.51%,16.31%,25.08%,4.75%,0.00%
Interest Expense,-8.14%,(2.68%),(6.65%),-1.18%,0.00%
Interest And Investment Income,347.62%,(22.34%),(51.14%),(92.52%),
Net Interest Expenses,-28.23%,(11.49%),(20.83%),(7.88%),0.00%
Other Non Operating Income (Expenses),,,(68.38%),,0.00%
"EBT, Excl. Unusual Items",(33.30%),142.53%,12.90%,(3.43%),0.00%
"EBT, Incl. Unusual Items",,(38.13%),221.45%,(73.97%),0.00%
Income Tax Expense,"(7,796.00%)",,142.75%,(76.42%),0.00%
Earnings From Continuing Operations,,(92.31%),277.72%,(72.84%),0.00%
Net Income to Company,,(92.31%),269.95%,(72.27%),0.00%
Minority Interest,(352.70%),(3.88%),,(90.44%),0.00%
Net Income,,,,(75.18%),0.00%
Preferred Dividend and Other Adjustments,,,200.00%,0.00%,0.00%
NI to Common Incl Extra Items,,,,(75.44%),0.00%
NI to Common Excl. Extra Items,,,,(75.87%),0.00%
Revenue Per Share,(2.70%),(8.22%),(24.14%),(6.05%),0.00%
Basic EPS,,,,(75.52%),0.00%
Basic EPS - Continuing Ops,,,,(75.86%),0.00%
Basic Weighted Average Shares Outst.,10.06%,17.85%,24.49%,0.13%,0.00%
Diluted EPS,,,,(75.71%),0.00%
Diluted EPS - Continuing Ops,,,,(76.06%),0.00%
Diluted Weighted Average Shares Outst.,10.37%,17.51%,24.69%,0.10%,0.00%
Normalized Basic EPS,(87.96%),625.52%,58.24%,(13.16%),0.00%
Normalized Diluted EPS,(87.99%),625.52%,57.98%,(13.27%),0.00%
Dividend Per Share,(28.57%),13.33%,11.76%,5.26%,0.00%
Payout Ratio,,,,324.49%,0.00%
EBITDA,0.89%,7.70%,13.02%,2.96%,0.00%
EBITA,2.43%,12.83%,21.03%,4.34%,0.00%
EBIT,3.51%,16.31%,25.08%,4.75%,0.00%
EBITDAR,0.81%,7.88%,12.55%,2.68%,
Effective Tax Rate,,,(24.48%),(9.40%),0.00%
Normalized Net Income,(86.78%),800.18%,96.09%,(12.92%),0.00%
Interest Capitalized,(13.16%),45.45%,(33.33%),(37.50%),
Interest on Long-Term Debt,(8.30%),3.94%,5.00%,(2.13%),
