Income Statement,Jan 2018,Jan 2019,Jan 2020,Jan 2021,TTM
Revenues,2.98%,2.81%,1.86%,6.72%,6.72%
Total Revenues,2.98%,2.81%,1.86%,6.72%,6.72%
Cost Of Revenues,3.36%,3.19%,2.41%,6.52%,6.52%
Gross Profit,1.87%,1.70%,0.20%,7.33%,7.33%
Selling General & Admin Expenses,4.08%,1.07%,0.69%,3.70%,3.70%
Total Operating Expenses,4.08%,1.07%,0.69%,3.70%,3.70%
Operating Income,(8.03%),4.87%,(2.23%),25.53%,25.53%
Interest Expense,-1.56%,(0.69%),(10.78%),-10.93%,-10.93%
Interest And Investment Income,52.00%,42.76%,(12.90%),(35.98%),(35.98%)
Net Interest Expenses,-3.93%,-2.25%,(13.20%),-8.96%,-8.96%
Other Non Operating Income (Expenses),,,,(74.71%),(74.71%)
"EBT, Excl. Unusual Items",(8.48%),5.69%,(3.43%),29.41%,29.41%
"EBT, Incl. Unusual Items",(26.22%),(24.22%),75.53%,2.23%,2.23%
Income Tax Expense,(25.85%),(6.93%),14.81%,39.53%,39.53%
Earnings From Continuing Operations,(26.38%),(31.78%),111.74%,(9.83%),(9.83%)
Net Income to Company,(26.38%),(31.78%),111.74%,(9.83%),(9.83%)
Minority Interest,(1.69%),-23.00%,-37.13%,-38.75%,-38.75%
Net Income,(27.71%),(32.37%),123.10%,(9.21%),(9.21%)
NI to Common Incl Extra Items,(27.71%),(32.37%),123.10%,(9.21%),(9.21%)
NI to Common Excl. Extra Items,(27.71%),(32.37%),123.10%,(9.21%),(9.21%)
Revenue Per Share,6.62%,5.13%,4.68%,7.43%,7.43%
Basic EPS,(25.16%),(30.78%),129.01%,(8.58%),(8.60%)
Basic EPS - Continuing Ops,(25.16%),(30.78%),129.01%,(8.58%),(8.60%)
Basic Weighted Average Shares Outst.,(3.42%),(2.20%),(2.70%),(0.67%),(0.67%)
Diluted EPS,(25.11%),(31.10%),129.65%,(8.48%),(8.48%)
Diluted EPS - Continuing Ops,(25.11%),(31.10%),129.65%,(8.48%),(8.48%)
Diluted Weighted Average Shares Outst.,(3.28%),(2.16%),(2.61%),(0.73%),(0.73%)
Normalized Basic EPS,(5.77%),9.94%,0.64%,32.04%,32.17%
Normalized Diluted EPS,(6.00%),9.64%,0.76%,32.27%,32.25%
Dividend Per Share,2.00%,1.96%,1.92%,1.89%,1.89%
Payout Ratio,36.30%,47.32%,(55.57%),11.39%,11.39%
EBITDA,(4.20%),3.72%,(0.55%),17.39%,17.39%
EBITA,(8.03%),4.87%,(2.23%),25.53%,25.53%
EBIT,(8.03%),4.87%,(2.23%),25.53%,25.53%
EBITDAR,(3.04%),3.69%,0.51%,15.88%,
Effective Tax Rate,0.49%,22.80%,(34.60%),36.51%,36.49%
Normalized Net Income,(9.02%),7.40%,(1.99%),31.29%,31.29%
Interest on Long-Term Debt,,,,(2.61%),
Foreign Sales,1.42%,1.98%,(0.58%),0.88%,
