Income Statement,Nov 2016,Nov 2017,Nov 2018,Nov 2019,Nov 2020,TTM
Revenues,2734.8,3599.7,4009.2,4414.6,4287.8,4326.9
Total Revenues,2734.8,3599.7,4009.2,4414.6,4287.8,4326.9
Cost Of Revenues,1047.7,1348.4,1495.7,1657.0,1590.0,1589.4
Gross Profit,1687.1,2251.3,2513.5,2757.6,2697.8,2737.5
Selling General & Admin Expenses,907.1,1102.9,1187.2,1200.7,1159.6,1124.1
Depreciation & Amortization,335.7,492.5,541.2,573.1,591.6,597.9
Other Operating Expense/(Income),(0.1),18.7,1.7,7.5,(1.7),2.5
Total Operating Expenses,1242.7,1614.1,1730.1,1781.3,1749.5,1724.5
Operating Income,444.4,637.2,783.4,976.3,948.3,1013.0
Interest Expense,(119.4),(154.3),(225.7),(259.7),(236.6),(230.9)
Interest And Investment Income,1.3,2.2,3.1,1.9,1.0,0.7
Net Interest Expenses,(118.1),(152.1),(222.6),(257.8),(235.6),(230.2)
"EBT, Excl. Unusual Items",321.8,480.1,560.3,717.6,712.1,783.5
"EBT, Incl. Unusual Items",137.8,367.1,423.8,742.0,882.7,573.4
Income Tax Expense,(5.1),(49.9),(115.4),242.6,13.3,39.3
Earnings From Continuing Operations,142.9,417.0,539.2,499.4,869.4,534.1
Earnings Of Discontinued Operations,9.2,,,,,
Net Income to Company,152.1,417.0,539.2,499.4,869.4,534.1
Minority Interest,0.7,(0.1),3.1,3.3,1.3,0.9
Net Income,152.8,416.9,542.3,502.7,870.7,535.0
NI to Common Incl Extra Items,152.8,416.9,542.3,502.7,870.7,535.0
NI to Common Excl. Extra Items,143.6,416.9,542.3,502.7,870.7,535.0
Revenue Per Share,$8.84,$8.99,$10.17,$11.05,$10.81,$10.89
Basic EPS,$0.49,$1.04,$1.38,$1.26,$2.19,$1.35
Basic EPS - Continuing Ops,$0.46,$1.04,$1.38,$1.26,$2.19,$1.35
Basic Weighted Average Shares Outst.,309.2,400.3,394.4,399.5,396.8,397.2
Diluted EPS,$0.48,$1.00,$1.33,$1.23,$2.17,$1.33
Diluted EPS - Continuing Ops,$0.45,$1.00,$1.33,$1.23,$2.17,$1.33
Diluted Weighted Average Shares Outst.,316.3,416.2,406.9,409.2,401.5,400.7
Normalized Basic EPS,$0.65,$0.75,$0.90,$1.13,$1.12,$1.24
Normalized Diluted EPS,$0.64,$0.72,$0.87,$1.10,$1.11,$1.22
Dividend Per Share,,,,,$0.68,$0.71
Payout Ratio,,,,,31.06%,52.71%
EBITDA,780.1,1129.7,1324.6,1549.4,1539.9,1610.9
EBITA,665.3,972.7,1149.5,1353.3,1322.4,1388.4
EBIT,444.4,637.2,783.4,976.3,948.3,1013.0
EBITDAR,837.8,1195.3,1389.6,1615.5,1614.9,
Effective Tax Rate,NM,NM,NM,32.7%,1.5%,6.9%
Normalized Net Income,201.8,300.0,353.3,451.8,446.4,490.6
Interest on Long-Term Debt,119.4,154.3,225.7,259.7,236.6,
Foreign Sales,2436.7,3164.3,3557.0,3928.1,3829.6,
