Income Statement,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,TTM
Revenues,8894.0,9921.0,10153.0,11389.0,12303.0,12662.0
Total Revenues,8894.0,9921.0,10153.0,11389.0,12303.0,12662.0
Cost Of Revenues,5559.0,6100.0,6505.0,7327.0,7807.0,7762.0
Gross Profit,3335.0,3821.0,3648.0,4062.0,4496.0,4900.0
Selling General & Admin Expenses,1257.0,1117.0,1262.0,1419.0,1741.0,1788.0
Depreciation & Amortization,170.0,169.0,171.0,212.0,258.0,289.0
Total Operating Expenses,1427.0,1286.0,1433.0,1631.0,1999.0,2077.0
Operating Income,1908.0,2535.0,2215.0,2431.0,2497.0,2823.0
Interest Expense,(18.0),(23.0),(43.0),(203.0),(369.0),(387.0)
Interest And Investment Income,,,,41.0,35.0,13.0
Net Interest Expenses,(18.0),(23.0),(43.0),(162.0),(334.0),(374.0)
Other Non Operating Income (Expenses),72.0,(2.0),(33.0),(42.0),(47.0),(94.0)
"EBT, Excl. Unusual Items",1962.0,2510.0,2139.0,2227.0,2116.0,2355.0
"EBT, Incl. Unusual Items",1843.0,2241.0,2170.0,2224.0,1464.0,2128.0
Income Tax Expense,736.0,832.0,(58.0),581.0,402.0,546.0
Earnings From Continuing Operations,1107.0,1409.0,2228.0,1643.0,1062.0,1582.0
Net Income to Company,1107.0,1409.0,2228.0,1643.0,1062.0,1582.0
Minority Interest,(35.0),(37.0),(41.0),(48.0),(63.0),(52.0)
Net Income,1072.0,1372.0,2187.0,1595.0,999.0,1530.0
NI to Common Incl Extra Items,1072.0,1372.0,2187.0,1595.0,999.0,1530.0
NI to Common Excl. Extra Items,1072.0,1372.0,2187.0,1595.0,999.0,1530.0
Revenue Per Share,,$15.98,$16.35,$18.34,$20.07,$21.00
Basic EPS,,$2.21,$3.52,$2.57,$1.63,$2.54
Basic EPS - Continuing Ops,,$2.21,$3.52,$2.57,$1.63,$2.54
Basic Weighted Average Shares Outst.,,621.0,621.0,621.0,613.0,603.0
Diluted EPS,,$2.21,$3.52,$2.57,$1.62,$2.53
Diluted EPS - Continuing Ops,,$2.21,$3.52,$2.57,$1.62,$2.53
Diluted Weighted Average Shares Outst.,,621.0,621.0,621.0,616.0,605.5
Normalized Basic EPS,,$2.47,$2.09,$2.16,$2.05,$2.35
Normalized Diluted EPS,,$2.47,$2.09,$2.16,$2.04,$2.34
Dividend Per Share,,,,$0.23,$0.46,$0.46
Payout Ratio,3.36%,2.55%,1.87%,11.79%,33.53%,22.35%
EBITDA,2140.0,2761.0,2439.0,2681.0,2779.0,3133.0
EBITA,1985.0,2607.0,2282.0,2484.0,2557.0,2880.0
EBIT,1908.0,2535.0,2215.0,2431.0,2497.0,2823.0
EBITDAR,2235.0,2856.0,2544.0,2781.0,2905.0,
Effective Tax Rate,39.9%,37.1%,NM,26.1%,27.5%,25.7%
Normalized Net Income,1191.3,1531.8,1295.9,1343.9,1259.5,1419.9
