Income Statement,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,TTM
Revenues,1939.4,2375.4,2689.8,2451.9,4910.2,4910.2
Total Revenues,1939.4,2375.4,2689.8,2451.9,4910.2,4910.2
Cost Of Revenues,1222.7,1477.5,1677.3,1540.2,3296.8,3296.8
Gross Profit,716.7,897.9,1012.5,911.7,1613.4,1613.4
Selling General & Admin Expenses,415.1,446.2,437.9,436.0,890.4,890.4
Other Operating Expense/(Income),16.7,28.3,(0.9),1.9,6.1,6.1
Total Operating Expenses,556.0,768.4,562.8,562.2,1292.3,1292.3
Operating Income,160.7,129.5,449.7,349.5,321.1,321.1
Interest Expense,(170.3),(140.7),(99.6),(88.9),(111.1),(111.1)
Net Interest Expenses,(170.3),(140.7),(99.6),(88.9),(111.1),(111.1)
Currency Exchange Gains (Loss),5.9,(9.3),1.9,(8.1),(20.9),(20.9)
Other Non Operating Income (Expenses),3.6,3.4,2.3,4.3,3.6,3.6
"EBT, Excl. Unusual Items",(0.1),(17.1),354.3,256.8,192.7,192.7
"EBT, Incl. Unusual Items",(63.2),(112.7),349.5,190.9,(19.4),(19.4)
Income Tax Expense,(31.9),(131.2),80.1,31.8,13.0,13.0
Earnings From Continuing Operations,(31.3),18.5,269.4,159.1,(32.4),(32.4)
Net Income to Company,(31.3),18.5,269.4,159.1,(32.4),(32.4)
Minority Interest,(5.3),(0.1),,,(0.9),(0.9)
Net Income,(36.6),18.4,269.4,159.1,(33.3),(33.3)
NI to Common Incl Extra Items,(36.6),18.4,269.4,159.1,(33.3),(33.3)
NI to Common Excl. Extra Items,(36.6),18.4,269.4,159.1,(33.3),(33.3)
Revenue Per Share,$13.00,$13.04,$13.34,$12.05,$12.83,$12.83
Basic EPS,($0.25),$0.10,$1.34,$0.78,($0.09),($0.09)
Basic EPS - Continuing Ops,($0.25),$0.10,$1.34,$0.78,($0.09),($0.09)
Basic Weighted Average Shares Outst.,149.2,182.2,201.6,203.5,382.8,382.8
Diluted EPS,($0.25),$0.10,$1.29,$0.76,($0.09),($0.09)
Diluted EPS - Continuing Ops,($0.25),$0.10,$1.29,$0.76,($0.09),($0.09)
Diluted Weighted Average Shares Outst.,149.2,188.4,209.1,208.9,382.8,382.8
Normalized Basic EPS,($0.04),($0.06),$1.10,$0.79,$0.31,$0.31
Normalized Diluted EPS,($0.04),($0.06),$1.06,$0.77,$0.31,$0.31
EBITDA,333.4,303.3,630.1,527.6,822.0,822.0
EBITA,284.9,248.4,575.5,473.8,716.9,716.9
EBIT,160.7,129.5,449.7,349.5,321.1,321.1
EBITDAR,365.7,,,549.7,873.9,873.9
Effective Tax Rate,NM,NM,22.9%,16.7%,NM,NM
Normalized Net Income,(5.4),(10.8),221.4,160.5,119.5,119.5
Interest on Long-Term Debt,170.3,161.5,99.6,89.1,113.1,113.1
R&D Expense From Footnotes,22.0,26.0,24.0,25.0,71.0,71.0
Foreign Sales,,,,1453.9,2674.6,2674.6
